account,amount,symbol,memo
metzli,"176,2388",ALIVE,Rewards on HP delegation to youarealive.
mypathtofire,"139,3514",ALIVE,Rewards on HP delegation to youarealive.
rcaine,"105,4875",ALIVE,Rewards on HP delegation to youarealive.
davidthompson57,"105,0612",ALIVE,Rewards on HP delegation to youarealive.
noctury,"73,2792",ALIVE,Rewards on HP delegation to youarealive.
flaxz,"71,693",ALIVE,Rewards on HP delegation to youarealive.
sagarkothari88,"69,5716",ALIVE,Rewards on HP delegation to youarealive.
ecoinstats,"69,5319",ALIVE,Rewards on HP delegation to youarealive.
iamraincrystal,"35,8762",ALIVE,Rewards on HP delegation to youarealive.
beststart,"35,1129",ALIVE,Rewards on HP delegation to youarealive.
lightcaptured,"34,8353",ALIVE,Rewards on HP delegation to youarealive.
bombus,"27,787",ALIVE,Rewards on HP delegation to youarealive.
eolianpariah2,"27,7572",ALIVE,Rewards on HP delegation to youarealive.
technicalside,"27,7572",ALIVE,Rewards on HP delegation to youarealive.
pregosauce,"20,8873",ALIVE,Rewards on HP delegation to youarealive.
epic-fail,"20,8179",ALIVE,Rewards on HP delegation to youarealive.
benthomaswwd,"17,5366",ALIVE,Rewards on HP delegation to youarealive.
chmoen,"17,4176",ALIVE,Rewards on HP delegation to youarealive.
fruityfruitz,"14,0868",ALIVE,Rewards on HP delegation to youarealive.
freesinger,"13,8786",ALIVE,Rewards on HP delegation to youarealive.
ironshield,"13,8786",ALIVE,Rewards on HP delegation to youarealive.
awesomegames007,"13,8786",ALIVE,Rewards on HP delegation to youarealive.
madame-cyntaia,"10,5477",ALIVE,Rewards on HP delegation to youarealive.
melinda010100,"10,5477",ALIVE,Rewards on HP delegation to youarealive.
misshugo,"10,4089",ALIVE,Rewards on HP delegation to youarealive.
cwow2,"10,2305",ALIVE,Rewards on HP delegation to youarealive.
atma.love,"7,7026",ALIVE,Rewards on HP delegation to youarealive.
kingneptune,"8,0396",ALIVE,Rewards on HP delegation to youarealive.
merthin,"7,1474",ALIVE,Rewards on HP delegation to youarealive.
pedrobrito2004,"7,0781",ALIVE,Rewards on HP delegation to youarealive.
ubani,"7,0781",ALIVE,Rewards on HP delegation to youarealive.
chaosmagic23,"7,0781",ALIVE,Rewards on HP delegation to youarealive.
monica-ene,"7,0781",ALIVE,Rewards on HP delegation to youarealive.
jimmy.adames,"7,0087",ALIVE,Rewards on HP delegation to youarealive.
myjob,"7,0087",ALIVE,Rewards on HP delegation to youarealive.
dragokazo,"7,0087",ALIVE,Rewards on HP delegation to youarealive.
elyelma,"6,9393",ALIVE,Rewards on HP delegation to youarealive.
orionvk,"6,9393",ALIVE,Rewards on HP delegation to youarealive.
iamjabez,"6,9393",ALIVE,Rewards on HP delegation to youarealive.
theroad2freedom,"6,9393",ALIVE,Rewards on HP delegation to youarealive.
familyhistory,"6,9393",ALIVE,Rewards on HP delegation to youarealive.
libertycrypto27,"6,9393",ALIVE,Rewards on HP delegation to youarealive.
lotto-de,"5,5514",ALIVE,Rewards on HP delegation to youarealive.
caelum1infernum,"5,2738",ALIVE,Rewards on HP delegation to youarealive.
miketr,"4,1635",ALIVE,Rewards on HP delegation to youarealive.
manuvert,"3,6084",ALIVE,Rewards on HP delegation to youarealive.
darmst5339,"3,539",ALIVE,Rewards on HP delegation to youarealive.
old-man-chu58,"3,539",ALIVE,Rewards on HP delegation to youarealive.
monstermama,"3,5291",ALIVE,Rewards on HP delegation to youarealive.
adysscheryl,"3,4696",ALIVE,Rewards on HP delegation to youarealive.
awah,"24,2876",ALIVE,Rewards on HP delegation to youarealive.
heartbeatonhive,"3,4696",ALIVE,Rewards on HP delegation to youarealive.
alitas,"2,9145",ALIVE,Rewards on HP delegation to youarealive.
nicklewis,"2,8451",ALIVE,Rewards on HP delegation to youarealive.
digitalbrain,"2,4981",ALIVE,Rewards on HP delegation to youarealive.
stdd,"2,0817",ALIVE,Rewards on HP delegation to youarealive.
mell79,"2,0817",ALIVE,Rewards on HP delegation to youarealive.
foodwhale,"1,8042",ALIVE,Rewards on HP delegation to youarealive.
steemjustice,"1,6654",ALIVE,Rewards on HP delegation to youarealive.
kam5iz,"1,6654",ALIVE,Rewards on HP delegation to youarealive.
nomaddreamer,"1,5266",ALIVE,Rewards on HP delegation to youarealive.
hiveland.dapp,"1,4572",ALIVE,Rewards on HP delegation to youarealive.
davidxxl,"2,1511",ALIVE,Rewards on HP delegation to youarealive.
matias-walkoski,"1,3878",ALIVE,Rewards on HP delegation to youarealive.
bitandi,"1,3878",ALIVE,Rewards on HP delegation to youarealive.
alzee,"0,7633",ALIVE,Rewards on HP delegation to youarealive.
cmmndrbawang,"0,6939",ALIVE,Rewards on HP delegation to youarealive.
stevermac1966,"0,6939",ALIVE,Rewards on HP delegation to youarealive.
tonybad,"0,6939",ALIVE,Rewards on HP delegation to youarealive.
sabajfa,"0,6939",ALIVE,Rewards on HP delegation to youarealive.
dewabrata,"0,6939",ALIVE,Rewards on HP delegation to youarealive.
relf87,"0,6939",ALIVE,Rewards on HP delegation to youarealive.
sammyhive,"0,6939",ALIVE,Rewards on HP delegation to youarealive.
tergan,"0,6939",ALIVE,Rewards on HP delegation to youarealive.
argsolver,"0,6245",ALIVE,Rewards on HP delegation to youarealive.
athomewithcraig,"0,4163",ALIVE,Rewards on HP delegation to youarealive.
thoth442,"0,3469",ALIVE,Rewards on HP delegation to youarealive.
mirroredspork,"0,3469",ALIVE,Rewards on HP delegation to youarealive.
synergized,"0,3469",ALIVE,Rewards on HP delegation to youarealive.
oasiskp2,"0,3469",ALIVE,Rewards on HP delegation to youarealive.
traducciones,"0,2775",ALIVE,Rewards on HP delegation to youarealive.
