account,amount,symbol,memo
mypathtofire,"256,7712",ALIVE,Rewards on HP delegation to @youarealive.
metzli,"214,4083",ALIVE,Rewards on HP delegation to @youarealive.
rcaine,"128,3308",ALIVE,Rewards on HP delegation to @youarealive.
myjob,"79,2341",ALIVE,Rewards on HP delegation to @youarealive.
noctury,"89,1582",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"87,2342",ALIVE,Rewards on HP delegation to @youarealive.
davidthompson57,"85,7365",ALIVE,Rewards on HP delegation to @youarealive.
iamraincrystal,"43,6414",ALIVE,Rewards on HP delegation to @youarealive.
beststart,"42,7404",ALIVE,Rewards on HP delegation to @youarealive.
hafiz34,"21,772",ALIVE,Rewards on HP delegation to @youarealive.
benthomaswwd,"21,3093",ALIVE,Rewards on HP delegation to @youarealive.
fruityfruitz,"17,1326",ALIVE,Rewards on HP delegation to @youarealive.
bombus,"17,1326",ALIVE,Rewards on HP delegation to @youarealive.
chmoen,"17,1326",ALIVE,Rewards on HP delegation to @youarealive.
twicejoy,"14,6851",ALIVE,Rewards on HP delegation to @youarealive.
madame-cyntaia,"12,8708",ALIVE,Rewards on HP delegation to @youarealive.
melinda010100,"12,7855",ALIVE,Rewards on HP delegation to @youarealive.
kingneptune,"8,6942",ALIVE,Rewards on HP delegation to @youarealive.
merthin,"8,6942",ALIVE,Rewards on HP delegation to @youarealive.
pedrobrito2004,"8,6089",ALIVE,Rewards on HP delegation to @youarealive.
ubani,"8,6089",ALIVE,Rewards on HP delegation to @youarealive.
chaosmagic23,"8,6089",ALIVE,Rewards on HP delegation to @youarealive.
monica-ene,"8,6089",ALIVE,Rewards on HP delegation to @youarealive.
ironshield,"8,5237",ALIVE,Rewards on HP delegation to @youarealive.
svanbo,"8,5237",ALIVE,Rewards on HP delegation to @youarealive.
jimmy.adames,"8,5237",ALIVE,Rewards on HP delegation to @youarealive.
caelum1infernum,"4,6028",ALIVE,Rewards on HP delegation to @youarealive.
manuvert,"4,3471",ALIVE,Rewards on HP delegation to @youarealive.
dragokazo,"4,2983",ALIVE,Rewards on HP delegation to @youarealive.
darmst5339,"4,2618",ALIVE,Rewards on HP delegation to @youarealive.
old-man-chu58,"4,2618",ALIVE,Rewards on HP delegation to @youarealive.
elyelma,"4,2618",ALIVE,Rewards on HP delegation to @youarealive.
monstermama,"4,2618",ALIVE,Rewards on HP delegation to @youarealive.
alitas,"3,5799",ALIVE,Rewards on HP delegation to @youarealive.
nicklewis,"3,4094",ALIVE,Rewards on HP delegation to @youarealive.
digitalbrain,"2,9833",ALIVE,Rewards on HP delegation to @youarealive.
foodwhale,"2,2161",ALIVE,Rewards on HP delegation to @youarealive.
steemjustice,"2,0456",ALIVE,Rewards on HP delegation to @youarealive.
davidxxl,"1,7047",ALIVE,Rewards on HP delegation to @youarealive.
matias-walkoski,"1,7047",ALIVE,Rewards on HP delegation to @youarealive.
mell79,"1,7047",ALIVE,Rewards on HP delegation to @youarealive.
stdd,"1,7047",ALIVE,Rewards on HP delegation to @youarealive.
alzee,"0,9376",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"0,8523",ALIVE,Rewards on HP delegation to @youarealive.
cmmndrbawang,"0,8523",ALIVE,Rewards on HP delegation to @youarealive.
stevermac1966,"0,8523",ALIVE,Rewards on HP delegation to @youarealive.
tonybad,"0,8523",ALIVE,Rewards on HP delegation to @youarealive.
sabajfa,"0,8523",ALIVE,Rewards on HP delegation to @youarealive.
argsolver,"0,7671",ALIVE,Rewards on HP delegation to @youarealive.
athomewithcraig,"0,5114",ALIVE,Rewards on HP delegation to @youarealive.
heartbeatonhive,"0,4261",ALIVE,Rewards on HP delegation to @youarealive.
thoth442,"0,4261",ALIVE,Rewards on HP delegation to @youarealive.
traducciones,"0,3409",ALIVE,Rewards on HP delegation to @youarealive.
pazartesi,"0,3409",ALIVE,Rewards on HP delegation to @youarealive.
synergized,"0,1704",ALIVE,Rewards on HP delegation to @youarealive.
hoffmeister84,"0,2435",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"0,0678",ALIVE,Rewards on RC delegation to @youarealive.
gurseerat,"2,2507",ALIVE,Rewards on RC delegation to @youarealive.
guurry123,"1,5299",ALIVE,Rewards on RC delegation to @youarealive.
hannes-stoffel,"0,2212",ALIVE,Rewards on RC delegation to @youarealive.
hoosie,"0,3459",ALIVE,Rewards on RC delegation to @youarealive.
lukasbachofner,"0,1053",ALIVE,Rewards on RC delegation to @youarealive.
flaxz,"0,0737",ALIVE,Rewards on RC delegation to @youarealive.
svanbo,"0,1053",ALIVE,Rewards on RC delegation to @youarealive.
thoth442,"0,2107",ALIVE,Rewards on RC delegation to @youarealive.
tonybad,"0,0105",ALIVE,Rewards on RC delegation to @youarealive.
