account,amount,symbol,memo
metzli,"226,2034",ALIVE,Rewards on HP delegation to youarealive.
mypathtofire,"178,8436",ALIVE,Rewards on HP delegation to youarealive.
rcaine,"135,3773",ALIVE,Rewards on HP delegation to youarealive.
davidthompson57,"134,8284",ALIVE,Rewards on HP delegation to youarealive.
noctury,"94,0301",ALIVE,Rewards on HP delegation to youarealive.
flaxz,"92,0387",ALIVE,Rewards on HP delegation to youarealive.
iamraincrystal,"46,0576",ALIVE,Rewards on HP delegation to youarealive.
beststart,"45,1257",ALIVE,Rewards on HP delegation to youarealive.
lightcaptured,"44,73",ALIVE,Rewards on HP delegation to youarealive.
benthomaswwd,"22,5182",ALIVE,Rewards on HP delegation to youarealive.
fruityfruitz,"18,0503",ALIVE,Rewards on HP delegation to youarealive.
bombus,"18,0503",ALIVE,Rewards on HP delegation to youarealive.
chmoen,"19,8885",ALIVE,Rewards on HP delegation to youarealive.
ironshield,"17,8716",ALIVE,Rewards on HP delegation to youarealive.
truth2,"13,8504",ALIVE,Rewards on HP delegation to youarealive.
madame-cyntaia,"13,5313",ALIVE,Rewards on HP delegation to youarealive.
melinda010100,"13,493",ALIVE,Rewards on HP delegation to youarealive.
kingneptune,"9,7272",ALIVE,Rewards on HP delegation to youarealive.
merthin,"9,1145",ALIVE,Rewards on HP delegation to youarealive.
pedrobrito2004,"9,1145",ALIVE,Rewards on HP delegation to youarealive.
ubani,"9,1145",ALIVE,Rewards on HP delegation to youarealive.
chaosmagic23,"9,0251",ALIVE,Rewards on HP delegation to youarealive.
monica-ene,"9,0251",ALIVE,Rewards on HP delegation to youarealive.
jimmy.adames,"9,0251",ALIVE,Rewards on HP delegation to youarealive.
myjob,"8,9358",ALIVE,Rewards on HP delegation to youarealive.
technicalside,"8,9358",ALIVE,Rewards on HP delegation to youarealive.
dragokazo,"8,9358",ALIVE,Rewards on HP delegation to youarealive.
misshugo,"8,9358",ALIVE,Rewards on HP delegation to youarealive.
elyelma,"8,9358",ALIVE,Rewards on HP delegation to youarealive.
eolianpariah2,"8,9358",ALIVE,Rewards on HP delegation to youarealive.
