account,amount,symbol,memo
mypathtofire,"253,4975",ALIVE,Rewards on HP delegation to youarealive.
metzli,"212,9765",ALIVE,Rewards on HP delegation to youarealive.
rcaine,"127,4723",ALIVE,Rewards on HP delegation to youarealive.
davidthompson57,"126,9417",ALIVE,Rewards on HP delegation to youarealive.
noctury,"88,5553",ALIVE,Rewards on HP delegation to youarealive.
flaxz,"86,6498",ALIVE,Rewards on HP delegation to youarealive.
iamraincrystal,"43,3912",ALIVE,Rewards on HP delegation to youarealive.
beststart,"42,4626",ALIVE,Rewards on HP delegation to youarealive.
myjob,"18,1138",ALIVE,Rewards on HP delegation to youarealive.
hafiz34,"21,6112",ALIVE,Rewards on HP delegation to youarealive.
benthomaswwd,"21,1891",ALIVE,Rewards on HP delegation to youarealive.
fruityfruitz,"17,0525",ALIVE,Rewards on HP delegation to youarealive.
bombus,"17,0525",ALIVE,Rewards on HP delegation to youarealive.
chmoen,"16,9681",ALIVE,Rewards on HP delegation to youarealive.
ironshield,"16,8837",ALIVE,Rewards on HP delegation to youarealive.
madame-cyntaia,"12,7472",ALIVE,Rewards on HP delegation to youarealive.
melinda010100,"12,7472",ALIVE,Rewards on HP delegation to youarealive.
truth2,"12,8075",ALIVE,Rewards on HP delegation to youarealive.
kingneptune,"9,1172",ALIVE,Rewards on HP delegation to youarealive.
merthin,"8,6107",ALIVE,Rewards on HP delegation to youarealive.
pedrobrito2004,"8,6107",ALIVE,Rewards on HP delegation to youarealive.
ubani,"8,5262",ALIVE,Rewards on HP delegation to youarealive.
chaosmagic23,"8,5262",ALIVE,Rewards on HP delegation to youarealive.
monica-ene,"8,5262",ALIVE,Rewards on HP delegation to youarealive.
svanbo,"8,4418",ALIVE,Rewards on HP delegation to youarealive.
jimmy.adames,"8,4418",ALIVE,Rewards on HP delegation to youarealive.
twicejoy,"9,4066",ALIVE,Rewards on HP delegation to youarealive.
caelum1infernum,"6,3314",ALIVE,Rewards on HP delegation to youarealive.
manuvert,"4,3053",ALIVE,Rewards on HP delegation to youarealive.
dragokazo,"4,3053",ALIVE,Rewards on HP delegation to youarealive.
darmst5339,"4,245",ALIVE,Rewards on HP delegation to youarealive.
old-man-chu58,"4,2209",ALIVE,Rewards on HP delegation to youarealive.
elyelma,"4,2209",ALIVE,Rewards on HP delegation to youarealive.
monstermama,"4,2209",ALIVE,Rewards on HP delegation to youarealive.
alitas,"3,5455",ALIVE,Rewards on HP delegation to youarealive.
nicklewis,"3,3767",ALIVE,Rewards on HP delegation to youarealive.
digitalbrain,"3,039",ALIVE,Rewards on HP delegation to youarealive.
stdd,"2,5325",ALIVE,Rewards on HP delegation to youarealive.
mell79,"2,5325",ALIVE,Rewards on HP delegation to youarealive.
foodwhale,"2,1948",ALIVE,Rewards on HP delegation to youarealive.
awah,"2,1104",ALIVE,Rewards on HP delegation to youarealive.
steemjustice,"2,026",ALIVE,Rewards on HP delegation to youarealive.
davidxxl,"1,6883",ALIVE,Rewards on HP delegation to youarealive.
matias-walkoski,"1,6883",ALIVE,Rewards on HP delegation to youarealive.
alzee,"0,9286",ALIVE,Rewards on HP delegation to youarealive.
adysscheryl,"1,5677",ALIVE,Rewards on HP delegation to youarealive.
cmmndrbawang,"0,8441",ALIVE,Rewards on HP delegation to youarealive.
stevermac1966,"0,8441",ALIVE,Rewards on HP delegation to youarealive.
tonybad,"0,8441",ALIVE,Rewards on HP delegation to youarealive.
sabajfa,"0,8441",ALIVE,Rewards on HP delegation to youarealive.
dewabrata,"0,8441",ALIVE,Rewards on HP delegation to youarealive.
kam5iz,"0,8441",ALIVE,Rewards on HP delegation to youarealive.
argsolver,"0,7597",ALIVE,Rewards on HP delegation to youarealive.
athomewithcraig,"0,5065",ALIVE,Rewards on HP delegation to youarealive.
heartbeatonhive,"0,422",ALIVE,Rewards on HP delegation to youarealive.
thoth442,"0,422",ALIVE,Rewards on HP delegation to youarealive.
hoffmeister84,"0,422",ALIVE,Rewards on HP delegation to youarealive.
traducciones,"0,3376",ALIVE,Rewards on HP delegation to youarealive.
pazartesi,"0,3376",ALIVE,Rewards on HP delegation to youarealive.
synergized,"0,1688",ALIVE,Rewards on HP delegation to youarealive.
oasiskp2,"0,1688",ALIVE,Rewards on HP delegation to youarealive.
misshugo,"3,6179",ALIVE,Rewards on HP delegation to youarealive.
rsstarpro,"24,1196",ALIVE,Rewards on HP delegation to youarealive.
atomcollector,"12,0598",ALIVE,Rewards on HP delegation to youarealive.
comparestore,"2,4119",ALIVE,Rewards on HP delegation to youarealive.
mypathtofire,"43,1824",ALIVE,Rewards on RC delegation to youarealive.
beststart,"7,9314",ALIVE,Rewards on RC delegation to youarealive.
awah,"2,5831",ALIVE,Rewards on RC delegation to youarealive.
azj26,"2,2071",ALIVE,Rewards on RC delegation to youarealive.
gurseerat,"1,8857",ALIVE,Rewards on RC delegation to youarealive.
alonicus,"1,5908",ALIVE,Rewards on RC delegation to youarealive.
guurry123,"1,2818",ALIVE,Rewards on RC delegation to youarealive.
beeber,"0,8828",ALIVE,Rewards on RC delegation to youarealive.
davidthompson57,"0,872",ALIVE,Rewards on RC delegation to youarealive.
queercoin,"0,6944",ALIVE,Rewards on RC delegation to youarealive.
vaynard86,"0,5297",ALIVE,Rewards on RC delegation to youarealive.
chmoen,"0,4663",ALIVE,Rewards on RC delegation to youarealive.
rzc24-nftbbg,"0,4431",ALIVE,Rewards on RC delegation to youarealive.
michelmake,"0,4414",ALIVE,Rewards on RC delegation to youarealive.
yeckingo1,"0,4414",ALIVE,Rewards on RC delegation to youarealive.
curatorwhale,"0,3009",ALIVE,Rewards on RC delegation to youarealive.
hoosie,"0,2898",ALIVE,Rewards on RC delegation to youarealive.
arc7icwolf,"0,2648",ALIVE,Rewards on RC delegation to youarealive.
oasiskp2,"0,1871",ALIVE,Rewards on RC delegation to youarealive.
hannes-stoffel,"0,1853",ALIVE,Rewards on RC delegation to youarealive.
pravesh0,"0,1818",ALIVE,Rewards on RC delegation to youarealive.
thoth442,"0,1765",ALIVE,Rewards on RC delegation to youarealive.
mk992039,"0,1059",ALIVE,Rewards on RC delegation to youarealive.
paulmoon410,"0,0953",ALIVE,Rewards on RC delegation to youarealive.
lukasbachofner,"0,0882",ALIVE,Rewards on RC delegation to youarealive.
svanbo,"0,0882",ALIVE,Rewards on RC delegation to youarealive.
kingneptune,"0,0882",ALIVE,Rewards on RC delegation to youarealive.
k5905200786,"0,075",ALIVE,Rewards on RC delegation to youarealive.
flaxz,"0,0617",ALIVE,Rewards on RC delegation to youarealive.
adysscheryl,"0,0568",ALIVE,Rewards on RC delegation to youarealive.
lightpen,"0,0441",ALIVE,Rewards on RC delegation to youarealive.
mell79,"0,0353",ALIVE,Rewards on RC delegation to youarealive.
savvyplayer,"0,0332",ALIVE,Rewards on RC delegation to youarealive.
