account,amount,symbol,memo
metzli,"171,7643",ALIVE,Rewards on HP delegation to youarealive.
mypathtofire,"135,8049",ALIVE,Rewards on HP delegation to youarealive.
rcaine,"102,8131",ALIVE,Rewards on HP delegation to youarealive.
davidthompson57,"102,3781",ALIVE,Rewards on HP delegation to youarealive.
noctury,"71,3969",ALIVE,Rewards on HP delegation to youarealive.
flaxz,"69,8889",ALIVE,Rewards on HP delegation to youarealive.
sagarkothari88,"67,8009",ALIVE,Rewards on HP delegation to youarealive.
ecoinstats,"67,7333",ALIVE,Rewards on HP delegation to youarealive.
iamraincrystal,"34,9831",ALIVE,Rewards on HP delegation to youarealive.
beststart,"34,2388",ALIVE,Rewards on HP delegation to youarealive.
lightcaptured,"33,9681",ALIVE,Rewards on HP delegation to youarealive.
technicalside,"31,9091",ALIVE,Rewards on HP delegation to youarealive.
bombus,"27,0662",ALIVE,Rewards on HP delegation to youarealive.
pregosauce,"20,3673",ALIVE,Rewards on HP delegation to youarealive.
benthomaswwd,"17,0517",ALIVE,Rewards on HP delegation to youarealive.
chmoen,"16,984",ALIVE,Rewards on HP delegation to youarealive.
fruityfruitz,"13,7361",ALIVE,Rewards on HP delegation to youarealive.
ironshield,"13,5717",ALIVE,Rewards on HP delegation to youarealive.
freesinger,"13,5331",ALIVE,Rewards on HP delegation to youarealive.
madame-cyntaia,"10,2851",ALIVE,Rewards on HP delegation to youarealive.
melinda010100,"10,2851",ALIVE,Rewards on HP delegation to youarealive.
misshugo,"10,1498",ALIVE,Rewards on HP delegation to youarealive.
atma.love,"7,5108",ALIVE,Rewards on HP delegation to youarealive.
kingneptune,"7,3755",ALIVE,Rewards on HP delegation to youarealive.
merthin,"6,9695",ALIVE,Rewards on HP delegation to youarealive.
pedrobrito2004,"6,9018",ALIVE,Rewards on HP delegation to youarealive.
ubani,"6,9018",ALIVE,Rewards on HP delegation to youarealive.
chaosmagic23,"6,9018",ALIVE,Rewards on HP delegation to youarealive.
monica-ene,"6,8342",ALIVE,Rewards on HP delegation to youarealive.
jimmy.adames,"6,8342",ALIVE,Rewards on HP delegation to youarealive.
myjob,"6,8342",ALIVE,Rewards on HP delegation to youarealive.
dragokazo,"6,8342",ALIVE,Rewards on HP delegation to youarealive.
elyelma,"6,7665",ALIVE,Rewards on HP delegation to youarealive.
eolianpariah2,"24,1663",ALIVE,Rewards on HP delegation to youarealive.
orionvk,"6,7665",ALIVE,Rewards on HP delegation to youarealive.
iamjabez,"6,7665",ALIVE,Rewards on HP delegation to youarealive.
familyhistory,"6,7665",ALIVE,Rewards on HP delegation to youarealive.
theroad2freedom,"6,7665",ALIVE,Rewards on HP delegation to youarealive.
lotto-de,"5,4132",ALIVE,Rewards on HP delegation to youarealive.
caelum1infernum,"5,1425",ALIVE,Rewards on HP delegation to youarealive.
miketr,"4,0599",ALIVE,Rewards on HP delegation to youarealive.
manuvert,"3,5186",ALIVE,Rewards on HP delegation to youarealive.
darmst5339,"3,4509",ALIVE,Rewards on HP delegation to youarealive.
old-man-chu58,"3,4509",ALIVE,Rewards on HP delegation to youarealive.
monstermama,"3,3832",ALIVE,Rewards on HP delegation to youarealive.
adysscheryl,"3,3832",ALIVE,Rewards on HP delegation to youarealive.
awah,"3,3832",ALIVE,Rewards on HP delegation to youarealive.
libertycrypto27,"3,3832",ALIVE,Rewards on HP delegation to youarealive.
cwow2,"3,3832",ALIVE,Rewards on HP delegation to youarealive.
heartbeatonhive,"3,3832",ALIVE,Rewards on HP delegation to youarealive.
