account,amount,symbol,memo
metzli,"162,7508",ALIVE,Rewards on HP delegation to youarealive.
rcaine,"97,4148",ALIVE,Rewards on HP delegation to youarealive.
davidthompson57,"97,0038",ALIVE,Rewards on HP delegation to youarealive.
mypathtofire,"82,2431",ALIVE,Rewards on HP delegation to youarealive.
lightcaptured,"68,1584",ALIVE,Rewards on HP delegation to youarealive.
noctury,"67,656",ALIVE,Rewards on HP delegation to youarealive.
flaxz,"66,222",ALIVE,Rewards on HP delegation to youarealive.
sagarkothari88,"9,1797",ALIVE,Rewards on HP delegation to youarealive.
ecoinstats,"64,1942",ALIVE,Rewards on HP delegation to youarealive.
awesomegames007,"64,0389",ALIVE,Rewards on HP delegation to youarealive.
iamraincrystal,"64,0024",ALIVE,Rewards on HP delegation to youarealive.
beststart,"32,435",ALIVE,Rewards on HP delegation to youarealive.
technicalside,"31,9692",ALIVE,Rewards on HP delegation to youarealive.
bombus,"25,6393",ALIVE,Rewards on HP delegation to youarealive.
eolianpariah2,"25,6393",ALIVE,Rewards on HP delegation to youarealive.
awah,"25,6393",ALIVE,Rewards on HP delegation to youarealive.
pregosauce,"19,3094",ALIVE,Rewards on HP delegation to youarealive.
epic-fail,"19,2454",ALIVE,Rewards on HP delegation to youarealive.
benthomaswwd,"16,1764",ALIVE,Rewards on HP delegation to youarealive.
chmoen,"16,0485",ALIVE,Rewards on HP delegation to youarealive.
fruityfruitz,"12,9795",ALIVE,Rewards on HP delegation to youarealive.
freesinger,"12,8516",ALIVE,Rewards on HP delegation to youarealive.
misshugo,"29,2381",ALIVE,Rewards on HP delegation to youarealive.
ironshield,"12,8516",ALIVE,Rewards on HP delegation to youarealive.
libertycrypto27,"12,7877",ALIVE,Rewards on HP delegation to youarealive.
madame-cyntaia,"9,7186",ALIVE,Rewards on HP delegation to youarealive.
melinda010100,"9,7186",ALIVE,Rewards on HP delegation to youarealive.
kingneptune,"7,4808",ALIVE,Rewards on HP delegation to youarealive.
atma.love,"7,1611",ALIVE,Rewards on HP delegation to youarealive.
azkabananas,"8,3576",ALIVE,Rewards on HP delegation to youarealive.
merthin,"6,5856",ALIVE,Rewards on HP delegation to youarealive.
pedrobrito2004,"6,5856",ALIVE,Rewards on HP delegation to youarealive.
ubani,"6,5217",ALIVE,Rewards on HP delegation to youarealive.
chaosmagic23,"7,837",ALIVE,Rewards on HP delegation to youarealive.
monica-ene,"6,5217",ALIVE,Rewards on HP delegation to youarealive.
jimmy.adames,"6,4577",ALIVE,Rewards on HP delegation to youarealive.
myjob,"6,4577",ALIVE,Rewards on HP delegation to youarealive.
dragokazo,"6,4577",ALIVE,Rewards on HP delegation to youarealive.
elyelma,"6,4577",ALIVE,Rewards on HP delegation to youarealive.
orionvk,"6,4029",ALIVE,Rewards on HP delegation to youarealive.
iamjabez,"6,3938",ALIVE,Rewards on HP delegation to youarealive.
theroad2freedom,"6,3938",ALIVE,Rewards on HP delegation to youarealive.
