account,amount,symbol,memo
mypathtofire,"227,5621",ALIVE,Rewards on HP delegation to @youarealive.
metzli,"190,0301",ALIVE,Rewards on HP delegation to @youarealive.
rcaine,"113,7323",ALIVE,Rewards on HP delegation to @youarealive.
noctury,"79,0141",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"77,315",ALIVE,Rewards on HP delegation to @youarealive.
davidthompson57,"75,9839",ALIVE,Rewards on HP delegation to @youarealive.
iamraincrystal,"38,7116",ALIVE,Rewards on HP delegation to @youarealive.
myjob,"37,954",ALIVE,Rewards on HP delegation to @youarealive.
hafiz34,"19,3179",ALIVE,Rewards on HP delegation to @youarealive.
dragon-ti,"2,1752",ALIVE,Rewards on HP delegation to @youarealive.
benthomaswwd,"15,2054",ALIVE,Rewards on HP delegation to @youarealive.
fruityfruitz,"15,1621",ALIVE,Rewards on HP delegation to @youarealive.
bombus,"15,1513",ALIVE,Rewards on HP delegation to @youarealive.
chmoen,"15,1513",ALIVE,Rewards on HP delegation to @youarealive.
twicejoy,"15,1513",ALIVE,Rewards on HP delegation to @youarealive.
madame-cyntaia,"11,3634",ALIVE,Rewards on HP delegation to @youarealive.
kingneptune,"7,7055",ALIVE,Rewards on HP delegation to @youarealive.
jimmy.adames,"7,6514",ALIVE,Rewards on HP delegation to @youarealive.
merthin,"7,6514",ALIVE,Rewards on HP delegation to @youarealive.
pedrobrito2004,"7,6514",ALIVE,Rewards on HP delegation to @youarealive.
ubani,"7,6514",ALIVE,Rewards on HP delegation to @youarealive.
melinda010100,"7,6514",ALIVE,Rewards on HP delegation to @youarealive.
chaosmagic23,"7,6297",ALIVE,Rewards on HP delegation to @youarealive.
monica-ene,"7,5756",ALIVE,Rewards on HP delegation to @youarealive.
ironshield,"7,5756",ALIVE,Rewards on HP delegation to @youarealive.
caelum1infernum,"4,0908",ALIVE,Rewards on HP delegation to @youarealive.
manuvert,"3,8635",ALIVE,Rewards on HP delegation to @youarealive.
dragokazo,"3,7878",ALIVE,Rewards on HP delegation to @youarealive.
buezor,"3,7878",ALIVE,Rewards on HP delegation to @youarealive.
darmst5339,"3,7878",ALIVE,Rewards on HP delegation to @youarealive.
old-man-chu58,"3,7878",ALIVE,Rewards on HP delegation to @youarealive.
buffalobison,"3,7878",ALIVE,Rewards on HP delegation to @youarealive.
alitas,"3,106",ALIVE,Rewards on HP delegation to @youarealive.
nicklewis,"3,0302",ALIVE,Rewards on HP delegation to @youarealive.
digitalbrain,"2,6514",ALIVE,Rewards on HP delegation to @youarealive.
foodwhale,"1,9696",ALIVE,Rewards on HP delegation to @youarealive.
castri-ja,"1,8939",ALIVE,Rewards on HP delegation to @youarealive.
steemjustice,"1,8181",ALIVE,Rewards on HP delegation to @youarealive.
davidxxl,"1,5151",ALIVE,Rewards on HP delegation to @youarealive.
matias-walkoski,"1,5151",ALIVE,Rewards on HP delegation to @youarealive.
mell79,"1,5151",ALIVE,Rewards on HP delegation to @youarealive.
alzee,"0,8333",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"0,7575",ALIVE,Rewards on HP delegation to @youarealive.
cmmndrbawang,"0,7575",ALIVE,Rewards on HP delegation to @youarealive.
stdd,"0,7575",ALIVE,Rewards on HP delegation to @youarealive.
stevermac1966,"0,7575",ALIVE,Rewards on HP delegation to @youarealive.
argsolver,"0,6818",ALIVE,Rewards on HP delegation to @youarealive.
athomewithcraig,"0,4545",ALIVE,Rewards on HP delegation to @youarealive.
heartbeatonhive,"0,3787",ALIVE,Rewards on HP delegation to @youarealive.
thoth442,"0,3787",ALIVE,Rewards on HP delegation to @youarealive.
traducciones,"0,303",ALIVE,Rewards on HP delegation to @youarealive.
pazartesi,"0,303",ALIVE,Rewards on HP delegation to @youarealive.
sabajfa,"0,1515",ALIVE,Rewards on HP delegation to @youarealive.
synergized,"0,1515",ALIVE,Rewards on HP delegation to @youarealive.
beststart,"27,0559",ALIVE,Rewards on HP delegation to @youarealive.
tonybad,"0,0324",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"0,2497",ALIVE,Rewards on RC delegation to @youarealive.
hannes-stoffel,"0,4653",ALIVE,Rewards on RC delegation to @youarealive.
hoosie,"0,9699",ALIVE,Rewards on RC delegation to @youarealive.
queercoin,"2,3265",ALIVE,Rewards on RC delegation to @youarealive.
flaxz,"0,2714",ALIVE,Rewards on RC delegation to @youarealive.
k5905200786,"0,3052",ALIVE,Rewards on RC delegation to @youarealive.
thoth442,"0,3676",ALIVE,Rewards on RC delegation to @youarealive.
chmoen,"2,0482",ALIVE,Rewards on RC delegation to @youarealive.
mypathtofire,"33,1375",ALIVE,Rewards on RC delegation to @youarealive.
davidthompson57,"3,8302",ALIVE,Rewards on RC delegation to @youarealive.
beeber,"3,3236",ALIVE,Rewards on RC delegation to @youarealive.
alonicus,"4,9907",ALIVE,Rewards on RC delegation to @youarealive.
beststart,"2,9775",ALIVE,Rewards on RC delegation to @youarealive.
bhattg,"0,8309",ALIVE,Rewards on RC delegation to @youarealive.
curatorwhale,"0,9442",ALIVE,Rewards on RC delegation to @youarealive.
lightpen,"0,1107",ALIVE,Rewards on RC delegation to @youarealive.
mell79,"0,0664",ALIVE,Rewards on RC delegation to @youarealive.
captainloken,"0,4431",ALIVE,Rewards on RC delegation to @youarealive.
funshee,"0,098",ALIVE,Rewards on RC delegation to @youarealive.
