account,amount,symbol,memo
mypathtofire,"246,0487",ALIVE,Rewards on HP delegation to @youarealive.
metzli,"205,4484",ALIVE,Rewards on HP delegation to @youarealive.
rcaine,"122,9716",ALIVE,Rewards on HP delegation to @youarealive.
noctury,"85,3918",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"83,5889",ALIVE,Rewards on HP delegation to @youarealive.
davidthompson57,"82,1255",ALIVE,Rewards on HP delegation to @youarealive.
iamraincrystal,"41,8295",ALIVE,Rewards on HP delegation to @youarealive.
myjob,"41,0569",ALIVE,Rewards on HP delegation to @youarealive.
hafiz34,"20,8972",ALIVE,Rewards on HP delegation to @youarealive.
dragon-ti,"16,4719",ALIVE,Rewards on HP delegation to @youarealive.
benthomaswwd,"16,3899",ALIVE,Rewards on HP delegation to @youarealive.
fruityfruitz,"16,3899",ALIVE,Rewards on HP delegation to @youarealive.
bombus,"16,3899",ALIVE,Rewards on HP delegation to @youarealive.
kingneptune,"8,2769",ALIVE,Rewards on HP delegation to @youarealive.
jimmy.adames,"8,2769",ALIVE,Rewards on HP delegation to @youarealive.
merthin,"8,2769",ALIVE,Rewards on HP delegation to @youarealive.
pedrobrito2004,"8,2769",ALIVE,Rewards on HP delegation to @youarealive.
ubani,"8,2769",ALIVE,Rewards on HP delegation to @youarealive.
melinda010100,"8,2769",ALIVE,Rewards on HP delegation to @youarealive.
chmoen,"14,0719",ALIVE,Rewards on HP delegation to @youarealive.
chaosmagic23,"8,1949",ALIVE,Rewards on HP delegation to @youarealive.
twicejoy,"11,7071",ALIVE,Rewards on HP delegation to @youarealive.
monica-ene,"8,1949",ALIVE,Rewards on HP delegation to @youarealive.
ironshield,"8,1949",ALIVE,Rewards on HP delegation to @youarealive.
caelum1infernum,"4,4252",ALIVE,Rewards on HP delegation to @youarealive.
manuvert,"4,1794",ALIVE,Rewards on HP delegation to @youarealive.
dragokazo,"4,0974",ALIVE,Rewards on HP delegation to @youarealive.
buezor,"4,0974",ALIVE,Rewards on HP delegation to @youarealive.
darmst5339,"4,0974",ALIVE,Rewards on HP delegation to @youarealive.
old-man-chu58,"4,0974",ALIVE,Rewards on HP delegation to @youarealive.
zpek,"1,6155",ALIVE,Rewards on HP delegation to @youarealive.
alitas,"3,3599",ALIVE,Rewards on HP delegation to @youarealive.
nicklewis,"3,2779",ALIVE,Rewards on HP delegation to @youarealive.
digitalbrain,"2,8682",ALIVE,Rewards on HP delegation to @youarealive.
foodwhale,"2,1306",ALIVE,Rewards on HP delegation to @youarealive.
castri-ja,"2,0487",ALIVE,Rewards on HP delegation to @youarealive.
steemjustice,"1,9667",ALIVE,Rewards on HP delegation to @youarealive.
davidxxl,"1,6389",ALIVE,Rewards on HP delegation to @youarealive.
matias-walkoski,"1,6389",ALIVE,Rewards on HP delegation to @youarealive.
mell79,"1,6389",ALIVE,Rewards on HP delegation to @youarealive.
alzee,"0,9014",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"0,8194",ALIVE,Rewards on HP delegation to @youarealive.
cmmndrbawang,"0,8194",ALIVE,Rewards on HP delegation to @youarealive.
stdd,"0,8194",ALIVE,Rewards on HP delegation to @youarealive.
stevermac1966,"0,8194",ALIVE,Rewards on HP delegation to @youarealive.
argsolver,"0,7375",ALIVE,Rewards on HP delegation to @youarealive.
athomewithcraig,"0,4916",ALIVE,Rewards on HP delegation to @youarealive.
heartbeatonhive,"0,4097",ALIVE,Rewards on HP delegation to @youarealive.
thoth442,"0,4097",ALIVE,Rewards on HP delegation to @youarealive.
traducciones,"0,3277",ALIVE,Rewards on HP delegation to @youarealive.
sabajfa,"0,1638",ALIVE,Rewards on HP delegation to @youarealive.
synergized,"0,1638",ALIVE,Rewards on HP delegation to @youarealive.
madame-cyntaia,"10,5364",ALIVE,Rewards on HP delegation to @youarealive.
buffalobison,"3,5121",ALIVE,Rewards on HP delegation to @youarealive.
pazartesi,"0,1873",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"0,4584",ALIVE,Rewards on RC delegation to @youarealive.
thoth442,"0,6208",ALIVE,Rewards on RC delegation to @youarealive.
adysscheryl,"0,4217",ALIVE,Rewards on RC delegation to @youarealive.
hannes-stoffel,"0,6267",ALIVE,Rewards on RC delegation to @youarealive.
hoosie,"0,3065",ALIVE,Rewards on RC delegation to @youarealive.
davidthompson57,"5,5446",ALIVE,Rewards on RC delegation to @youarealive.
chmoen,"2,9649",ALIVE,Rewards on RC delegation to @youarealive.
mypathtofire,"47,9692",ALIVE,Rewards on RC delegation to @youarealive.
queercoin,"2,2452",ALIVE,Rewards on RC delegation to @youarealive.
k5905200786,"0,0692",ALIVE,Rewards on RC delegation to @youarealive.
