account,amount,symbol,memo
noctury,"236,6975",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"231,6662",ALIVE,Rewards on HP delegation to @youarealive.
iamraincrystal,"115,9474",ALIVE,Rewards on HP delegation to @youarealive.
myjob,"114,3466",ALIVE,Rewards on HP delegation to @youarealive.
hafiz34,"57,8593",ALIVE,Rewards on HP delegation to @youarealive.
bearmol,"57,2059",ALIVE,Rewards on HP delegation to @youarealive.
kingneptune,"23,0980",ALIVE,Rewards on HP delegation to @youarealive.
jimmy.adames,"23,0980",ALIVE,Rewards on HP delegation to @youarealive.
mypathtofire,"75,2400",ALIVE,Rewards on HP delegation to @youarealive.
merthin,"23,0980",ALIVE,Rewards on HP delegation to @youarealive.
pedrobrito2004,"22,8693",ALIVE,Rewards on HP delegation to @youarealive.
ubani,"22,8693",ALIVE,Rewards on HP delegation to @youarealive.
benthomaswwd,"11,4346",ALIVE,Rewards on HP delegation to @youarealive.
chaosmagic23,"11,4346",ALIVE,Rewards on HP delegation to @youarealive.
twicejoy,"11,4346",ALIVE,Rewards on HP delegation to @youarealive.
zpek,"10,2911",ALIVE,Rewards on HP delegation to @youarealive.
assassyn,"9,1477",ALIVE,Rewards on HP delegation to @youarealive.
chmoen,"5,7173",ALIVE,Rewards on HP delegation to @youarealive.
davidxxl,"4,5738",ALIVE,Rewards on HP delegation to @youarealive.
firstborn.pob,"4,5738",ALIVE,Rewards on HP delegation to @youarealive.
darmst5339,"4,5738",ALIVE,Rewards on HP delegation to @youarealive.
caelum1infernum,"5,1292",ALIVE,Rewards on HP delegation to @youarealive.
bombus,"2,2869",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"2,2869",ALIVE,Rewards on HP delegation to @youarealive.
cmmndrbawang,"2,2869",ALIVE,Rewards on HP delegation to @youarealive.
buezor,"2,9403",ALIVE,Rewards on HP delegation to @youarealive.
athomewithcraig,"1,3721",ALIVE,Rewards on HP delegation to @youarealive.
stevermac1966,"1,1434",ALIVE,Rewards on HP delegation to @youarealive.
old-man-chu58,"1,1434",ALIVE,Rewards on HP delegation to @youarealive.
sabajfa,"0,4573",ALIVE,Rewards on HP delegation to @youarealive.
alzee,"1,4375",ALIVE,Rewards on HP delegation to @youarealive.
captainloken,"0,6534",ALIVE,Rewards on HP delegation to @youarealive.
