account,amount,symbol,memo
noctury,"198,4385",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"194,2286",ALIVE,Rewards on HP delegation to @youarealive.
bearmol,"164,0214",ALIVE,Rewards on HP delegation to @youarealive.
iamraincrystal,"97,2100",ALIVE,Rewards on HP delegation to @youarealive.
mypathtofire,"95,8705",ALIVE,Rewards on HP delegation to @youarealive.
hafiz34,"48,4136",ALIVE,Rewards on HP delegation to @youarealive.
monica-ene,"38,2716",ALIVE,Rewards on HP delegation to @youarealive.
kingneptune,"19,3271",ALIVE,Rewards on HP delegation to @youarealive.
jimmy.adames,"19,3271",ALIVE,Rewards on HP delegation to @youarealive.
merthin,"19,3271",ALIVE,Rewards on HP delegation to @youarealive.
pedrobrito2004,"19,3271",ALIVE,Rewards on HP delegation to @youarealive.
ubani,"19,1358",ALIVE,Rewards on HP delegation to @youarealive.
melinda010100,"19,1358",ALIVE,Rewards on HP delegation to @youarealive.
myjob,"19,1358",ALIVE,Rewards on HP delegation to @youarealive.
chmoen,"19,1358",ALIVE,Rewards on HP delegation to @youarealive.
caelum1infernum,"10,3333",ALIVE,Rewards on HP delegation to @youarealive.
manuvert,"9,7592",ALIVE,Rewards on HP delegation to @youarealive.
benthomaswwd,"9,5679",ALIVE,Rewards on HP delegation to @youarealive.
chaosmagic23,"11,2081",ALIVE,Rewards on HP delegation to @youarealive.
twicejoy,"9,5679",ALIVE,Rewards on HP delegation to @youarealive.
dragokazo,"9,5679",ALIVE,Rewards on HP delegation to @youarealive.
zpek,"8,7204",ALIVE,Rewards on HP delegation to @youarealive.
vickoly,"4,7839",ALIVE,Rewards on HP delegation to @youarealive.
davidxxl,"3,8271",ALIVE,Rewards on HP delegation to @youarealive.
firstborn.pob,"3,8271",ALIVE,Rewards on HP delegation to @youarealive.
darmst5339,"3,8271",ALIVE,Rewards on HP delegation to @youarealive.
buezor,"8,7478",ALIVE,Rewards on HP delegation to @youarealive.
bombus,"3,8271",ALIVE,Rewards on HP delegation to @youarealive.
alzee,"2,1049",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"1,9135",ALIVE,Rewards on HP delegation to @youarealive.
cmmndrbawang,"1,9135",ALIVE,Rewards on HP delegation to @youarealive.
captainloken,"1,9135",ALIVE,Rewards on HP delegation to @youarealive.
athomewithcraig,"1,1481",ALIVE,Rewards on HP delegation to @youarealive.
heartbeatonhive,"0,9567",ALIVE,Rewards on HP delegation to @youarealive.
stevermac1966,"0,9567",ALIVE,Rewards on HP delegation to @youarealive.
old-man-chu58,"0,9567",ALIVE,Rewards on HP delegation to @youarealive.
mell79,"0,9567",ALIVE,Rewards on HP delegation to @youarealive.
sabajfa,"0,3827",ALIVE,Rewards on HP delegation to @youarealive.
metzli,"164,0214",ALIVE,Rewards on HP delegation to @youarealive.
