account,amount,symbol,memo
noctury,"1035,000",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"1013,000",ALIVE,Rewards on HP delegation to @youarealive.
iamraincrystal,"507,000",ALIVE,Rewards on HP delegation to @youarealive.
myjob,"500,000",ALIVE,Rewards on HP delegation to @youarealive.
hafiz34,"253,000",ALIVE,Rewards on HP delegation to @youarealive.
bearmol,"250,143",ALIVE,Rewards on HP delegation to @youarealive.
kingneptune,"101,000",ALIVE,Rewards on HP delegation to @youarealive.
jimmy.adames,"101,000",ALIVE,Rewards on HP delegation to @youarealive.
mypathtofire,"329,000",ALIVE,Rewards on HP delegation to @youarealive.
merthin,"101,000",ALIVE,Rewards on HP delegation to @youarealive.
pedrobrito2004,"100,000",ALIVE,Rewards on HP delegation to @youarealive.
ubani,"100,000",ALIVE,Rewards on HP delegation to @youarealive.
manuvert,"51,000",ALIVE,Rewards on HP delegation to @youarealive.
benthomaswwd,"50,000",ALIVE,Rewards on HP delegation to @youarealive.
chaosmagic23,"50,000",ALIVE,Rewards on HP delegation to @youarealive.
twicejoy,"50,000",ALIVE,Rewards on HP delegation to @youarealive.
zpek,"45,000",ALIVE,Rewards on HP delegation to @youarealive.
assassyn,"40,000",ALIVE,Rewards on HP delegation to @youarealive.
vickoly,"25,000",ALIVE,Rewards on HP delegation to @youarealive.
chmoen,"25,000",ALIVE,Rewards on HP delegation to @youarealive.
davidxxl,"20,000",ALIVE,Rewards on HP delegation to @youarealive.
firstborn.pob,"20,000",ALIVE,Rewards on HP delegation to @youarealive.
darmst5339,"20,000",ALIVE,Rewards on HP delegation to @youarealive.
caelum1infernum,"22,429",ALIVE,Rewards on HP delegation to @youarealive.
bombus,"10,000",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"10,000",ALIVE,Rewards on HP delegation to @youarealive.
cmmndrbawang,"10,000",ALIVE,Rewards on HP delegation to @youarealive.
buezor,"12,857",ALIVE,Rewards on HP delegation to @youarealive.
athomewithcraig,"6,000",ALIVE,Rewards on HP delegation to @youarealive.
heartbeatonhive,"5,000",ALIVE,Rewards on HP delegation to @youarealive.
stevermac1966,"5,000",ALIVE,Rewards on HP delegation to @youarealive.
old-man-chu58,"5,000",ALIVE,Rewards on HP delegation to @youarealive.
sabajfa,"2,000",ALIVE,Rewards on HP delegation to @youarealive.
alzee,"6,286",ALIVE,Rewards on HP delegation to @youarealive.
captainloken,"2,857",ALIVE,Rewards on HP delegation to @youarealive.
