account,amount,symbol,memo
mypathtofire,"217,5523",ALIVE,Rewards on HP delegation to @youarealive.
noctury,"113,1148",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"110,7242",ALIVE,Rewards on HP delegation to @youarealive.
metzli,"225,5466",ALIVE,Rewards on HP delegation to @youarealive.
davidthompson57,"108,7684",ALIVE,Rewards on HP delegation to @youarealive.
iamraincrystal,"55,4164",ALIVE,Rewards on HP delegation to @youarealive.
hafiz34,"27,5995",ALIVE,Rewards on HP delegation to @youarealive.
bearmol,"15,5538",ALIVE,Rewards on HP delegation to @youarealive.
dragon-ti,"21,7474",ALIVE,Rewards on HP delegation to @youarealive.
benthomaswwd,"21,7319",ALIVE,Rewards on HP delegation to @youarealive.
fruityfruitz,"21,7319",ALIVE,Rewards on HP delegation to @youarealive.
bombus,"21,7319",ALIVE,Rewards on HP delegation to @youarealive.
castri-ja,"10,9280",ALIVE,Rewards on HP delegation to @youarealive.
kingneptune,"10,9746",ALIVE,Rewards on HP delegation to @youarealive.
jimmy.adames,"10,9746",ALIVE,Rewards on HP delegation to @youarealive.
merthin,"10,9746",ALIVE,Rewards on HP delegation to @youarealive.
pedrobrito2004,"10,9746",ALIVE,Rewards on HP delegation to @youarealive.
ubani,"10,9746",ALIVE,Rewards on HP delegation to @youarealive.
melinda010100,"10,9746",ALIVE,Rewards on HP delegation to @youarealive.
myjob,"48,1362",ALIVE,Rewards on HP delegation to @youarealive.
chmoen,"10,9280",ALIVE,Rewards on HP delegation to @youarealive.
chaosmagic23,"10,8659",ALIVE,Rewards on HP delegation to @youarealive.
twicejoy,"10,8659",ALIVE,Rewards on HP delegation to @youarealive.
monica-ene,"10,8659",ALIVE,Rewards on HP delegation to @youarealive.
ironshield,"10,8659",ALIVE,Rewards on HP delegation to @youarealive.
helios.voter,"10,8659",ALIVE,Rewards on HP delegation to @youarealive.
caelum1infernum,"5,8676",ALIVE,Rewards on HP delegation to @youarealive.
manuvert,"5,5416",ALIVE,Rewards on HP delegation to @youarealive.
dragokazo,"5,4329",ALIVE,Rewards on HP delegation to @youarealive.
buezor,"5,4329",ALIVE,Rewards on HP delegation to @youarealive.
darmst5339,"5,4329",ALIVE,Rewards on HP delegation to @youarealive.
old-man-chu58,"5,4329",ALIVE,Rewards on HP delegation to @youarealive.
zpek,"4,9983",ALIVE,Rewards on HP delegation to @youarealive.
nicklewis,"4,3463",ALIVE,Rewards on HP delegation to @youarealive.
davidxxl,"2,1731",ALIVE,Rewards on HP delegation to @youarealive.
alzee,"1,1952",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"1,0865",ALIVE,Rewards on HP delegation to @youarealive.
cmmndrbawang,"1,0865",ALIVE,Rewards on HP delegation to @youarealive.
captainloken,"1,0865",ALIVE,Rewards on HP delegation to @youarealive.
stdd,"1,0865",ALIVE,Rewards on HP delegation to @youarealive.
stevermac1966,"1,0865",ALIVE,Rewards on HP delegation to @youarealive.
mell79,"1,0865",ALIVE,Rewards on HP delegation to @youarealive.
athomewithcraig,"0,6519",ALIVE,Rewards on HP delegation to @youarealive.
heartbeatonhive,"0,5432",ALIVE,Rewards on HP delegation to @youarealive.
thoth442,"0,5432",ALIVE,Rewards on HP delegation to @youarealive.
sabajfa,"0,2173",ALIVE,Rewards on HP delegation to @youarealive.
alitas,"3,1821",ALIVE,Rewards on HP delegation to @youarealive.
digitalbrain,"2,7164",ALIVE,Rewards on HP delegation to @youarealive.
foodwhale,"2,0179",ALIVE,Rewards on HP delegation to @youarealive.
steemjustice,"1,8627",ALIVE,Rewards on HP delegation to @youarealive.
matias-walkoski,"1,5522",ALIVE,Rewards on HP delegation to @youarealive.
argsolver,"0,6985",ALIVE,Rewards on HP delegation to @youarealive.
traducciones,"0,3104",ALIVE,Rewards on HP delegation to @youarealive.
