account,amount,symbol,memo
noctury,"182,5334",ALIVE,Rewards on HP delegation to @youarealive.
flaxz,"178,6139",ALIVE,Rewards on HP delegation to @youarealive.
metzli,"176,0511",ALIVE,Rewards on HP delegation to @youarealive.
bearmol,"138,2128",ALIVE,Rewards on HP delegation to @youarealive.
iamraincrystal,"89,3446",ALIVE,Rewards on HP delegation to @youarealive.
mypathtofire,"88,1135",ALIVE,Rewards on HP delegation to @youarealive.
hafiz34,"44,6220",ALIVE,Rewards on HP delegation to @youarealive.
monica-ene,"35,1750",ALIVE,Rewards on HP delegation to @youarealive.
kingneptune,"17,7634",ALIVE,Rewards on HP delegation to @youarealive.
jimmy.adames,"17,7634",ALIVE,Rewards on HP delegation to @youarealive.
merthin,"17,7634",ALIVE,Rewards on HP delegation to @youarealive.
pedrobrito2004,"17,7634",ALIVE,Rewards on HP delegation to @youarealive.
ubani,"17,5875",ALIVE,Rewards on HP delegation to @youarealive.
melinda010100,"17,5875",ALIVE,Rewards on HP delegation to @youarealive.
myjob,"17,5875",ALIVE,Rewards on HP delegation to @youarealive.
chmoen,"17,5875",ALIVE,Rewards on HP delegation to @youarealive.
chaosmagic23,"16,5825",ALIVE,Rewards on HP delegation to @youarealive.
caelum1infernum,"9,4972",ALIVE,Rewards on HP delegation to @youarealive.
manuvert,"8,9696",ALIVE,Rewards on HP delegation to @youarealive.
benthomaswwd,"15,0750",ALIVE,Rewards on HP delegation to @youarealive.
twicejoy,"8,7937",ALIVE,Rewards on HP delegation to @youarealive.
dragokazo,"8,7937",ALIVE,Rewards on HP delegation to @youarealive.
buezor,"8,7937",ALIVE,Rewards on HP delegation to @youarealive.
zpek,"8,0902",ALIVE,Rewards on HP delegation to @youarealive.
vickoly,"4,3968",ALIVE,Rewards on HP delegation to @youarealive.
davidxxl,"3,5175",ALIVE,Rewards on HP delegation to @youarealive.
firstborn.pob,"3,5175",ALIVE,Rewards on HP delegation to @youarealive.
darmst5339,"3,5175",ALIVE,Rewards on HP delegation to @youarealive.
bombus,"6,0300",ALIVE,Rewards on HP delegation to @youarealive.
alzee,"1,9346",ALIVE,Rewards on HP delegation to @youarealive.
adysscheryl,"1,7587",ALIVE,Rewards on HP delegation to @youarealive.
cmmndrbawang,"1,7587",ALIVE,Rewards on HP delegation to @youarealive.
captainloken,"1,7587",ALIVE,Rewards on HP delegation to @youarealive.
athomewithcraig,"1,0552",ALIVE,Rewards on HP delegation to @youarealive.
heartbeatonhive,"0,8793",ALIVE,Rewards on HP delegation to @youarealive.
stevermac1966,"0,8793",ALIVE,Rewards on HP delegation to @youarealive.
old-man-chu58,"0,8793",ALIVE,Rewards on HP delegation to @youarealive.
mell79,"0,8793",ALIVE,Rewards on HP delegation to @youarealive.
sabajfa,"0,3517",ALIVE,Rewards on HP delegation to @youarealive.
