account,amount,symbol
old-man-chu58,"3,3034",ALIVE
thoth442,"14,6109",ALIVE
visualblock,"0,0568",ALIVE
ironshield,"4,2417",ALIVE
bradleyarrow,"2,091",ALIVE
jaybart,"17,7019",ALIVE
darmst5339,"1,0385",ALIVE
bechibenner,"59,3875",ALIVE
alovely088,"2,3061",ALIVE
mario89,"0,696",ALIVE
captainloken,"5,4408",ALIVE
manuvert,"2,4217",ALIVE
adysscheryl,"5,1951",ALIVE
stdd,"7,1084",ALIVE
chapelle,"2,2352",ALIVE
yeckingo1,"1,1589",ALIVE
ngwinndave,"3,3101",ALIVE
vocup,"0,6074",ALIVE
oasiskp2,"0,423",ALIVE
tagmout,"0,3444",ALIVE
mypathtofire,"0,1936",ALIVE
jfang003,"0,4729",ALIVE
imfarhad,"2,9346",ALIVE
tokutaro22,"0,3675",ALIVE
caelum1infernum,"5,8513",ALIVE
jmis101,"4,3976",ALIVE
davidxxl,"2,9697",ALIVE
olujose6,"5,3386",ALIVE
amakauz,"2,6656",ALIVE
edgerik,"2,5182",ALIVE
kam5iz,"9,6675",ALIVE
hoosie,"0,7225",ALIVE
jacoalberts,"3,1374",ALIVE
noctury,"7,5845",ALIVE
benthomaswwd,"1,4936",ALIVE
alzee,"2,1706",ALIVE
visual.alive,"659,4078",ALIVE
beeber,"18,0634",ALIVE
castri-ja,"133,9193",ALIVE
hafiz34,"2,4447",ALIVE
