account,amount,symbol
tuisada,"3,3445",ALIVE
nkemakonam89,"2,156",ALIVE
amakauz,"7,1047",ALIVE
libertycrypto27,"42,7073",ALIVE
herculeand,"1,5387",ALIVE
dailyspam,"53,9492",ALIVE
fantagira,"16,1746",ALIVE
coquicoin,"139,7317",ALIVE
wandrnrose7,"0,8868",ALIVE
duvinca,"107,6693",ALIVE
keechadkikali,"19,5068",ALIVE
wanderingmoon,"9,1092",ALIVE
queercoin,"11,2941",ALIVE
emaxisonline,"32,0332",ALIVE
jfang003,"1,2705",ALIVE
stewie.wieno,"30,1422",ALIVE
ssebasv,"20,4807",ALIVE
dstampede,"0,4502",ALIVE
martinstomisin,"0,4502",ALIVE
