account,amount,symbol
keechadkikali,"9,6761",ALIVE
jane1289,"1,0744",ALIVE
daddydog,"10,7443",ALIVE
ifarmgirl,"0,193",ALIVE
wandrnrose7,"21,7809",ALIVE
cursephantom,"35,0973",ALIVE
jhymi,"2,6538",ALIVE
sagarkothari88,"103,4894",ALIVE
tuisada,"4,9581",ALIVE
jfang003,"1,5528",ALIVE
nkemakonam89,"0,2483",ALIVE
dailyspam,"76,8716",ALIVE
osomar357,"11,3876",ALIVE
amakauz,"5,1802",ALIVE
queercoin,"20,1689",ALIVE
fantagira,"3,9628",ALIVE
tagmout,"0,1973",ALIVE
gattafabianorecz,"0,5372",ALIVE
duvinca,"172,4458",ALIVE
herculeand,"17,78",ALIVE
