account,amount,symbol
dailyspam,"30,8085",ALIVE
libertycrypto27,"35,626",ALIVE
stewie.wieno,"58,9759",ALIVE
duvinca,"93,9489",ALIVE
roninrelax,"96,0133",ALIVE
tuisada,"0,4826",ALIVE
osomar357,"27,3003",ALIVE
emaxisonline,"0,1595",ALIVE
fantagira,"5,8414",ALIVE
coquicoin,"6,6171",ALIVE
amakauz,"5,3395",ALIVE
keechadkikali,"13,535",ALIVE
jfang003,"0,2317",ALIVE
wanderingmoon,"14,6759",ALIVE
tagmout,"42,362",ALIVE
wandrnrose7,"33,1873",ALIVE
generra-abraham,"0,1503",ALIVE
queercoin,"12,6778",ALIVE
ssebasv,"13,6063",ALIVE
nkemakonam89,"8,4607",ALIVE
