account,amount,symbol
adysscheryl,"0,009",ALIVEM
ironshield,"0,097",ALIVEM
bradleyarrow,"0,044",ALIVEM
mario89,"0,002",ALIVEM
chapelle,"0,027",ALIVEM
stdd,"0,025",ALIVEM
ana-maria,"0,002",ALIVEM
yeckingo1,"0,012",ALIVEM
vocup,"0,025",ALIVEM
caelum1infernum,"0,007",ALIVEM
imfarhad,"0,095",ALIVEM
alzee,"0,001",ALIVEM
darmst5339,"0,005",ALIVEM
noctury,"0,025",ALIVEM
hoosie,"0,003",ALIVEM
edgerik,"0,039",ALIVEM
gurseerat,"0,032",ALIVEM
davidxxl,"0,001",ALIVEM
engilhramn,"0,005",ALIVEM
mypathtofire,"0,06",ALIVEM
heartbeatonhive,"0,001",ALIVEM
master-lamps,"0,193",ALIVEM
bearmol,"0,001",ALIVEM
myjob,"0,01",ALIVEM
littlebee4,"0,005",ALIVEM
jmis101,"0,038",ALIVEM
oasiskp2,"0,051",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,014",ALIVEM
palomap3,"0,006",ALIVEM
olujose6,"0,019",ALIVEM
assassyn,"0,002",ALIVEM
apoloo1,"0,001",ALIVEM
liotes.alive,"0,001",ALIVEM
heruvim1978,"0,002",ALIVEM
sammyhive,"0,035",ALIVEM
ijelady,"0,018",ALIVEM
hivecurious,"0,023",ALIVEM
tydynrain,"0,028",ALIVEM
kaseldz,"0,007",ALIVEM
sumatranate,"0,038",ALIVEM
cursephantom,"0,014",ALIVEM
