account,amount,symbol
adysscheryl,"0,013",ALIVEM
ironshield,"0,178",ALIVEM
bradleyarrow,"0,085",ALIVEM
manuvert,"0,045",ALIVEM
mario89,"0,002",ALIVEM
chapelle,"0,043",ALIVEM
stdd,"0,058",ALIVEM
ana-maria,"0,009",ALIVEM
yeckingo1,"0,046",ALIVEM
vocup,"0,094",ALIVEM
caelum1infernum,"0,017",ALIVEM
imfarhad,"0,001",ALIVEM
alzee,"0,073",ALIVEM
darmst5339,"0,051",ALIVEM
jacoalberts,"0,022",ALIVEM
noctury,"0,051",ALIVEM
hoosie,"0,005",ALIVEM
edgerik,"0,133",ALIVEM
karizma,"0,002",ALIVEM
benthomaswwd,"0,001",ALIVEM
gurseerat,"0,082",ALIVEM
davidxxl,"0,002",ALIVEM
engilhramn,"0,007",ALIVEM
mypathtofire,"0,115",ALIVEM
heartbeatonhive,"0,002",ALIVEM
master-lamps,"0,001",ALIVEM
bearmol,"0,003",ALIVEM
myjob,"0,044",ALIVEM
elizabetamt,"0,076",ALIVEM
littlebee4,"0,034",ALIVEM
jmis101,"0,132",ALIVEM
oasiskp2,"0,001",ALIVEM
alovely088,"0,002",ALIVEM
awah,"0,02",ALIVEM
palomap3,"0,003",ALIVEM
olujose6,"0,022",ALIVEM
assassyn,"0,002",ALIVEM
neoxvoter,"0,002",ALIVEM
steem-holder,"0,009",ALIVEM
apoloo1,"0,12",ALIVEM
treefrognada,"0,009",ALIVEM
liotes.alive,"0,025",ALIVEM
heruvim1978,"0,01",ALIVEM
sammyhive,"0,02",ALIVEM
ijelady,"0,048",ALIVEM
hafiz34,"0,135",ALIVEM
tengolotodo,"0,025",ALIVEM
melinda010100,"0,019",ALIVEM
