account,amount,symbol
adysscheryl,"0,015",ALIVEM
ironshield,"0,062",ALIVEM
bradleyarrow,"0,056",ALIVEM
manuvert,"0,024",ALIVEM
mario89,"0,002",ALIVEM
chapelle,"0,01",ALIVEM
stdd,"0,037",ALIVEM
ana-maria,"0,005",ALIVEM
yeckingo1,"0,018",ALIVEM
vocup,"0,005",ALIVEM
caelum1infernum,"0,017",ALIVEM
darmst5339,"0,017",ALIVEM
noctury,"0,057",ALIVEM
hoosie,"0,011",ALIVEM
edgerik,"0,082",ALIVEM
karizma,"0,01",ALIVEM
benthomaswwd,"0,268",ALIVEM
gurseerat,"0,273",ALIVEM
davidxxl,"0,041",ALIVEM
engilhramn,"0,006",ALIVEM
mypathtofire,"0,082",ALIVEM
heartbeatonhive,"0,002",ALIVEM
tokutaro22,"0,015",ALIVEM
bearmol,"0,002",ALIVEM
littlebee4,"0,009",ALIVEM
jmis101,"0,041",ALIVEM
oasiskp2,"0,041",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,019",ALIVEM
siddhartaz,"0,092",ALIVEM
palomap3,"0,002",ALIVEM
olujose6,"0,011",ALIVEM
assassyn,"0,002",ALIVEM
neoxvoter,"0,081",ALIVEM
steem-holder,"0,011",ALIVEM
apoloo1,"0,027",ALIVEM
cryptopsycho21,"0,025",ALIVEM
