account,amount,symbol
adysscheryl,"0,017",ALIVEM
ironshield,"0,212",ALIVEM
bradleyarrow,"0,086",ALIVEM
manuvert,"0,01",ALIVEM
chapelle,"0,072",ALIVEM
stdd,"0,049",ALIVEM
ana-maria,"0,011",ALIVEM
yeckingo1,"0,019",ALIVEM
vocup,"0,043",ALIVEM
caelum1infernum,"0,009",ALIVEM
imfarhad,"0,001",ALIVEM
darmst5339,"0,039",ALIVEM
jacoalberts,"0,006",ALIVEM
noctury,"0,075",ALIVEM
hoosie,"0,012",ALIVEM
edgerik,"0,074",ALIVEM
karizma,"0,012",ALIVEM
gurseerat,"0,085",ALIVEM
davidxxl,"0,001",ALIVEM
engilhramn,"0,013",ALIVEM
mypathtofire,"0,109",ALIVEM
heartbeatonhive,"0,003",ALIVEM
master-lamps,"0,031",ALIVEM
bearmol,"0,001",ALIVEM
myjob,"0,019",ALIVEM
littlebee4,"0,011",ALIVEM
jmis101,"0,131",ALIVEM
oasiskp2,"0,001",ALIVEM
alovely088,"0,001",ALIVEM
palomap3,"0,006",ALIVEM
olujose6,"0,036",ALIVEM
assassyn,"0,006",ALIVEM
neoxvoter,"0,002",ALIVEM
steem-holder,"0,001",ALIVEM
apoloo1,"0,004",ALIVEM
treefrognada,"0,004",ALIVEM
liotes.alive,"0,012",ALIVEM
heruvim1978,"0,009",ALIVEM
sammyhive,"0,107",ALIVEM
ijelady,"0,022",ALIVEM
tengolotodo,"0,01",ALIVEM
melinda010100,"0,015",ALIVEM
hivecurious,"0,028",ALIVEM
tydynrain,"0,052",ALIVEM
kaseldz,"0,014",ALIVEM
pedrobrito2004,"0,008",ALIVEM
