account,amount,symbol
adysscheryl,"0,014",ALIVEM
ironshield,"0,036",ALIVEM
bradleyarrow,"0,018",ALIVEM
manuvert,"0,009",ALIVEM
mario89,"0,001",ALIVEM
chapelle,"0,016",ALIVEM
stdd,"0,016",ALIVEM
ana-maria,"0,001",ALIVEM
yeckingo1,"0,008",ALIVEM
vocup,"0,002",ALIVEM
caelum1infernum,"0,012",ALIVEM
imfarhad,"0,037",ALIVEM
darmst5339,"0,004",ALIVEM
noctury,"0,009",ALIVEM
hoosie,"0,002",ALIVEM
edgerik,"0,031",ALIVEM
benthomaswwd,"0,061",ALIVEM
gurseerat,"0,074",ALIVEM
engilhramn,"0,003",ALIVEM
mypathtofire,"0,033",ALIVEM
thoth442,"0,004",ALIVEM
kam5iz,"0,007",ALIVEM
heartbeatonhive,"0,038",ALIVEM
master-lamps,"0,093",ALIVEM
myjob,"0,006",ALIVEM
littlebee4,"0,001",ALIVEM
jmis101,"0,019",ALIVEM
oasiskp2,"0,027",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,01",ALIVEM
palomap3,"0,003",ALIVEM
assassyn,"0,001",ALIVEM
liotes.alive,"0,001",ALIVEM
heruvim1978,"0,001",ALIVEM
sammyhive,"0,016",ALIVEM
ijelady,"0,007",ALIVEM
hafiz34,"0,137",ALIVEM
tengolotodo,"0,002",ALIVEM
hivecurious,"0,077",ALIVEM
tydynrain,"0,018",ALIVEM
kaseldz,"0,002",ALIVEM
pedrobrito2004,"0,009",ALIVEM
sumatranate,"0,061",ALIVEM
cursephantom,"0,009",ALIVEM
herculeand,"0,012",ALIVEM
fjworld,"0,012",ALIVEM
