account,amount,symbol
adysscheryl,"0,037",ALIVEM
ironshield,"0,051",ALIVEM
bradleyarrow,"0,031",ALIVEM
manuvert,"0,028",ALIVEM
mario89,"0,003",ALIVEM
chapelle,"0,015",ALIVEM
captainloken,"0,003",ALIVEM
stdd,"0,04",ALIVEM
yeckingo1,"0,006",ALIVEM
vocup,"0,003",ALIVEM
caelum1infernum,"0,005",ALIVEM
darmst5339,"0,007",ALIVEM
noctury,"0,048",ALIVEM
hoosie,"0,006",ALIVEM
edgerik,"0,07",ALIVEM
visual.alive,"0,255",ALIVEM
karizma,"0,016",ALIVEM
benthomaswwd,"0,074",ALIVEM
gurseerat,"0,074",ALIVEM
davidxxl,"0,06",ALIVEM
engilhramn,"0,003",ALIVEM
mypathtofire,"0,131",ALIVEM
chaosmagic23,"0,006",ALIVEM
thoth442,"0,013",ALIVEM
oscarps,"0,487",ALIVEM
rcaine,"0,043",ALIVEM
kam5iz,"0,123",ALIVEM
heartbeatonhive,"0,053",ALIVEM
beeber,"0,005",ALIVEM
