account,amount,symbol
adysscheryl,"0,055",ALIVEM
ironshield,"0,206",ALIVEM
bradleyarrow,"0,13",ALIVEM
manuvert,"0,051",ALIVEM
mario89,"0,004",ALIVEM
chapelle,"0,028",ALIVEM
captainloken,"0,012",ALIVEM
stdd,"0,045",ALIVEM
ana-maria,"0,007",ALIVEM
yeckingo1,"0,02",ALIVEM
vocup,"0,012",ALIVEM
caelum1infernum,"0,015",ALIVEM
alzee,"0,029",ALIVEM
darmst5339,"0,033",ALIVEM
noctury,"0,09",ALIVEM
hoosie,"0,012",ALIVEM
edgerik,"0,066",ALIVEM
visual.alive,"0,481",ALIVEM
karizma,"0,008",ALIVEM
benthomaswwd,"0,063",ALIVEM
gurseerat,"0,045",ALIVEM
davidxxl,"0,103",ALIVEM
engilhramn,"0,005",ALIVEM
mypathtofire,"0,004",ALIVEM
chaosmagic23,"0,009",ALIVEM
thoth442,"0,038",ALIVEM
rcaine,"0,024",ALIVEM
kam5iz,"0,02",ALIVEM
heartbeatonhive,"0,043",ALIVEM
old-man-chu58,"0,01",ALIVEM
