account,amount,symbol
adysscheryl,"0,015",ALIVEM
ironshield,"0,085",ALIVEM
bradleyarrow,"0,091",ALIVEM
manuvert,"0,029",ALIVEM
mario89,"0,001",ALIVEM
chapelle,"0,016",ALIVEM
captainloken,"0,004",ALIVEM
stdd,"0,03",ALIVEM
ana-maria,"0,014",ALIVEM
yeckingo1,"0,04",ALIVEM
vocup,"0,007",ALIVEM
caelum1infernum,"0,013",ALIVEM
imfarhad,"0,14",ALIVEM
alzee,"0,03",ALIVEM
darmst5339,"0,017",ALIVEM
jacoalberts,"0,023",ALIVEM
noctury,"0,055",ALIVEM
hoosie,"0,006",ALIVEM
edgerik,"0,085",ALIVEM
karizma,"0,007",ALIVEM
benthomaswwd,"0,139",ALIVEM
gurseerat,"0,034",ALIVEM
davidxxl,"0,04",ALIVEM
engilhramn,"0,011",ALIVEM
mypathtofire,"0,002",ALIVEM
chaosmagic23,"0,006",ALIVEM
thoth442,"0,012",ALIVEM
oscarps,"0,139",ALIVEM
rcaine,"0,047",ALIVEM
kam5iz,"0,035",ALIVEM
heartbeatonhive,"0,044",ALIVEM
old-man-chu58,"0,013",ALIVEM
tokutaro22,"0,016",ALIVEM
bearmol,"0,017",ALIVEM
