account,amount,symbol
adysscheryl,"0,046",ALIVEM
ironshield,"0,12",ALIVEM
bradleyarrow,"0,063",ALIVEM
manuvert,"0,075",ALIVEM
mario89,"0,004",ALIVEM
chapelle,"0,034",ALIVEM
captainloken,"0,014",ALIVEM
stdd,"0,072",ALIVEM
yeckingo1,"0,045",ALIVEM
vocup,"0,014",ALIVEM
caelum1infernum,"0,021",ALIVEM
imfarhad,"0,001",ALIVEM
alzee,"0,008",ALIVEM
darmst5339,"0,022",ALIVEM
jacoalberts,"0,04",ALIVEM
noctury,"0,126",ALIVEM
hoosie,"0,025",ALIVEM
edgerik,"0,06",ALIVEM
visual.alive,"0,038",ALIVEM
karizma,"0,036",ALIVEM
benthomaswwd,"0,155",ALIVEM
gurseerat,"0,063",ALIVEM
davidxxl,"0,001",ALIVEM
engilhramn,"0,006",ALIVEM
mypathtofire,"0,005",ALIVEM
chaosmagic23,"0,019",ALIVEM
thoth442,"0,036",ALIVEM
bechibenner,"0,008",ALIVEM
oscarps,"0,746",ALIVEM
rcaine,"0,016",ALIVEM
voltz-blag,"0,01",ALIVEM
heartbeatonhive,"0,032",ALIVEM
