account,amount,symbol
bearmol,"8,2807",ALIVE
ironshield,"6,2393",ALIVE
jmis101,"2,9884",ALIVE
visualblock,"0,0962",ALIVE
noctury,"14,6262",ALIVE
adysscheryl,"21,6215",ALIVE
darmst5339,"2,3216",ALIVE
manuvert,"15,1286",ALIVE
castri-ja,"173,292",ALIVE
vocup,"0,7012",ALIVE
thoth442,"32,7089",ALIVE
oasiskp2,"1,0284",ALIVE
alzee,"3,4903",ALIVE
mario89,"2,8604",ALIVE
caelum1infernum,"11,9306",ALIVE
olujose6,"8,1619",ALIVE
mypathtofire,"0,2987",ALIVE
captainloken,"8,6237",ALIVE
stdd,"16,6153",ALIVE
bechibenner,"496,1272",ALIVE
chapelle,"3,6218",ALIVE
gestion.alive,"0,8862",ALIVE
jfang003,"1,4341",ALIVE
karizma,"13,557",ALIVE
imfarhad,"0,0237",ALIVE
tagmout,"1,166",ALIVE
amakauz,"6,9959",ALIVE
edgerik,"3,2682",ALIVE
jacoalberts,"0,1692",ALIVE
hafiz34,"1,8968",ALIVE
benthomaswwd,"1,4025",ALIVE
gurseerat,"1,1599",ALIVE
kam5iz,"93,8539",ALIVE
davidxxl,"6,4085",ALIVE
yeckingo1,"5,529",ALIVE
ddn688,"2,2977",ALIVE
old-man-chu58,"1,7637",ALIVE
bradleyarrow,"1,129",ALIVE
ngwinndave,"19,5755",ALIVE
stevermac1966,"0,3767",ALIVE
tokutaro22,"5,5172",ALIVE
alovely088,"0,8264",ALIVE
