account,amount,symbol,memo
flaxz,"44,39",CTP,Rewards on delegation.
davidthompson57,"26,305",CTP,Rewards on delegation.
thatcryptodave,"24,948",CTP,Rewards on delegation.
ph1102,"18,699",CTP,Rewards on delegation.
cliffagreen,"12,572",CTP,Rewards on delegation.
alokkumar121,"12,433",CTP,Rewards on delegation.
pixiepost,"10,94",CTP,Rewards on delegation.
hafiz34,"10,453",CTP,Rewards on delegation.
tristancarax,"9,342",CTP,Rewards on delegation.
sydney.potts,"9,272",CTP,Rewards on delegation.
zekepickleman,"8,856",CTP,Rewards on delegation.
hankanon,"8,804",CTP,Rewards on delegation.
myjob,"8,699",CTP,Rewards on delegation.
reeta0119,"8,613",CTP,Rewards on delegation.
elizacheng,"8,154",CTP,Rewards on delegation.
paulcaraway,"8,005",CTP,Rewards on delegation.
certain,"7,501",CTP,Rewards on delegation.
hirohurl,"7,05",CTP,Rewards on delegation.
lightcaptured,"7,003",CTP,Rewards on delegation.
iamraincrystal,"4,653",CTP,Rewards on delegation.
fiberfrau,"4,514",CTP,Rewards on delegation.
blue.rabbit,"4,388",CTP,Rewards on delegation.
kingneptune,"3,768",CTP,Rewards on delegation.
iamalivechalleng,"3,594",CTP,Rewards on delegation.
merthin,"3,473",CTP,Rewards on delegation.
ironshield,"3,473",CTP,Rewards on delegation.
guurry123,"2,83",CTP,Rewards on delegation.
imfarhad,"2,743",CTP,Rewards on delegation.
master-lamps,"2,205",CTP,Rewards on delegation.
johnsdowie,"1,944",CTP,Rewards on delegation.
mariannewest,"1,892",CTP,Rewards on delegation.
justclickindiva,"1,771",CTP,Rewards on delegation.
karizma,"1,753",CTP,Rewards on delegation.
dwarflordnoj,"1,753",CTP,Rewards on delegation.
cryptopsycho21,"1,753",CTP,Rewards on delegation.
chmoen,"1,736",CTP,Rewards on delegation.
athomewithcraig,"1,736",CTP,Rewards on delegation.
ijelady,"1,736",CTP,Rewards on delegation.
fragozar01,"1,423",CTP,Rewards on delegation.
invest4free,"0,937",CTP,Rewards on delegation.
benthomaswwd,"0,885",CTP,Rewards on delegation.
manuvert,"0,885",CTP,Rewards on delegation.
chaosmagic23,"0,885",CTP,Rewards on delegation.
elianaicgomes,"0,885",CTP,Rewards on delegation.
tydynrain,"0,885",CTP,Rewards on delegation.
tonybad,"0,868",CTP,Rewards on delegation.
new.things,"0,868",CTP,Rewards on delegation.
elikast,"0,868",CTP,Rewards on delegation.
bitandi,"0,868",CTP,Rewards on delegation.
heartbeatonhive,"0,868",CTP,Rewards on delegation.
osomar357,"0,868",CTP,Rewards on delegation.
hutty,"0,711",CTP,Rewards on delegation.
littlebee4,"0,694",CTP,Rewards on delegation.
truth2.sports,"0,607",CTP,Rewards on delegation.
wearealive,"0,573",CTP,Rewards on delegation.
xerxes.alpha,"0,538",CTP,Rewards on delegation.
entrepreneur.one,"0,52",CTP,Rewards on delegation.
manic.calm,"0,52",CTP,Rewards on delegation.
alive.chat,"0,52",CTP,Rewards on delegation.
beststart,"0,451",CTP,Rewards on delegation.
jacoalberts,"0,434",CTP,Rewards on delegation.
successchar,"0,434",CTP,Rewards on delegation.
alovely,"0,364",CTP,Rewards on delegation.
darmst5339,"0,347",CTP,Rewards on delegation.
whalestar,"0,347",CTP,Rewards on delegation.
arena10,"0,347",CTP,Rewards on delegation.
adysscheryl,"0,347",CTP,Rewards on delegation.
notaboutme,"0,347",CTP,Rewards on delegation.
mirroredspork,"0,347",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,347",CTP,Rewards on delegation.
ana-maria,"0,347",CTP,Rewards on delegation.
kam5iz,"0,347",CTP,Rewards on delegation.
quinnertronics,"0,26",CTP,Rewards on delegation.
aliveprojects,"0,173",CTP,Rewards on delegation.
stdd,"0,173",CTP,Rewards on delegation.
relf87,"0,173",CTP,Rewards on delegation.
thoth442,"0,173",CTP,Rewards on delegation.
truth2.curator,"0,173",CTP,Rewards on delegation.
sammyhive,"0,173",CTP,Rewards on delegation.
treefrognada,"0,173",CTP,Rewards on delegation.
flaxz.alive,"0,138",CTP,Rewards on delegation.
consciouscat,"0,138",CTP,Rewards on delegation.
pooky,"0,138",CTP,Rewards on delegation.
flaxz.ctp,"0,104",CTP,Rewards on delegation.
alente,"0,086",CTP,Rewards on delegation.
anarchy999,"0,086",CTP,Rewards on delegation.
jmis101,"0,086",CTP,Rewards on delegation.
synergized,"0,086",CTP,Rewards on delegation.
oasiskp2,"0,086",CTP,Rewards on delegation.
flaxz,"40,966",ALIVE,Rewards on delegation.
