account,amount,symbol,memo
flaxz,"42,301",CTP,Rewards on delegation.
davidthompson57,"33,675",CTP,Rewards on delegation.
thatcryptodave,"22,606",CTP,Rewards on delegation.
ph1102,"17,82",CTP,Rewards on delegation.
myjob,"16,826",CTP,Rewards on delegation.
alokkumar121,"11,852",CTP,Rewards on delegation.
pixiepost,"10,417",CTP,Rewards on delegation.
tristancarax,"8,91",CTP,Rewards on delegation.
sydney.potts,"8,843",CTP,Rewards on delegation.
blue.rabbit,"7,331",CTP,Rewards on delegation.
zekepickleman,"8,442",CTP,Rewards on delegation.
hankanon,"8,391",CTP,Rewards on delegation.
reeta0119,"8,208",CTP,Rewards on delegation.
elizacheng,"7,773",CTP,Rewards on delegation.
paulcaraway,"7,625",CTP,Rewards on delegation.
certain,"7,154",CTP,Rewards on delegation.
hirohurl,"6,72",CTP,Rewards on delegation.
cliffagreen,"5,667",CTP,Rewards on delegation.
iamraincrystal,"4,432",CTP,Rewards on delegation.
fiberfrau,"4,296",CTP,Rewards on delegation.
athomewithcraig,"3,477",CTP,Rewards on delegation.
iamalivechalleng,"3,426",CTP,Rewards on delegation.
guurry123,"2,708",CTP,Rewards on delegation.
imfarhad,"2,624",CTP,Rewards on delegation.
kingneptune,"2,591",CTP,Rewards on delegation.
captainloken,"2,524",CTP,Rewards on delegation.
johnsdowie,"1,855",CTP,Rewards on delegation.
mariannewest,"1,805",CTP,Rewards on delegation.
dontcare89,"1,688",CTP,Rewards on delegation.
justclickindiva,"1,688",CTP,Rewards on delegation.
x9ed1732b,"1,688",CTP,Rewards on delegation.
dkid14,"1,688",CTP,Rewards on delegation.
merthin,"1,688",CTP,Rewards on delegation.
master-lamps,"1,688",CTP,Rewards on delegation.
ironshield,"1,671",CTP,Rewards on delegation.
fragozar01,"1,354",CTP,Rewards on delegation.
invest4free,"0,886",CTP,Rewards on delegation.
truth2,"0,945",CTP,Rewards on delegation.
benthomaswwd,"0,852",CTP,Rewards on delegation.
manuvert,"0,852",CTP,Rewards on delegation.
adysscheryl,"0,835",CTP,Rewards on delegation.
chaosmagic23,"0,835",CTP,Rewards on delegation.
elianaicgomes,"0,835",CTP,Rewards on delegation.
tydynrain,"0,835",CTP,Rewards on delegation.
karizma,"0,835",CTP,Rewards on delegation.
hutty,"0,668",CTP,Rewards on delegation.
wearealive,"0,551",CTP,Rewards on delegation.
regenerette,"0,074",CTP,Rewards on delegation.
entrepreneur.one,"0,501",CTP,Rewards on delegation.
xerxes.alpha,"0,501",CTP,Rewards on delegation.
manic.calm,"0,501",CTP,Rewards on delegation.
alive.chat,"0,501",CTP,Rewards on delegation.
beststart,"0,417",CTP,Rewards on delegation.
mypathtofire,"0,417",CTP,Rewards on delegation.
alovely,"0,351",CTP,Rewards on delegation.
jacoalberts,"0,351",CTP,Rewards on delegation.
darmst5339,"0,334",CTP,Rewards on delegation.
whalestar,"0,334",CTP,Rewards on delegation.
truth2.sports,"0,394",CTP,Rewards on delegation.
arena10,"0,334",CTP,Rewards on delegation.
notaboutme,"0,25",CTP,Rewards on delegation.
quinnertronics,"0,25",CTP,Rewards on delegation.
aliveprojects,"0,167",CTP,Rewards on delegation.
ana-maria,"0,167",CTP,Rewards on delegation.
stdd,"0,167",CTP,Rewards on delegation.
naniplayergamer,"0,167",CTP,Rewards on delegation.
relf87,"0,167",CTP,Rewards on delegation.
littlebee4,"0,167",CTP,Rewards on delegation.
thoth442,"0,167",CTP,Rewards on delegation.
flaxz.alive,"0,133",CTP,Rewards on delegation.
flaxz.ctp,"0,1",CTP,Rewards on delegation.
alente,"0,083",CTP,Rewards on delegation.
heartbeatonhive,"0,083",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,083",CTP,Rewards on delegation.
mirroredspork,"0,083",CTP,Rewards on delegation.
truth2.curator,"0,052",CTP,Rewards on delegation.
oasiskp2,"0,033",CTP,Rewards on delegation.
anarchy999,"0,023",CTP,Rewards on delegation.
flaxz,"42,5386",ALIVE,Rewards on delegation.
davidthompson57,"33,8642",ALIVE,Rewards on delegation.
thatcryptodave,"22,733",ALIVE,Rewards on delegation.
ph1102,"17,9203",ALIVE,Rewards on delegation.
myjob,"16,9213",ALIVE,Rewards on delegation.
alokkumar121,"11,9189",ALIVE,Rewards on delegation.
pixiepost,"10,4755",ALIVE,Rewards on delegation.
tristancarax,"8,9601",ALIVE,Rewards on delegation.
sydney.potts,"8,8929",ALIVE,Rewards on delegation.
blue.rabbit,"7,3727",ALIVE,Rewards on delegation.
zekepickleman,"8,4894",ALIVE,Rewards on delegation.
hankanon,"8,439",ALIVE,Rewards on delegation.
reeta0119,"8,2541",ALIVE,Rewards on delegation.
