account,amount,symbol,memo
flaxz,"54,415",CTP,Rewards on delegation.
davidthompson57,"32,246",CTP,Rewards on delegation.
thatcryptodave,"29,944",CTP,Rewards on delegation.
ph1102,"22,923",CTP,Rewards on delegation.
myjob,"21,647",CTP,Rewards on delegation.
jacuzzi,"21,473",CTP,Rewards on delegation.
cliffagreen,"15,407",CTP,Rewards on delegation.
alokkumar121,"15,236",CTP,Rewards on delegation.
pixiepost,"13,398",CTP,Rewards on delegation.
tristancarax,"11,453",CTP,Rewards on delegation.
sydney.potts,"11,368",CTP,Rewards on delegation.
zekepickleman,"10,855",CTP,Rewards on delegation.
hankanon,"10,791",CTP,Rewards on delegation.
reeta0119,"10,556",CTP,Rewards on delegation.
elizacheng,10,CTP,Rewards on delegation.
paulcaraway,"9,808",CTP,Rewards on delegation.
certain,"9,2",CTP,Rewards on delegation.
hirohurl,"8,636",CTP,Rewards on delegation.
lightcaptured,"8,59",CTP,Rewards on delegation.
iamraincrystal,"5,705",CTP,Rewards on delegation.
fiberfrau,"5,534",CTP,Rewards on delegation.
blue.rabbit,"5,381",CTP,Rewards on delegation.
athomewithcraig,"4,466",CTP,Rewards on delegation.
kingneptune,"4,466",CTP,Rewards on delegation.
iamalivechalleng,"4,402",CTP,Rewards on delegation.
ironshield,"4,273",CTP,Rewards on delegation.
guurry123,"3,483",CTP,Rewards on delegation.
imfarhad,"3,376",CTP,Rewards on delegation.
captainloken,"1,382",CTP,Rewards on delegation.
master-lamps,"2,692",CTP,Rewards on delegation.
johnsdowie,"2,393",CTP,Rewards on delegation.
mariannewest,"2,307",CTP,Rewards on delegation.
truth2,"2,228",CTP,Rewards on delegation.
justclickindiva,"2,179",CTP,Rewards on delegation.
merthin,"2,158",CTP,Rewards on delegation.
karizma,"2,139",CTP,Rewards on delegation.
dwarflordnoj,"2,139",CTP,Rewards on delegation.
cryptopsycho21,"2,136",CTP,Rewards on delegation.
fragozar01,"1,752",CTP,Rewards on delegation.
