account,amount,symbol,memo
@flaxz,"54,504",CTP,Rewards on delegation.
@davidthompson57,"32,299",CTP,Rewards on delegation.
@thatcryptodave,"29,13",CTP,Rewards on delegation.
@ph1102,"22,959",CTP,Rewards on delegation.
@myjob,"21,68",CTP,Rewards on delegation.
@jacuzzi,"21,505",CTP,Rewards on delegation.
@alokkumar121,"15,27",CTP,Rewards on delegation.
@pixiepost,"13,423",CTP,Rewards on delegation.
@tristancarax,"11,475",CTP,Rewards on delegation.
@sydney.potts,"11,383",CTP,Rewards on delegation.
@zekepickleman,"10,88",CTP,Rewards on delegation.
@hankanon,"10,806",CTP,Rewards on delegation.
@reeta0119,"10,567",CTP,Rewards on delegation.
@elizacheng,"10,008",CTP,Rewards on delegation.
@paulcaraway,"9,836",CTP,Rewards on delegation.
@certain,"9,214",CTP,Rewards on delegation.
@hirohurl,"8,655",CTP,Rewards on delegation.
@lightcaptured,"8,603",CTP,Rewards on delegation.
@cliffagreen,"7,302",CTP,Rewards on delegation.
@iamraincrystal,"5,713",CTP,Rewards on delegation.
@fiberfrau,"5,541",CTP,Rewards on delegation.
@blue.rabbit,"5,39",CTP,Rewards on delegation.
@athomewithcraig,"4,485",CTP,Rewards on delegation.
@kingneptune,"4,467",CTP,Rewards on delegation.
@iamalivechalleng,"4,424",CTP,Rewards on delegation.
@ironshield,"4,295",CTP,Rewards on delegation.
@guurry123,"3,479",CTP,Rewards on delegation.
@imfarhad,"3,372",CTP,Rewards on delegation.
@captainloken,"3,243",CTP,Rewards on delegation.
@johnsdowie,"2,39",CTP,Rewards on delegation.
@mariannewest,"2,319",CTP,Rewards on delegation.
@justclickindiva,"2,187",CTP,Rewards on delegation.
@dkid14,"1,549",CTP,Rewards on delegation.
@merthin,"2,169",CTP,Rewards on delegation.
@master-lamps,"2,169",CTP,Rewards on delegation.
@karizma,"2,147",CTP,Rewards on delegation.
@dwarflordnoj,"2,147",CTP,Rewards on delegation.
@truth2,"2,203",CTP,Rewards on delegation.
@fragozar01,"1,739",CTP,Rewards on delegation.
@invest4free,"1,138",CTP,Rewards on delegation.
@benthomaswwd,"1,095",CTP,Rewards on delegation.
@manuvert,"1,095",CTP,Rewards on delegation.
@chaosmagic23,"1,095",CTP,Rewards on delegation.
@elianaicgomes,"1,073",CTP,Rewards on delegation.
@tydynrain,"1,073",CTP,Rewards on delegation.
@tonybad,"1,073",CTP,Rewards on delegation.
@ijelady,"1,073",CTP,Rewards on delegation.
@hutty,"0,859",CTP,Rewards on delegation.
@truth2.sports,"0,751",CTP,Rewards on delegation.
@wearealive,"0,708",CTP,Rewards on delegation.
@xerxes.alpha,"0,644",CTP,Rewards on delegation.
@entrepreneur.one,"0,644",CTP,Rewards on delegation.
@manic.calm,"0,644",CTP,Rewards on delegation.
@alive.chat,"0,644",CTP,Rewards on delegation.
@beststart,"0,536",CTP,Rewards on delegation.
@mypathtofire,"0,536",CTP,Rewards on delegation.
@jacoalberts,"0,536",CTP,Rewards on delegation.
@alovely,"0,451",CTP,Rewards on delegation.
@darmst5339,"0,429",CTP,Rewards on delegation.
@whalestar,"0,429",CTP,Rewards on delegation.
@arena10,"0,429",CTP,Rewards on delegation.
@adysscheryl,"0,429",CTP,Rewards on delegation.
@notaboutme,"0,322",CTP,Rewards on delegation.
@littlebee4,"0,352",CTP,Rewards on delegation.
@mirroredspork,"0,322",CTP,Rewards on delegation.
@quinnertronics,"0,322",CTP,Rewards on delegation.
@aliveprojects,"0,214",CTP,Rewards on delegation.
@ana-maria,"0,214",CTP,Rewards on delegation.
@stdd,"0,214",CTP,Rewards on delegation.
@naniplayergamer,"0,214",CTP,Rewards on delegation.
