account,amount,symbol,memo
flaxz,"50,035",CTP,Rewards on delegation.
davidthompson57,"29,647",CTP,Rewards on delegation.
thatcryptodave,"28,026",CTP,Rewards on delegation.
ph1102,"21,076",CTP,Rewards on delegation.
myjob,"11,239",CTP,Rewards on delegation.
cliffagreen,"14,167",CTP,Rewards on delegation.
alokkumar121,"14,01",CTP,Rewards on delegation.
pixiepost,"12,325",CTP,Rewards on delegation.
hafiz34,"11,788",CTP,Rewards on delegation.
tristancarax,"10,542",CTP,Rewards on delegation.
sydney.potts,"10,458",CTP,Rewards on delegation.
zekepickleman,"9,993",CTP,Rewards on delegation.
hankanon,"9,926",CTP,Rewards on delegation.
reeta0119,"9,699",CTP,Rewards on delegation.
elizacheng,"9,19",CTP,Rewards on delegation.
paulcaraway,"9,03",CTP,Rewards on delegation.
certain,"8,465",CTP,Rewards on delegation.
hirohurl,"7,95",CTP,Rewards on delegation.
lightcaptured,"7,896",CTP,Rewards on delegation.
iamraincrystal,"5,251",CTP,Rewards on delegation.
fiberfrau,"5,075",CTP,Rewards on delegation.
blue.rabbit,"4,938",CTP,Rewards on delegation.
kingneptune,"4,252",CTP,Rewards on delegation.
iamalivechalleng,"4,056",CTP,Rewards on delegation.
ironshield,"3,938",CTP,Rewards on delegation.
guurry123,"3,194",CTP,Rewards on delegation.
imfarhad,"3,096",CTP,Rewards on delegation.
master-lamps,"2,488",CTP,Rewards on delegation.
johnsdowie,"2,194",CTP,Rewards on delegation.
hurtlocker,"2,175",CTP,Rewards on delegation.
mariannewest,"2,135",CTP,Rewards on delegation.
justclickindiva,"1,998",CTP,Rewards on delegation.
merthin,"3,641",CTP,Rewards on delegation.
karizma,"1,979",CTP,Rewards on delegation.
dwarflordnoj,"1,979",CTP,Rewards on delegation.
cryptopsycho21,"1,965",CTP,Rewards on delegation.
chmoen,"1,959",CTP,Rewards on delegation.
athomewithcraig,"1,959",CTP,Rewards on delegation.
ijelady,"1,959",CTP,Rewards on delegation.
fragozar01,"1,606",CTP,Rewards on delegation.
invest4free,"1,058",CTP,Rewards on delegation.
benthomaswwd,"0,999",CTP,Rewards on delegation.
manuvert,"0,999",CTP,Rewards on delegation.
chaosmagic23,"0,999",CTP,Rewards on delegation.
elianaicgomes,"0,999",CTP,Rewards on delegation.
tydynrain,"0,999",CTP,Rewards on delegation.
tonybad,"0,979",CTP,Rewards on delegation.
new.things,"0,979",CTP,Rewards on delegation.
elikast,"0,979",CTP,Rewards on delegation.
bitandi,"0,979",CTP,Rewards on delegation.
heartbeatonhive,"0,979",CTP,Rewards on delegation.
osomar357,"0,979",CTP,Rewards on delegation.
hutty,"0,803",CTP,Rewards on delegation.
truth2.sports,"0,685",CTP,Rewards on delegation.
wearealive,"0,646",CTP,Rewards on delegation.
xerxes.alpha,"0,607",CTP,Rewards on delegation.
entrepreneur.one,"0,587",CTP,Rewards on delegation.
manic.calm,"0,587",CTP,Rewards on delegation.
alive.chat,"0,587",CTP,Rewards on delegation.
littlebee4,"0,755",CTP,Rewards on delegation.
beststart,"0,489",CTP,Rewards on delegation.
jacoalberts,"0,489",CTP,Rewards on delegation.
successchar,"0,489",CTP,Rewards on delegation.
alovely,"0,411",CTP,Rewards on delegation.
darmst5339,"0,391",CTP,Rewards on delegation.
whalestar,"0,391",CTP,Rewards on delegation.
arena10,"0,391",CTP,Rewards on delegation.
adysscheryl,"0,391",CTP,Rewards on delegation.
notaboutme,"0,391",CTP,Rewards on delegation.
mirroredspork,"0,391",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,391",CTP,Rewards on delegation.
ana-maria,"0,391",CTP,Rewards on delegation.
kam5iz,"0,391",CTP,Rewards on delegation.
quinnertronics,"0,293",CTP,Rewards on delegation.
aliveprojects,"0,195",CTP,Rewards on delegation.
stdd,"0,195",CTP,Rewards on delegation.
relf87,"0,195",CTP,Rewards on delegation.
thoth442,"0,195",CTP,Rewards on delegation.
truth2.curator,"0,195",CTP,Rewards on delegation.
sammyhive,"0,195",CTP,Rewards on delegation.
treefrognada,"0,195",CTP,Rewards on delegation.
flaxz.alive,"0,156",CTP,Rewards on delegation.
consciouscat,"0,156",CTP,Rewards on delegation.
pooky,"0,156",CTP,Rewards on delegation.
flaxz.ctp,"0,117",CTP,Rewards on delegation.
alente,"0,097",CTP,Rewards on delegation.
anarchy999,"0,097",CTP,Rewards on delegation.
jmis101,"0,097",CTP,Rewards on delegation.
synergized,"0,097",CTP,Rewards on delegation.
oasiskp2,"0,097",CTP,Rewards on delegation.
flaxz,"41,1321",ALIVE,Rewards on delegation.
davidthompson57,"24,3723",ALIVE,Rewards on delegation.
thatcryptodave,"23,0399",ALIVE,Rewards on delegation.
ph1102,"17,3259",ALIVE,Rewards on delegation.
myjob,"9,2394",ALIVE,Rewards on delegation.
cliffagreen,"11,6465",ALIVE,Rewards on delegation.
alokkumar121,"11,5176",ALIVE,Rewards on delegation.
pixiepost,"10,1323",ALIVE,Rewards on delegation.
hafiz34,"9,6904",ALIVE,Rewards on delegation.
tristancarax,"8,6664",ALIVE,Rewards on delegation.
sydney.potts,"8,5973",ALIVE,Rewards on delegation.
zekepickleman,"8,2153",ALIVE,Rewards on delegation.
hankanon,"8,1601",ALIVE,Rewards on delegation.
reeta0119,"7,9737",ALIVE,Rewards on delegation.
elizacheng,"7,5549",ALIVE,Rewards on delegation.
paulcaraway,"7,4237",ALIVE,Rewards on delegation.
certain,"6,9589",ALIVE,Rewards on delegation.
hirohurl,"6,5354",ALIVE,Rewards on delegation.
lightcaptured,"6,4917",ALIVE,Rewards on delegation.
iamraincrystal,"4,3171",ALIVE,Rewards on delegation.
fiberfrau,"4,1721",ALIVE,Rewards on delegation.
blue.rabbit,"4,0593",ALIVE,Rewards on delegation.
kingneptune,"3,4955",ALIVE,Rewards on delegation.
iamalivechalleng,"3,3344",ALIVE,Rewards on delegation.
ironshield,"3,2378",ALIVE,Rewards on delegation.
guurry123,"2,6257",ALIVE,Rewards on delegation.
imfarhad,"2,5451",ALIVE,Rewards on delegation.
master-lamps,"2,0457",ALIVE,Rewards on delegation.
johnsdowie,"1,8041",ALIVE,Rewards on delegation.
hurtlocker,"1,788",ALIVE,Rewards on delegation.
mariannewest,"1,7558",ALIVE,Rewards on delegation.
justclickindiva,"1,643",ALIVE,Rewards on delegation.
merthin,"2,9938",ALIVE,Rewards on delegation.
karizma,"1,6269",ALIVE,Rewards on delegation.
dwarflordnoj,"1,6269",ALIVE,Rewards on delegation.
cryptopsycho21,"1,6154",ALIVE,Rewards on delegation.
chmoen,"1,6108",ALIVE,Rewards on delegation.
athomewithcraig,"1,6108",ALIVE,Rewards on delegation.
ijelady,"1,6108",ALIVE,Rewards on delegation.
fragozar01,"1,3209",ALIVE,Rewards on delegation.
invest4free,"0,8698",ALIVE,Rewards on delegation.
benthomaswwd,"0,8215",ALIVE,Rewards on delegation.
manuvert,"0,8215",ALIVE,Rewards on delegation.
chaosmagic23,"0,8215",ALIVE,Rewards on delegation.
elianaicgomes,"0,8215",ALIVE,Rewards on delegation.
tydynrain,"0,8215",ALIVE,Rewards on delegation.
tonybad,"0,8054",ALIVE,Rewards on delegation.
new.things,"0,8054",ALIVE,Rewards on delegation.
elikast,"0,8054",ALIVE,Rewards on delegation.
bitandi,"0,8054",ALIVE,Rewards on delegation.
heartbeatonhive,"0,8054",ALIVE,Rewards on delegation.
osomar357,"0,8054",ALIVE,Rewards on delegation.
hutty,"0,6604",ALIVE,Rewards on delegation.
truth2.sports,"0,5638",ALIVE,Rewards on delegation.
wearealive,"0,5315",ALIVE,Rewards on delegation.
xerxes.alpha,"0,4993",ALIVE,Rewards on delegation.
entrepreneur.one,"0,4832",ALIVE,Rewards on delegation.
manic.calm,"0,4832",ALIVE,Rewards on delegation.
alive.chat,"0,4832",ALIVE,Rewards on delegation.
littlebee4,"0,6213",ALIVE,Rewards on delegation.
beststart,"0,4027",ALIVE,Rewards on delegation.
jacoalberts,"0,4027",ALIVE,Rewards on delegation.
successchar,"0,4027",ALIVE,Rewards on delegation.
alovely,"0,3382",ALIVE,Rewards on delegation.
darmst5339,"0,3221",ALIVE,Rewards on delegation.
whalestar,"0,3221",ALIVE,Rewards on delegation.
arena10,"0,3221",ALIVE,Rewards on delegation.
adysscheryl,"0,3221",ALIVE,Rewards on delegation.
notaboutme,"0,3221",ALIVE,Rewards on delegation.
mirroredspork,"0,3221",ALIVE,Rewards on delegation.
lv99-rd-chocobo,"0,3221",ALIVE,Rewards on delegation.
ana-maria,"0,3221",ALIVE,Rewards on delegation.
kam5iz,"0,3221",ALIVE,Rewards on delegation.
quinnertronics,"0,2416",ALIVE,Rewards on delegation.
aliveprojects,"0,161",ALIVE,Rewards on delegation.
stdd,"0,161",ALIVE,Rewards on delegation.
relf87,"0,161",ALIVE,Rewards on delegation.
thoth442,"0,161",ALIVE,Rewards on delegation.
truth2.curator,"0,161",ALIVE,Rewards on delegation.
sammyhive,"0,161",ALIVE,Rewards on delegation.
treefrognada,"0,161",ALIVE,Rewards on delegation.
flaxz.alive,"0,1288",ALIVE,Rewards on delegation.
consciouscat,"0,1288",ALIVE,Rewards on delegation.
pooky,"0,1288",ALIVE,Rewards on delegation.
flaxz.ctp,"0,0966",ALIVE,Rewards on delegation.
alente,"0,0805",ALIVE,Rewards on delegation.
anarchy999,"0,0805",ALIVE,Rewards on delegation.
jmis101,"0,0805",ALIVE,Rewards on delegation.
synergized,"0,0805",ALIVE,Rewards on delegation.
oasiskp2,"0,0805",ALIVE,Rewards on delegation.
flaxz,"0,10155947",AWESOME,Rewards on delegation.
davidthompson57,"0,06017771",AWESOME,Rewards on delegation.
thatcryptodave,"0,05688785",AWESOME,Rewards on delegation.
ph1102,"0,04277952",AWESOME,Rewards on delegation.
myjob,"0,02281309",AWESOME,Rewards on delegation.
cliffagreen,"0,02875643",AWESOME,Rewards on delegation.
alokkumar121,"0,02843824",AWESOME,Rewards on delegation.
pixiepost,"0,0250177",AWESOME,Rewards on delegation.
hafiz34,"0,02392676",AWESOME,Rewards on delegation.
tristancarax,"0,02139828",AWESOME,Rewards on delegation.
sydney.potts,"0,02122782",AWESOME,Rewards on delegation.
zekepickleman,"0,02028462",AWESOME,Rewards on delegation.
hankanon,"0,02014825",AWESOME,Rewards on delegation.
reeta0119,"0,01968801",AWESOME,Rewards on delegation.
elizacheng,"0,01865389",AWESOME,Rewards on delegation.
paulcaraway,"0,01833002",AWESOME,Rewards on delegation.
certain,"0,01718226",AWESOME,Rewards on delegation.
hirohurl,"0,01613678",AWESOME,Rewards on delegation.
lightcaptured,"0,01602882",AWESOME,Rewards on delegation.
iamraincrystal,"0,01065937",AWESOME,Rewards on delegation.
fiberfrau,"0,0103014",AWESOME,Rewards on delegation.
blue.rabbit,"0,01002298",AWESOME,Rewards on delegation.
kingneptune,"0,0086309",AWESOME,Rewards on delegation.
iamalivechalleng,"0,00823317",AWESOME,Rewards on delegation.
ironshield,"0,00799452",AWESOME,Rewards on delegation.
guurry123,"0,00648312",AWESOME,Rewards on delegation.
imfarhad,"0,00628425",AWESOME,Rewards on delegation.
master-lamps,"0,00505126",AWESOME,Rewards on delegation.
johnsdowie,"0,00445466",AWESOME,Rewards on delegation.
hurtlocker,"0,00441488",AWESOME,Rewards on delegation.
mariannewest,"0,00433534",AWESOME,Rewards on delegation.
