account,amount,symbol,memo
flaxz,"41,052",CTP,Rewards on delegation.
davidthompson57,"24,325",CTP,Rewards on delegation.
thatcryptodave,"23,276",CTP,Rewards on delegation.
ph1102,"17,294",CTP,Rewards on delegation.
lightcaptured,"17,085",CTP,Rewards on delegation.
cliffagreen,"11,623",CTP,Rewards on delegation.
alokkumar121,"11,495",CTP,Rewards on delegation.
pixiepost,"10,116",CTP,Rewards on delegation.
hafiz34,"9,667",CTP,Rewards on delegation.
tristancarax,"8,641",CTP,Rewards on delegation.
sydney.potts,"8,577",CTP,Rewards on delegation.
zekepickleman,"8,192",CTP,Rewards on delegation.
hankanon,"8,144",CTP,Rewards on delegation.
myjob,"8,016",CTP,Rewards on delegation.
iamraincrystal,"8,016",CTP,Rewards on delegation.
reeta0119,"7,965",CTP,Rewards on delegation.
elizacheng,"7,535",CTP,Rewards on delegation.
paulcaraway,"7,406",CTP,Rewards on delegation.
certain,"6,942",CTP,Rewards on delegation.
hirohurl,"6,525",CTP,Rewards on delegation.
fiberfrau,"4,168",CTP,Rewards on delegation.
blue.rabbit,"4,056",CTP,Rewards on delegation.
kingneptune,"3,495",CTP,Rewards on delegation.
iamalivechalleng,"3,332",CTP,Rewards on delegation.
merthin,"3,222",CTP,Rewards on delegation.
ironshield,"3,213",CTP,Rewards on delegation.
guurry123,"2,617",CTP,Rewards on delegation.
imfarhad,"2,533",CTP,Rewards on delegation.
master-lamps,"2,036",CTP,Rewards on delegation.
johnsdowie,"1,658",CTP,Rewards on delegation.
mariannewest,"1,747",CTP,Rewards on delegation.
karizma,"1,619",CTP,Rewards on delegation.
dwarflordnoj,"1,619",CTP,Rewards on delegation.
tydynrain,"1,619",CTP,Rewards on delegation.
cryptopsycho21,"1,619",CTP,Rewards on delegation.
chmoen,"1,616",CTP,Rewards on delegation.
athomewithcraig,"1,603",CTP,Rewards on delegation.
ijelady,"1,603",CTP,Rewards on delegation.
benthomaswwd,"1,603",CTP,Rewards on delegation.
fragozar01,"1,314",CTP,Rewards on delegation.
invest4free,"0,865",CTP,Rewards on delegation.
manuvert,"0,817",CTP,Rewards on delegation.
chaosmagic23,"0,817",CTP,Rewards on delegation.
elianaicgomes,"0,817",CTP,Rewards on delegation.
tonybad,"0,803",CTP,Rewards on delegation.
new.things,"0,801",CTP,Rewards on delegation.
elikast,"0,801",CTP,Rewards on delegation.
bitandi,"0,801",CTP,Rewards on delegation.
heartbeatonhive,"0,801",CTP,Rewards on delegation.
osomar357,"0,801",CTP,Rewards on delegation.
justclickindiva,"0,801",CTP,Rewards on delegation.
littlebee4,"0,916",CTP,Rewards on delegation.
hutty,"0,673",CTP,Rewards on delegation.
truth2.sports,"0,577",CTP,Rewards on delegation.
wearealive,"0,529",CTP,Rewards on delegation.
xerxes.alpha,"0,529",CTP,Rewards on delegation.
manic.calm,"0,529",CTP,Rewards on delegation.
entrepreneur.one,"0,513",CTP,Rewards on delegation.
alive.chat,"0,48",CTP,Rewards on delegation.
stdd,"0,48",CTP,Rewards on delegation.
beststart,"0,416",CTP,Rewards on delegation.
jacoalberts,"0,4",CTP,Rewards on delegation.
successchar,"0,4",CTP,Rewards on delegation.
alovely,"0,336",CTP,Rewards on delegation.
darmst5339,"0,32",CTP,Rewards on delegation.
whalestar,"0,32",CTP,Rewards on delegation.
arena10,"0,32",CTP,Rewards on delegation.
adysscheryl,"0,32",CTP,Rewards on delegation.
notaboutme,"0,32",CTP,Rewards on delegation.
mirroredspork,"0,32",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,32",CTP,Rewards on delegation.
ana-maria,"0,32",CTP,Rewards on delegation.
kam5iz,"0,32",CTP,Rewards on delegation.
quinnertronics,"0,24",CTP,Rewards on delegation.
aliveprojects,"0,16",CTP,Rewards on delegation.
relf87,"0,16",CTP,Rewards on delegation.
thoth442,"0,16",CTP,Rewards on delegation.
truth2.curator,"0,16",CTP,Rewards on delegation.
sammyhive,"0,16",CTP,Rewards on delegation.
treefrognada,"0,16",CTP,Rewards on delegation.
flaxz.alive,"0,128",CTP,Rewards on delegation.
consciouscat,"0,128",CTP,Rewards on delegation.
pooky,"0,128",CTP,Rewards on delegation.
flaxz.ctp,"0,096",CTP,Rewards on delegation.
anarchy999,"0,096",CTP,Rewards on delegation.
alente,"0,08",CTP,Rewards on delegation.
jmis101,"0,08",CTP,Rewards on delegation.
synergized,"0,08",CTP,Rewards on delegation.
oasiskp2,"0,08",CTP,Rewards on delegation.
herculeand,"0,412",CTP,Rewards on delegation.
hhayweaver,"0,572",CTP,Rewards on delegation.
flaxz,"37,4677",ALIVE,Rewards on delegation.
davidthompson57,"22,2017",ALIVE,Rewards on delegation.
thatcryptodave,"21,2443",ALIVE,Rewards on delegation.
ph1102,"15,7843",ALIVE,Rewards on delegation.
lightcaptured,"15,5941",ALIVE,Rewards on delegation.
cliffagreen,"10,6086",ALIVE,Rewards on delegation.
alokkumar121,"10,4915",ALIVE,Rewards on delegation.
pixiepost,"9,2331",ALIVE,Rewards on delegation.
hafiz34,"8,8234",ALIVE,Rewards on delegation.
tristancarax,"7,8869",ALIVE,Rewards on delegation.
sydney.potts,"7,8284",ALIVE,Rewards on delegation.
zekepickleman,"7,4772",ALIVE,Rewards on delegation.
hankanon,"7,4333",ALIVE,Rewards on delegation.
myjob,"7,3162",ALIVE,Rewards on delegation.
iamraincrystal,"7,3162",ALIVE,Rewards on delegation.
reeta0119,"7,2702",ALIVE,Rewards on delegation.
elizacheng,"6,8773",ALIVE,Rewards on delegation.
paulcaraway,"6,7602",ALIVE,Rewards on delegation.
certain,"6,3359",ALIVE,Rewards on delegation.
hirohurl,"5,9554",ALIVE,Rewards on delegation.
fiberfrau,"3,8044",ALIVE,Rewards on delegation.
blue.rabbit,"3,702",ALIVE,Rewards on delegation.
kingneptune,"3,1898",ALIVE,Rewards on delegation.
iamalivechalleng,"3,0414",ALIVE,Rewards on delegation.
merthin,"2,9411",ALIVE,Rewards on delegation.
ironshield,"2,9327",ALIVE,Rewards on delegation.
guurry123,"2,3892",ALIVE,Rewards on delegation.
imfarhad,"2,3119",ALIVE,Rewards on delegation.
master-lamps,"1,8583",ALIVE,Rewards on delegation.
johnsdowie,"1,5134",ALIVE,Rewards on delegation.
mariannewest,"1,5949",ALIVE,Rewards on delegation.
karizma,"1,4778",ALIVE,Rewards on delegation.
dwarflordnoj,"1,4778",ALIVE,Rewards on delegation.
tydynrain,"1,4778",ALIVE,Rewards on delegation.
cryptopsycho21,"1,4778",ALIVE,Rewards on delegation.
chmoen,"1,4757",ALIVE,Rewards on delegation.
athomewithcraig,"1,4632",ALIVE,Rewards on delegation.
ijelady,"1,4632",ALIVE,Rewards on delegation.
benthomaswwd,"1,4632",ALIVE,Rewards on delegation.
fragozar01,"1,1998",ALIVE,Rewards on delegation.
invest4free,"0,7901",ALIVE,Rewards on delegation.
manuvert,"0,7462",ALIVE,Rewards on delegation.
chaosmagic23,"0,7462",ALIVE,Rewards on delegation.
elianaicgomes,"0,7462",ALIVE,Rewards on delegation.
tonybad,"0,7337",ALIVE,Rewards on delegation.
new.things,"0,7316",ALIVE,Rewards on delegation.
elikast,"0,7316",ALIVE,Rewards on delegation.
bitandi,"0,7316",ALIVE,Rewards on delegation.
heartbeatonhive,"0,7316",ALIVE,Rewards on delegation.
osomar357,"0,7316",ALIVE,Rewards on delegation.
justclickindiva,"0,7316",ALIVE,Rewards on delegation.
littlebee4,"0,8361",ALIVE,Rewards on delegation.
