account,amount,symbol,memo
flaxz,"53,972",CTP,Rewards on delegation.
davidthompson57,"42,968",CTP,Rewards on delegation.
thatcryptodave,"28,543",CTP,Rewards on delegation.
ph1102,"22,734",CTP,Rewards on delegation.
myjob,"21,473",CTP,Rewards on delegation.
alokkumar121,"15,118",CTP,Rewards on delegation.
pixiepost,"13,29",CTP,Rewards on delegation.
tristancarax,"11,367",CTP,Rewards on delegation.
sydney.potts,"11,281",CTP,Rewards on delegation.
blue.rabbit,"10,961",CTP,Rewards on delegation.
zekepickleman,"10,768",CTP,Rewards on delegation.
hankanon,"10,704",CTP,Rewards on delegation.
reeta0119,"10,469",CTP,Rewards on delegation.
elizacheng,"9,914",CTP,Rewards on delegation.
paulcaraway,"9,743",CTP,Rewards on delegation.
certain,"9,123",CTP,Rewards on delegation.
hirohurl,"8,568",CTP,Rewards on delegation.
cliffagreen,"7,222",CTP,Rewards on delegation.
iamraincrystal,"5,662",CTP,Rewards on delegation.
fiberfrau,"5,491",CTP,Rewards on delegation.
athomewithcraig,"4,444",CTP,Rewards on delegation.
iamalivechalleng,"4,38",CTP,Rewards on delegation.
guurry123,"3,44",CTP,Rewards on delegation.
imfarhad,"3,333",CTP,Rewards on delegation.
kingneptune,"3,29",CTP,Rewards on delegation.
captainloken,"3,205",CTP,Rewards on delegation.
johnsdowie,"2,371",CTP,Rewards on delegation.
mariannewest,"2,292",CTP,Rewards on delegation.
dontcare89,"2,158",CTP,Rewards on delegation.
justclickindiva,"2,158",CTP,Rewards on delegation.
x9ed1732b,"2,158",CTP,Rewards on delegation.
dkid14,"2,148",CTP,Rewards on delegation.
merthin,"2,136",CTP,Rewards on delegation.
master-lamps,"2,136",CTP,Rewards on delegation.
ironshield,"2,136",CTP,Rewards on delegation.
fragozar01,"1,73",CTP,Rewards on delegation.
invest4free,"1,132",CTP,Rewards on delegation.
benthomaswwd,"1,089",CTP,Rewards on delegation.
manuvert,"1,089",CTP,Rewards on delegation.
adysscheryl,"1,068",CTP,Rewards on delegation.
chaosmagic23,"1,068",CTP,Rewards on delegation.
truth2,"1,068",CTP,Rewards on delegation.
elianaicgomes,"1,068",CTP,Rewards on delegation.
tydynrain,"1,068",CTP,Rewards on delegation.
hutty,"0,854",CTP,Rewards on delegation.
wearealive,"0,705",CTP,Rewards on delegation.
regenerette,"0,662",CTP,Rewards on delegation.
entrepreneur.one,"0,641",CTP,Rewards on delegation.
manic.calm,"0,641",CTP,Rewards on delegation.
xerxes.alpha,"0,641",CTP,Rewards on delegation.
alive.chat,"0,641",CTP,Rewards on delegation.
beststart,"0,534",CTP,Rewards on delegation.
mypathtofire,"0,534",CTP,Rewards on delegation.
alovely,"0,448",CTP,Rewards on delegation.
jacoalberts,"0,448",CTP,Rewards on delegation.
darmst5339,"0,427",CTP,Rewards on delegation.
whalestar,"0,427",CTP,Rewards on delegation.
truth2.sports,"0,427",CTP,Rewards on delegation.
arena10,"0,427",CTP,Rewards on delegation.
notaboutme,"0,32",CTP,Rewards on delegation.
quinnertronics,"0,32",CTP,Rewards on delegation.
aliveprojects,"0,213",CTP,Rewards on delegation.
ana-maria,"0,213",CTP,Rewards on delegation.
stdd,"0,213",CTP,Rewards on delegation.
naniplayergamer,"0,213",CTP,Rewards on delegation.
relf87,"0,213",CTP,Rewards on delegation.
littlebee4,"0,213",CTP,Rewards on delegation.
thoth442,"0,213",CTP,Rewards on delegation.
flaxz.alive,"0,17",CTP,Rewards on delegation.
flaxz.ctp,"0,128",CTP,Rewards on delegation.
alente,"0,106",CTP,Rewards on delegation.
heartbeatonhive,"0,106",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,106",CTP,Rewards on delegation.
mirroredspork,"0,106",CTP,Rewards on delegation.
truth2.curator,"0,042",CTP,Rewards on delegation.
oasiskp2,"0,042",CTP,Rewards on delegation.
karizma,"0,915",CTP,Rewards on delegation.
flaxz,"39,7084",ALIVE,Rewards on delegation.
davidthompson57,"31,6127",ALIVE,Rewards on delegation.
thatcryptodave,"20,9995",ALIVE,Rewards on delegation.
ph1102,"16,7259",ALIVE,Rewards on delegation.
myjob,"15,7985",ALIVE,Rewards on delegation.
alokkumar121,"11,1229",ALIVE,Rewards on delegation.
pixiepost,"9,7777",ALIVE,Rewards on delegation.
tristancarax,"8,3629",ALIVE,Rewards on delegation.
sydney.potts,"8,3001",ALIVE,Rewards on delegation.
blue.rabbit,"8,0643",ALIVE,Rewards on delegation.
zekepickleman,"7,9228",ALIVE,Rewards on delegation.
hankanon,"7,8756",ALIVE,Rewards on delegation.
reeta0119,"7,7027",ALIVE,Rewards on delegation.
elizacheng,"7,294",ALIVE,Rewards on delegation.
paulcaraway,"7,1682",ALIVE,Rewards on delegation.
certain,"6,7123",ALIVE,Rewards on delegation.
hirohurl,"6,3036",ALIVE,Rewards on delegation.
cliffagreen,"5,3133",ALIVE,Rewards on delegation.
iamraincrystal,"4,1657",ALIVE,Rewards on delegation.
fiberfrau,"4,04",ALIVE,Rewards on delegation.
athomewithcraig,"3,2697",ALIVE,Rewards on delegation.
iamalivechalleng,"3,2225",ALIVE,Rewards on delegation.
guurry123,"2,5309",ALIVE,Rewards on delegation.
imfarhad,"2,4523",ALIVE,Rewards on delegation.
kingneptune,"2,4208",ALIVE,Rewards on delegation.
captainloken,"2,3579",ALIVE,Rewards on delegation.
johnsdowie,"1,7449",ALIVE,Rewards on delegation.
mariannewest,"1,6865",ALIVE,Rewards on delegation.
dontcare89,"1,5877",ALIVE,Rewards on delegation.
justclickindiva,"1,5877",ALIVE,Rewards on delegation.
x9ed1732b,"1,5877",ALIVE,Rewards on delegation.
dkid14,"1,5809",ALIVE,Rewards on delegation.
merthin,"1,5719",ALIVE,Rewards on delegation.
master-lamps,"1,5719",ALIVE,Rewards on delegation.
ironshield,"1,5719",ALIVE,Rewards on delegation.
fragozar01,"1,2733",ALIVE,Rewards on delegation.
invest4free,"0,8331",ALIVE,Rewards on delegation.
benthomaswwd,"0,8017",ALIVE,Rewards on delegation.
manuvert,"0,8017",ALIVE,Rewards on delegation.
adysscheryl,"0,7859",ALIVE,Rewards on delegation.
chaosmagic23,"0,7859",ALIVE,Rewards on delegation.
truth2,"0,7859",ALIVE,Rewards on delegation.
elianaicgomes,"0,7859",ALIVE,Rewards on delegation.
tydynrain,"0,7859",ALIVE,Rewards on delegation.
hutty,"0,6287",ALIVE,Rewards on delegation.
wearealive,"0,5187",ALIVE,Rewards on delegation.
regenerette,"0,4873",ALIVE,Rewards on delegation.
entrepreneur.one,"0,4715",ALIVE,Rewards on delegation.
