account,amount,symbol,memo
flaxz,"53,543",CTP,Rewards on delegation.
davidthompson57,"42,624",CTP,Rewards on delegation.
thatcryptodave,"27,634",CTP,Rewards on delegation.
ph1102,"22,556",CTP,Rewards on delegation.
myjob,"21,301",CTP,Rewards on delegation.
alokkumar121,"15,002",CTP,Rewards on delegation.
pixiepost,"13,195",CTP,Rewards on delegation.
tristancarax,"11,267",CTP,Rewards on delegation.
sydney.potts,"11,182",CTP,Rewards on delegation.
blue.rabbit,"10,876",CTP,Rewards on delegation.
zekepickleman,"10,694",CTP,Rewards on delegation.
hankanon,"10,622",CTP,Rewards on delegation.
reeta0119,"10,376",CTP,Rewards on delegation.
elizacheng,"9,83",CTP,Rewards on delegation.
paulcaraway,"9,655",CTP,Rewards on delegation.
certain,"9,057",CTP,Rewards on delegation.
hirohurl,"8,509",CTP,Rewards on delegation.
cliffagreen,"7,172",CTP,Rewards on delegation.
iamraincrystal,"5,623",CTP,Rewards on delegation.
fiberfrau,"5,432",CTP,Rewards on delegation.
athomewithcraig,"4,392",CTP,Rewards on delegation.
iamalivechalleng,"4,34",CTP,Rewards on delegation.
guurry123,"3,416",CTP,Rewards on delegation.
imfarhad,"3,31",CTP,Rewards on delegation.
kingneptune,"3,267",CTP,Rewards on delegation.
captainloken,"3,182",CTP,Rewards on delegation.
mariannewest,"2,27",CTP,Rewards on delegation.
johnsdowie,"2,185",CTP,Rewards on delegation.
dontcare89,"2,143",CTP,Rewards on delegation.
ironshield,"2,131",CTP,Rewards on delegation.
justclickindiva,"2,143",CTP,Rewards on delegation.
x9ed1732b,"2,143",CTP,Rewards on delegation.
dkid14,"2,121",CTP,Rewards on delegation.
merthin,"2,121",CTP,Rewards on delegation.
master-lamps,"2,121",CTP,Rewards on delegation.
fragozar01,"1,718",CTP,Rewards on delegation.
invest4free,"1,124",CTP,Rewards on delegation.
benthomaswwd,"1,06",CTP,Rewards on delegation.
manuvert,"1,06",CTP,Rewards on delegation.
adysscheryl,"1,06",CTP,Rewards on delegation.
chaosmagic23,"1,06",CTP,Rewards on delegation.
truth2,"1,06",CTP,Rewards on delegation.
elianaicgomes,"1,06",CTP,Rewards on delegation.
hutty,"0,848",CTP,Rewards on delegation.
twicejoy,"2,834",CTP,Rewards on delegation.
wearealive,"0,7",CTP,Rewards on delegation.
regenerette,"0,657",CTP,Rewards on delegation.
entrepreneur.one,"0,636",CTP,Rewards on delegation.
manic.calm,"0,636",CTP,Rewards on delegation.
xerxes.alpha,"0,636",CTP,Rewards on delegation.
alive.chat,"0,636",CTP,Rewards on delegation.
beststart,"0,53",CTP,Rewards on delegation.
mypathtofire,"0,53",CTP,Rewards on delegation.
