account,amount,symbol,memo
ironshield,"0,06333299",BEE,Rewards on delegation.
guurry123,"0,05129972",BEE,Rewards on delegation.
imfarhad,"0,04971639",BEE,Rewards on delegation.
captainloken,"0,0478164",BEE,Rewards on delegation.
johnsdowie,"0,03546647",BEE,Rewards on delegation.
mariannewest,"0,03419981",BEE,Rewards on delegation.
truth2,"0,03293315",BEE,Rewards on delegation.
justclickindiva,"0,03229982",BEE,Rewards on delegation.
merthin,"0,03198316",BEE,Rewards on delegation.
master-lamps,"0,03763789",BEE,Rewards on delegation.
karizma,"0,03166649",BEE,Rewards on delegation.
dwarflordnoj,"0,03166649",BEE,Rewards on delegation.
cryptopsycho21,"0,03166649",BEE,Rewards on delegation.
fragozar01,"0,02596652",BEE,Rewards on delegation.
invest4free,"0,0170999",BEE,Rewards on delegation.
benthomaswwd,"0,01614991",BEE,Rewards on delegation.
manuvert,"0,01614991",BEE,Rewards on delegation.
chaosmagic23,"0,01614991",BEE,Rewards on delegation.
elianaicgomes,"0,01583324",BEE,Rewards on delegation.
tydynrain,"0,01583324",BEE,Rewards on delegation.
tonybad,"0,01583324",BEE,Rewards on delegation.
ijelady,"0,01583324",BEE,Rewards on delegation.
new.things,"0,01583324",BEE,Rewards on delegation.
chmoen,"0,01583324",BEE,Rewards on delegation.
hutty,"0,01280231",BEE,Rewards on delegation.
truth2.sports,"0,01108327",BEE,Rewards on delegation.
wearealive,"0,01044994",BEE,Rewards on delegation.
xerxes.alpha,"0,00963566",BEE,Rewards on delegation.
entrepreneur.one,"0,00949994",BEE,Rewards on delegation.
manic.calm,"0,00949994",BEE,Rewards on delegation.
alive.chat,"0,00949994",BEE,Rewards on delegation.
bitandi,"0,00949994",BEE,Rewards on delegation.
beststart,"0,00791662",BEE,Rewards on delegation.
mypathtofire,"0,00565473",BEE,Rewards on delegation.
jacoalberts,"0,00791662",BEE,Rewards on delegation.
bloghound,"0,00791662",BEE,Rewards on delegation.
successchar,"0,00791662",BEE,Rewards on delegation.
alovely,"0,00664996",BEE,Rewards on delegation.
darmst5339,"0,00633329",BEE,Rewards on delegation.
whalestar,"0,00633329",BEE,Rewards on delegation.
arena10,"0,00633329",BEE,Rewards on delegation.
adysscheryl,"0,00633329",BEE,Rewards on delegation.
notaboutme,"0,00633329",BEE,Rewards on delegation.
mirroredspork,"0,00633329",BEE,Rewards on delegation.
lv99-rd-chocobo,"0,00633329",BEE,Rewards on delegation.
littlebee4,"0,00633329",BEE,Rewards on delegation.
quinnertronics,"0,00474997",BEE,Rewards on delegation.
aliveprojects,"0,00316664",BEE,Rewards on delegation.
ana-maria,"0,00542854",BEE,Rewards on delegation.
stdd,"0,00316664",BEE,Rewards on delegation.
naniplayergamer,"0,00316664",BEE,Rewards on delegation.
relf87,"0,00316664",BEE,Rewards on delegation.
thoth442,"0,00316664",BEE,Rewards on delegation.
truth2.curator,"0,00316664",BEE,Rewards on delegation.
sammyhive,"0,00316664",BEE,Rewards on delegation.
treefrognada,"0,00316664",BEE,Rewards on delegation.
flaxz.alive,"0,00253331",BEE,Rewards on delegation.
consciouscat,"0,00253331",BEE,Rewards on delegation.
flaxz.ctp,"0,00189998",BEE,Rewards on delegation.
alente,"0,00158332",BEE,Rewards on delegation.
heartbeatonhive,"0,00158332",BEE,Rewards on delegation.
anarchy999,"0,00158332",BEE,Rewards on delegation.
jmis101,"0,00158332",BEE,Rewards on delegation.
oasiskp2,"0,00063332",BEE,Rewards on delegation.
synergized,"0,00058809",BEE,Rewards on delegation.
flaxz,"1,28861135",POB,Rewards on delegation.
davidthompson57,"0,76368587",POB,Rewards on delegation.
thatcryptodave,"0,69934577",POB,Rewards on delegation.
ph1102,"0,54280174",POB,Rewards on delegation.
myjob,"0,51269434",POB,Rewards on delegation.
jacuzzi,"0,50849667",POB,Rewards on delegation.
alokkumar121,"0,36092697",POB,Rewards on delegation.
pixiepost,"0,3175752",POB,Rewards on delegation.
tristancarax,"0,27154562",POB,Rewards on delegation.
sydney.potts,"0,26930204",POB,Rewards on delegation.
zekepickleman,"0,2573604",POB,Rewards on delegation.
hankanon,"0,25569581",POB,Rewards on delegation.
reeta0119,"0,24976117",POB,Rewards on delegation.
elizacheng,"0,23658918",POB,Rewards on delegation.
paulcaraway,"0,23253626",POB,Rewards on delegation.
certain,"0,21784443",POB,Rewards on delegation.
hirohurl,"0,20467244",POB,Rewards on delegation.
lightcaptured,"0,20336972",POB,Rewards on delegation.
cliffagreen,"0,33726082",POB,Rewards on delegation.
iamraincrystal,"0,13526619",POB,Rewards on delegation.
fiberfrau,"0,13070666",POB,Rewards on delegation.
blue.rabbit,"0,12716035",POB,Rewards on delegation.
athomewithcraig,"0,10588252",POB,Rewards on delegation.
kingneptune,"0,10588252",POB,Rewards on delegation.
iamalivechalleng,"0,10436268",POB,Rewards on delegation.
ironshield,"0,10132299",POB,Rewards on delegation.
guurry123,"0,08207162",POB,Rewards on delegation.
imfarhad,"0,07953854",POB,Rewards on delegation.
captainloken,"0,07649885",POB,Rewards on delegation.
johnsdowie,"0,05674087",POB,Rewards on delegation.
mariannewest,"0,05471441",POB,Rewards on delegation.
truth2,"0,05268795",POB,Rewards on delegation.
justclickindiva,"0,05167472",POB,Rewards on delegation.
merthin,"0,05116811",POB,Rewards on delegation.
master-lamps,"0,0602148",POB,Rewards on delegation.
karizma,"0,05066149",POB,Rewards on delegation.
dwarflordnoj,"0,05066149",POB,Rewards on delegation.
cryptopsycho21,"0,05066149",POB,Rewards on delegation.
fragozar01,"0,04154242",POB,Rewards on delegation.
invest4free,"0,0273572",POB,Rewards on delegation.
benthomaswwd,"0,02583736",POB,Rewards on delegation.
manuvert,"0,02583736",POB,Rewards on delegation.
chaosmagic23,"0,02583736",POB,Rewards on delegation.
elianaicgomes,"0,02533074",POB,Rewards on delegation.
tydynrain,"0,02533074",POB,Rewards on delegation.
tonybad,"0,02533074",POB,Rewards on delegation.
ijelady,"0,02533074",POB,Rewards on delegation.
new.things,"0,02533074",POB,Rewards on delegation.
chmoen,"0,02533074",POB,Rewards on delegation.
hutty,"0,02048171",POB,Rewards on delegation.
truth2.sports,"0,01773152",POB,Rewards on delegation.
wearealive,"0,01671829",POB,Rewards on delegation.
xerxes.alpha,"0,01541556",POB,Rewards on delegation.
entrepreneur.one,"0,01519844",POB,Rewards on delegation.
manic.calm,"0,01519844",POB,Rewards on delegation.
alive.chat,"0,01519844",POB,Rewards on delegation.
bitandi,"0,01519844",POB,Rewards on delegation.
beststart,"0,01266537",POB,Rewards on delegation.
mypathtofire,"0,00904669",POB,Rewards on delegation.
jacoalberts,"0,01266537",POB,Rewards on delegation.
bloghound,"0,01266537",POB,Rewards on delegation.
successchar,"0,01266537",POB,Rewards on delegation.
alovely,"0,01063891",POB,Rewards on delegation.
darmst5339,"0,01013229",POB,Rewards on delegation.
whalestar,"0,01013229",POB,Rewards on delegation.
arena10,"0,01013229",POB,Rewards on delegation.
adysscheryl,"0,01013229",POB,Rewards on delegation.
notaboutme,"0,01013229",POB,Rewards on delegation.
mirroredspork,"0,01013229",POB,Rewards on delegation.
lv99-rd-chocobo,"0,01013229",POB,Rewards on delegation.
littlebee4,"0,01013229",POB,Rewards on delegation.
quinnertronics,"0,00759922",POB,Rewards on delegation.
aliveprojects,"0,00506614",POB,Rewards on delegation.
ana-maria,"0,00868482",POB,Rewards on delegation.
stdd,"0,00506614",POB,Rewards on delegation.
naniplayergamer,"0,00506614",POB,Rewards on delegation.
relf87,"0,00506614",POB,Rewards on delegation.
thoth442,"0,00506614",POB,Rewards on delegation.
truth2.curator,"0,00506614",POB,Rewards on delegation.
sammyhive,"0,00506614",POB,Rewards on delegation.
treefrognada,"0,00506614",POB,Rewards on delegation.
flaxz.alive,"0,00405291",POB,Rewards on delegation.
consciouscat,"0,00405291",POB,Rewards on delegation.
flaxz.ctp,"0,00303968",POB,Rewards on delegation.
alente,"0,00253307",POB,Rewards on delegation.
heartbeatonhive,"0,00253307",POB,Rewards on delegation.
anarchy999,"0,00253307",POB,Rewards on delegation.
jmis101,"0,00253307",POB,Rewards on delegation.
oasiskp2,"0,00101322",POB,Rewards on delegation.
synergized,"0,00094085",POB,Rewards on delegation.
flaxz,"0,0192746",WAIV,Rewards on delegation.
davidthompson57,"0,01142295",WAIV,Rewards on delegation.
thatcryptodave,"0,01046057",WAIV,Rewards on delegation.
ph1102,"0,00811904",WAIV,Rewards on delegation.
myjob,"0,0076687",WAIV,Rewards on delegation.
jacuzzi,"0,00760591",WAIV,Rewards on delegation.
alokkumar121,"0,00539862",WAIV,Rewards on delegation.
pixiepost,"0,00475018",WAIV,Rewards on delegation.
tristancarax,"0,00406168",WAIV,Rewards on delegation.
sydney.potts,"0,00402812",WAIV,Rewards on delegation.
zekepickleman,"0,0038495",WAIV,Rewards on delegation.
hankanon,"0,00382461",WAIV,Rewards on delegation.
reeta0119,"0,00373584",WAIV,Rewards on delegation.
elizacheng,"0,00353882",WAIV,Rewards on delegation.
paulcaraway,"0,00347819",WAIV,Rewards on delegation.
certain,"0,00325844",WAIV,Rewards on delegation.
hirohurl,"0,00306142",WAIV,Rewards on delegation.
lightcaptured,"0,00304193",WAIV,Rewards on delegation.
cliffagreen,"0,00504463",WAIV,Rewards on delegation.
iamraincrystal,"0,00202326",WAIV,Rewards on delegation.
fiberfrau,"0,00195506",WAIV,Rewards on delegation.
blue.rabbit,"0,00190202",WAIV,Rewards on delegation.
athomewithcraig,"0,00158375",WAIV,Rewards on delegation.
kingneptune,"0,00158375",WAIV,Rewards on delegation.
iamalivechalleng,"0,00156102",WAIV,Rewards on delegation.
ironshield,"0,00151555",WAIV,Rewards on delegation.
guurry123,"0,00122759",WAIV,Rewards on delegation.
imfarhad,"0,00118971",WAIV,Rewards on delegation.
captainloken,"0,00114424",WAIV,Rewards on delegation.
johnsdowie,"0,00084871",WAIV,Rewards on delegation.
mariannewest,"0,00081839",WAIV,Rewards on delegation.
truth2,"0,00078808",WAIV,Rewards on delegation.
justclickindiva,"0,00077293",WAIV,Rewards on delegation.
merthin,"0,00076535",WAIV,Rewards on delegation.
master-lamps,"0,00090067",WAIV,Rewards on delegation.
karizma,"0,00075777",WAIV,Rewards on delegation.
dwarflordnoj,"0,00075777",WAIV,Rewards on delegation.
cryptopsycho21,"0,00075777",WAIV,Rewards on delegation.
fragozar01,"0,00062137",WAIV,Rewards on delegation.
invest4free,"0,00040919",WAIV,Rewards on delegation.
benthomaswwd,"0,00038646",WAIV,Rewards on delegation.
manuvert,"0,00038646",WAIV,Rewards on delegation.
chaosmagic23,"0,00038646",WAIV,Rewards on delegation.
elianaicgomes,"0,00037888",WAIV,Rewards on delegation.
tydynrain,"0,00037888",WAIV,Rewards on delegation.
tonybad,"0,00037888",WAIV,Rewards on delegation.
ijelady,"0,00037888",WAIV,Rewards on delegation.
new.things,"0,00037888",WAIV,Rewards on delegation.
chmoen,"0,00037888",WAIV,Rewards on delegation.
hutty,"0,00030635",WAIV,Rewards on delegation.
truth2.sports,"0,00026522",WAIV,Rewards on delegation.
wearealive,"0,00025006",WAIV,Rewards on delegation.
xerxes.alpha,"0,00023058",WAIV,Rewards on delegation.
entrepreneur.one,"0,00022733",WAIV,Rewards on delegation.
manic.calm,"0,00022733",WAIV,Rewards on delegation.
alive.chat,"0,00022733",WAIV,Rewards on delegation.
bitandi,"0,00022733",WAIV,Rewards on delegation.
beststart,"0,00018944",WAIV,Rewards on delegation.
mypathtofire,"0,00013531",WAIV,Rewards on delegation.
jacoalberts,"0,00018944",WAIV,Rewards on delegation.
bloghound,"0,00018944",WAIV,Rewards on delegation.
successchar,"0,00018944",WAIV,Rewards on delegation.
alovely,"0,00015913",WAIV,Rewards on delegation.
darmst5339,"0,00015155",WAIV,Rewards on delegation.
whalestar,"0,00015155",WAIV,Rewards on delegation.
arena10,"0,00015155",WAIV,Rewards on delegation.
adysscheryl,"0,00015155",WAIV,Rewards on delegation.
notaboutme,"0,00015155",WAIV,Rewards on delegation.
mirroredspork,"0,00015155",WAIV,Rewards on delegation.
lv99-rd-chocobo,"0,00015155",WAIV,Rewards on delegation.
littlebee4,"0,00015155",WAIV,Rewards on delegation.
quinnertronics,"0,00011366",WAIV,Rewards on delegation.
aliveprojects,"0,00007577",WAIV,Rewards on delegation.
ana-maria,"0,0001299",WAIV,Rewards on delegation.
stdd,"0,00007577",WAIV,Rewards on delegation.
naniplayergamer,"0,00007577",WAIV,Rewards on delegation.
relf87,"0,00007577",WAIV,Rewards on delegation.
thoth442,"0,00007577",WAIV,Rewards on delegation.
truth2.curator,"0,00007577",WAIV,Rewards on delegation.
sammyhive,"0,00007577",WAIV,Rewards on delegation.
treefrognada,"0,00007577",WAIV,Rewards on delegation.
flaxz.alive,"0,00006062",WAIV,Rewards on delegation.
consciouscat,"0,00006062",WAIV,Rewards on delegation.
flaxz.ctp,"0,00004546",WAIV,Rewards on delegation.
alente,"0,00003788",WAIV,Rewards on delegation.
heartbeatonhive,"0,00003788",WAIV,Rewards on delegation.
anarchy999,"0,00003788",WAIV,Rewards on delegation.
jmis101,"0,00003788",WAIV,Rewards on delegation.
oasiskp2,"0,00001515",WAIV,Rewards on delegation.
synergized,"0,00001407",WAIV,Rewards on delegation.
flaxz,"0,0406956",PGM,Rewards on delegation.
davidthompson57,"0,02411794",PGM,Rewards on delegation.
thatcryptodave,"0,02208601",PGM,Rewards on delegation.
ph1102,"0,0171422",PGM,Rewards on delegation.
myjob,"0,01619138",PGM,Rewards on delegation.
jacuzzi,"0,01605881",PGM,Rewards on delegation.
alokkumar121,"0,01139842",PGM,Rewards on delegation.
pixiepost,"0,01002933",PGM,Rewards on delegation.
tristancarax,"0,00857567",PGM,Rewards on delegation.
sydney.potts,"0,00850482",PGM,Rewards on delegation.
zekepickleman,"0,00812769",PGM,Rewards on delegation.
hankanon,"0,00807512",PGM,Rewards on delegation.
reeta0119,"0,0078877",PGM,Rewards on delegation.
elizacheng,"0,00747171",PGM,Rewards on delegation.
paulcaraway,"0,00734372",PGM,Rewards on delegation.
certain,"0,00687973",PGM,Rewards on delegation.
hirohurl,"0,00646375",PGM,Rewards on delegation.
lightcaptured,"0,00642261",PGM,Rewards on delegation.
cliffagreen,"0,01065102",PGM,Rewards on delegation.
iamraincrystal,"0,00427183",PGM,Rewards on delegation.
fiberfrau,"0,00412784",PGM,Rewards on delegation.
blue.rabbit,"0,00401584",PGM,Rewards on delegation.
athomewithcraig,"0,00334387",PGM,Rewards on delegation.
kingneptune,"0,00334387",PGM,Rewards on delegation.
iamalivechalleng,"0,00329587",PGM,Rewards on delegation.
ironshield,"0,00319987",PGM,Rewards on delegation.
guurry123,"0,0025919",PGM,Rewards on delegation.
imfarhad,"0,0025119",PGM,Rewards on delegation.
captainloken,"0,0024159",PGM,Rewards on delegation.
johnsdowie,"0,00179193",PGM,Rewards on delegation.
mariannewest,"0,00172793",PGM,Rewards on delegation.
truth2,"0,00166393",PGM,Rewards on delegation.
justclickindiva,"0,00163193",PGM,Rewards on delegation.
merthin,"0,00161593",PGM,Rewards on delegation.
master-lamps,"0,00190164",PGM,Rewards on delegation.
karizma,"0,00159993",PGM,Rewards on delegation.
dwarflordnoj,"0,00159993",PGM,Rewards on delegation.
cryptopsycho21,"0,00159993",PGM,Rewards on delegation.
fragozar01,"0,00131195",PGM,Rewards on delegation.
invest4free,"0,00086396",PGM,Rewards on delegation.
benthomaswwd,"0,00081596",PGM,Rewards on delegation.
manuvert,"0,00081596",PGM,Rewards on delegation.
chaosmagic23,"0,00081596",PGM,Rewards on delegation.
elianaicgomes,"0,00079996",PGM,Rewards on delegation.
tydynrain,"0,00079996",PGM,Rewards on delegation.
tonybad,"0,00079996",PGM,Rewards on delegation.
ijelady,"0,00079996",PGM,Rewards on delegation.
new.things,"0,00079996",PGM,Rewards on delegation.
chmoen,"0,00079996",PGM,Rewards on delegation.
hutty,"0,00064683",PGM,Rewards on delegation.
