account,amount,symbol,memo
flaxz,"74,624",CTP,Rewards on delegation.
ph1102,"31,427",CTP,Rewards on delegation.
thatcryptodave,"30,223",CTP,Rewards on delegation.
alokkumar121,"20,909",CTP,Rewards on delegation.
pixiepost,"18,377",CTP,Rewards on delegation.
davidthompson57,"20,007",CTP,Rewards on delegation.
tristancarax,"15,726",CTP,Rewards on delegation.
blue.rabbit,"15,16",CTP,Rewards on delegation.
myjob,"14,922",CTP,Rewards on delegation.
reeta0119,"14,475",CTP,Rewards on delegation.
elizacheng,"13,701",CTP,Rewards on delegation.
paulcaraway,"13,462",CTP,Rewards on delegation.
certain,"12,624",CTP,Rewards on delegation.
sydney.potts,"10,544",CTP,Rewards on delegation.
elianaicgomes,"9,263",CTP,Rewards on delegation.
iamraincrystal,"7,833",CTP,Rewards on delegation.
cliffagreen,"9,637",CTP,Rewards on delegation.
fiberfrau,"7,582",CTP,Rewards on delegation.
athomewithcraig,"6,135",CTP,Rewards on delegation.
iamalivechalleng,"6,046",CTP,Rewards on delegation.
guurry123,"4,765",CTP,Rewards on delegation.
imfarhad,"4,616",CTP,Rewards on delegation.
kingneptune,"4,557",CTP,Rewards on delegation.
mariannewest,"3,187",CTP,Rewards on delegation.
johnsdowie,"3,038",CTP,Rewards on delegation.
mypathtofire,"3,008",CTP,Rewards on delegation.
dontcare89,"2,978",CTP,Rewards on delegation.
ironshield,"2,978",CTP,Rewards on delegation.
justclickindiva,"2,978",CTP,Rewards on delegation.
x9ed1732b,"2,978",CTP,Rewards on delegation.
invest4free,"1,578",CTP,Rewards on delegation.
benthomaswwd,"1,489",CTP,Rewards on delegation.
manuvert,"1,489",CTP,Rewards on delegation.
fragozar01,"1,191",CTP,Rewards on delegation.
assassyn,"1,446",CTP,Rewards on delegation.
wearealive,"0,982",CTP,Rewards on delegation.
regenerette,"0,923",CTP,Rewards on delegation.
twicejoy,"2,553",CTP,Rewards on delegation.
alive.chat,"0,893",CTP,Rewards on delegation.
alovely,"0,625",CTP,Rewards on delegation.
jacoalberts,"0,625",CTP,Rewards on delegation.
adysscheryl,"0,595",CTP,Rewards on delegation.
arena10,"0,595",CTP,Rewards on delegation.
notaboutme,"0,446",CTP,Rewards on delegation.
quinnertronics,"0,416",CTP,Rewards on delegation.
aliveprojects,"0,297",CTP,Rewards on delegation.
ana-maria,"0,297",CTP,Rewards on delegation.
darmst5339,"0,297",CTP,Rewards on delegation.
chaosmagic23,"0,297",CTP,Rewards on delegation.
flaxz.alive,"0,238",CTP,Rewards on delegation.
flaxz.ctp,"0,178",CTP,Rewards on delegation.
alente,"0,148",CTP,Rewards on delegation.
heartbeatonhive,"0,148",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,148",CTP,Rewards on delegation.
littlebee4,"0,119",CTP,Rewards on delegation.
zekepickleman,"12,765",CTP,Rewards on delegation.
beststart,"0,638",CTP,Rewards on delegation.
bhattg,"2,553",CTP,Rewards on delegation.
flaxz,"48,2582",ALIVE,Rewards on delegation.
ph1102,"20,3236",ALIVE,Rewards on delegation.
thatcryptodave,"19,5448",ALIVE,Rewards on delegation.
alokkumar121,"13,5215",ALIVE,Rewards on delegation.
pixiepost,"11,8843",ALIVE,Rewards on delegation.
davidthompson57,"12,9382",ALIVE,Rewards on delegation.
tristancarax,"10,17",ALIVE,Rewards on delegation.
blue.rabbit,"9,804",ALIVE,Rewards on delegation.
myjob,"9,6499",ALIVE,Rewards on delegation.
reeta0119,"9,361",ALIVE,Rewards on delegation.
elizacheng,"8,8602",ALIVE,Rewards on delegation.
paulcaraway,"8,7061",ALIVE,Rewards on delegation.
certain,"8,1641",ALIVE,Rewards on delegation.
sydney.potts,"6,8185",ALIVE,Rewards on delegation.
elianaicgomes,"5,9903",ALIVE,Rewards on delegation.
iamraincrystal,"5,0657",ALIVE,Rewards on delegation.
cliffagreen,"6,2324",ALIVE,Rewards on delegation.
fiberfrau,"4,9034",ALIVE,Rewards on delegation.
athomewithcraig,"3,9678",ALIVE,Rewards on delegation.
iamalivechalleng,"3,91",ALIVE,Rewards on delegation.
guurry123,"3,0818",ALIVE,Rewards on delegation.
imfarhad,"2,9855",ALIVE,Rewards on delegation.
kingneptune,"2,947",ALIVE,Rewards on delegation.
mariannewest,"2,0609",ALIVE,Rewards on delegation.
johnsdowie,"1,9646",ALIVE,Rewards on delegation.
mypathtofire,"1,9454",ALIVE,Rewards on delegation.
dontcare89,"1,9261",ALIVE,Rewards on delegation.
ironshield,"1,9261",ALIVE,Rewards on delegation.
justclickindiva,"1,9261",ALIVE,Rewards on delegation.
x9ed1732b,"1,9261",ALIVE,Rewards on delegation.
invest4free,"1,0208",ALIVE,Rewards on delegation.
benthomaswwd,"0,963",ALIVE,Rewards on delegation.
manuvert,"0,963",ALIVE,Rewards on delegation.
fragozar01,"0,7704",ALIVE,Rewards on delegation.
assassyn,"0,9355",ALIVE,Rewards on delegation.
wearealive,"0,6356",ALIVE,Rewards on delegation.
regenerette,"0,5971",ALIVE,Rewards on delegation.
twicejoy,"1,6509",ALIVE,Rewards on delegation.
alive.chat,"0,5778",ALIVE,Rewards on delegation.
alovely,"0,4044",ALIVE,Rewards on delegation.
jacoalberts,"0,4044",ALIVE,Rewards on delegation.
adysscheryl,"0,3852",ALIVE,Rewards on delegation.
arena10,"0,3852",ALIVE,Rewards on delegation.
notaboutme,"0,2889",ALIVE,Rewards on delegation.
quinnertronics,"0,2696",ALIVE,Rewards on delegation.
aliveprojects,"0,1926",ALIVE,Rewards on delegation.
ana-maria,"0,1926",ALIVE,Rewards on delegation.
darmst5339,"0,1926",ALIVE,Rewards on delegation.
chaosmagic23,"0,1926",ALIVE,Rewards on delegation.
flaxz.alive,"0,154",ALIVE,Rewards on delegation.
flaxz.ctp,"0,1155",ALIVE,Rewards on delegation.
alente,"0,0963",ALIVE,Rewards on delegation.
heartbeatonhive,"0,0963",ALIVE,Rewards on delegation.
lv99-rd-chocobo,"0,0963",ALIVE,Rewards on delegation.
littlebee4,"0,077",ALIVE,Rewards on delegation.
zekepickleman,"8,2549",ALIVE,Rewards on delegation.
beststart,"0,4127",ALIVE,Rewards on delegation.
bhattg,"1,6509",ALIVE,Rewards on delegation.
flaxz,"0,67762405",AWESOME,Rewards on delegation.
ph1102,"0,28537639",AWESOME,Rewards on delegation.
thatcryptodave,"0,27444199",AWESOME,Rewards on delegation.
alokkumar121,"0,18986455",AWESOME,Rewards on delegation.
pixiepost,"0,16687525",AWESOME,Rewards on delegation.
davidthompson57,"0,18167341",AWESOME,Rewards on delegation.
tristancarax,"0,14280411",AWESOME,Rewards on delegation.
blue.rabbit,"0,13766532",AWESOME,Rewards on delegation.
myjob,"0,13550162",AWESOME,Rewards on delegation.
