account,amount,symbol,memo
alokkumar121,"21,036",CTP,Rewards on delegation.
flaxz,"75,112",CTP,Rewards on delegation.
fiberfrau,"7,619",CTP,Rewards on delegation.
certain,"12,688",CTP,Rewards on delegation.
reeta0119,"14,578",CTP,Rewards on delegation.
paulcaraway,"13,558",CTP,Rewards on delegation.
elianaicgomes,"9,329",CTP,Rewards on delegation.
pixiepost,"18,508",CTP,Rewards on delegation.
guurry123,"4,799",CTP,Rewards on delegation.
mariannewest,"3,209",CTP,Rewards on delegation.
ph1102,"31,646",CTP,Rewards on delegation.
invest4free,"1,589",CTP,Rewards on delegation.
imfarhad,"4,649",CTP,Rewards on delegation.
tristancarax,"15,808",CTP,Rewards on delegation.
arena10,"0,599",CTP,Rewards on delegation.
quinnertronics,"0,419",CTP,Rewards on delegation.
iamraincrystal,"7,889",CTP,Rewards on delegation.
athomewithcraig,"6,179",CTP,Rewards on delegation.
justclickindiva,"2,999",CTP,Rewards on delegation.
cliffagreen,"7,649",CTP,Rewards on delegation.
jacoalberts,"0,629",CTP,Rewards on delegation.
thatcryptodave,"30,009",CTP,Rewards on delegation.
regenerette,"0,929",CTP,Rewards on delegation.
johnsdowie,"3,059",CTP,Rewards on delegation.
kingneptune,"4,589",CTP,Rewards on delegation.
alente,"0,149",CTP,Rewards on delegation.
flaxz.alive,"0,239",CTP,Rewards on delegation.
iamalivechalleng,"6,089",CTP,Rewards on delegation.
alive.chat,"0,899",CTP,Rewards on delegation.
aliveprojects,"0,299",CTP,Rewards on delegation.
flaxz.ctp,"0,179",CTP,Rewards on delegation.
wearealive,"0,989",CTP,Rewards on delegation.
alovely,"0,629",CTP,Rewards on delegation.
myjob,"15,028",CTP,Rewards on delegation.
benthomaswwd,"1,499",CTP,Rewards on delegation.
elizacheng,"13,798",CTP,Rewards on delegation.
sydney.potts,"10,618",CTP,Rewards on delegation.
ana-maria,"0,299",CTP,Rewards on delegation.
blue.rabbit,"15,268",CTP,Rewards on delegation.
davidthompson57,"18,006",CTP,Rewards on delegation.
heartbeatonhive,"0,149",CTP,Rewards on delegation.
ironshield,"2,999",CTP,Rewards on delegation.
fragozar01,"1,199",CTP,Rewards on delegation.
littlebee4,"0,119",CTP,Rewards on delegation.
mypathtofire,"3,029",CTP,Rewards on delegation.
notaboutme,"0,449",CTP,Rewards on delegation.
adysscheryl,"0,599",CTP,Rewards on delegation.
x9ed1732b,"2,999",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,149",CTP,Rewards on delegation.
assassyn,"1,199",CTP,Rewards on delegation.
dontcare89,"2,999",CTP,Rewards on delegation.
darmst5339,"0,299",CTP,Rewards on delegation.
chaosmagic23,"0,299",CTP,Rewards on delegation.
manuvert,"1,499",CTP,Rewards on delegation.
twicejoy,"0,128",CTP,Rewards on delegation.
alokkumar121,"13,4722",ALIVE,Rewards on delegation.
flaxz,"48,1038",ALIVE,Rewards on delegation.
fiberfrau,"4,8795",ALIVE,Rewards on delegation.
certain,"8,1261",ALIVE,Rewards on delegation.
reeta0119,"9,3364",ALIVE,Rewards on delegation.
paulcaraway,"8,6832",ALIVE,Rewards on delegation.
elianaicgomes,"5,9745",ALIVE,Rewards on delegation.
pixiepost,"11,853",ALIVE,Rewards on delegation.
guurry123,"3,0737",ALIVE,Rewards on delegation.
mariannewest,"2,0555",ALIVE,Rewards on delegation.
ph1102,"20,2673",ALIVE,Rewards on delegation.
invest4free,"1,0181",ALIVE,Rewards on delegation.
imfarhad,"2,9776",ALIVE,Rewards on delegation.
tristancarax,"10,124",ALIVE,Rewards on delegation.
arena10,"0,3842",ALIVE,Rewards on delegation.
quinnertronics,"0,2689",ALIVE,Rewards on delegation.
iamraincrystal,"5,0524",ALIVE,Rewards on delegation.
athomewithcraig,"3,9574",ALIVE,Rewards on delegation.
justclickindiva,"1,921",ALIVE,Rewards on delegation.
cliffagreen,"4,8987",ALIVE,Rewards on delegation.
jacoalberts,"0,4034",ALIVE,Rewards on delegation.
thatcryptodave,"19,219",ALIVE,Rewards on delegation.
regenerette,"0,5955",ALIVE,Rewards on delegation.
johnsdowie,"1,9595",ALIVE,Rewards on delegation.
kingneptune,"2,9392",ALIVE,Rewards on delegation.
alente,"0,096",ALIVE,Rewards on delegation.
flaxz.alive,"0,1536",ALIVE,Rewards on delegation.
iamalivechalleng,"3,8997",ALIVE,Rewards on delegation.
alive.chat,"0,5763",ALIVE,Rewards on delegation.
aliveprojects,"0,1921",ALIVE,Rewards on delegation.
flaxz.ctp,"0,1152",ALIVE,Rewards on delegation.
wearealive,"0,6339",ALIVE,Rewards on delegation.
alovely,"0,4034",ALIVE,Rewards on delegation.
myjob,"9,6246",ALIVE,Rewards on delegation.
benthomaswwd,"0,9605",ALIVE,Rewards on delegation.
elizacheng,"8,8369",ALIVE,Rewards on delegation.
sydney.potts,"6,8006",ALIVE,Rewards on delegation.
ana-maria,"0,1921",ALIVE,Rewards on delegation.
blue.rabbit,"9,7782",ALIVE,Rewards on delegation.
davidthompson57,"11,5319",ALIVE,Rewards on delegation.
heartbeatonhive,"0,096",ALIVE,Rewards on delegation.
ironshield,"1,921",ALIVE,Rewards on delegation.
fragozar01,"0,7684",ALIVE,Rewards on delegation.
littlebee4,"0,0768",ALIVE,Rewards on delegation.
mypathtofire,"1,9402",ALIVE,Rewards on delegation.
notaboutme,"0,2881",ALIVE,Rewards on delegation.
adysscheryl,"0,3842",ALIVE,Rewards on delegation.
x9ed1732b,"1,921",ALIVE,Rewards on delegation.
lv99-rd-chocobo,"0,096",ALIVE,Rewards on delegation.
assassyn,"0,7684",ALIVE,Rewards on delegation.
dontcare89,"1,921",ALIVE,Rewards on delegation.
darmst5339,"0,1921",ALIVE,Rewards on delegation.
chaosmagic23,"0,1921",ALIVE,Rewards on delegation.
manuvert,"0,9605",ALIVE,Rewards on delegation.
twicejoy,"0,0823",ALIVE,Rewards on delegation.
alokkumar121,"0,20361184",AWESOME,Rewards on delegation.
flaxz,"0,7270133",AWESOME,Rewards on delegation.
fiberfrau,"0,07374655",AWESOME,Rewards on delegation.
certain,"0,12281414",AWESOME,Rewards on delegation.
reeta0119,"0,14110561",AWESOME,Rewards on delegation.
paulcaraway,"0,13123403",AWESOME,Rewards on delegation.
elianaicgomes,"0,09029598",AWESOME,Rewards on delegation.
pixiepost,"0,17914026",AWESOME,Rewards on delegation.
guurry123,"0,04645452",AWESOME,Rewards on delegation.
mariannewest,"0,03106646",AWESOME,Rewards on delegation.
ph1102,"0,30630952",AWESOME,Rewards on delegation.
invest4free,"0,01538806",AWESOME,Rewards on delegation.
imfarhad,"0,04500282",AWESOME,Rewards on delegation.
tristancarax,"0,15300959",AWESOME,Rewards on delegation.
arena10,"0,00580681",AWESOME,Rewards on delegation.
quinnertronics,"0,00406477",AWESOME,Rewards on delegation.
iamraincrystal,"0,07635962",AWESOME,Rewards on delegation.
athomewithcraig,"0,0598102",AWESOME,Rewards on delegation.
justclickindiva,"0,02903407",AWESOME,Rewards on delegation.
cliffagreen,"0,07403689",AWESOME,Rewards on delegation.
jacoalberts,"0,00609715",AWESOME,Rewards on delegation.
thatcryptodave,"0,29046521",AWESOME,Rewards on delegation.
regenerette,"0,00900056",AWESOME,Rewards on delegation.
johnsdowie,"0,02961475",AWESOME,Rewards on delegation.
kingneptune,"0,04442213",AWESOME,Rewards on delegation.
alente,"0,0014517",AWESOME,Rewards on delegation.
flaxz.alive,"0,00232272",AWESOME,Rewards on delegation.
iamalivechalleng,"0,05893917",AWESOME,Rewards on delegation.
alive.chat,"0,00871022",AWESOME,Rewards on delegation.
aliveprojects,"0,0029034",AWESOME,Rewards on delegation.
flaxz.ctp,"0,00174204",AWESOME,Rewards on delegation.
wearealive,"0,00958124",AWESOME,Rewards on delegation.
alovely,"0,00609715",AWESOME,Rewards on delegation.
myjob,"0,14546073",AWESOME,Rewards on delegation.
benthomaswwd,"0,01451703",AWESOME,Rewards on delegation.
elizacheng,"0,13355675",AWESOME,Rewards on delegation.
sydney.potts,"0,10278063",AWESOME,Rewards on delegation.
ana-maria,"0,0029034",AWESOME,Rewards on delegation.
blue.rabbit,"0,14778345",AWESOME,Rewards on delegation.
davidthompson57,"0,17428742",AWESOME,Rewards on delegation.
heartbeatonhive,"0,0014517",AWESOME,Rewards on delegation.
ironshield,"0,02903407",AWESOME,Rewards on delegation.
fragozar01,"0,01161363",AWESOME,Rewards on delegation.
littlebee4,"0,00116136",AWESOME,Rewards on delegation.
mypathtofire,"0,02932441",AWESOME,Rewards on delegation.
notaboutme,"0,00435511",AWESOME,Rewards on delegation.
adysscheryl,"0,00580681",AWESOME,Rewards on delegation.
x9ed1732b,"0,02903407",AWESOME,Rewards on delegation.
lv99-rd-chocobo,"0,0014517",AWESOME,Rewards on delegation.
assassyn,"0,01161363",AWESOME,Rewards on delegation.
dontcare89,"0,02903407",AWESOME,Rewards on delegation.
darmst5339,"0,0029034",AWESOME,Rewards on delegation.
chaosmagic23,"0,0029034",AWESOME,Rewards on delegation.
manuvert,"0,01451703",AWESOME,Rewards on delegation.
twicejoy,"0,00124431",AWESOME,Rewards on delegation.
alokkumar121,"2,53896",CCC,Rewards on delegation.
flaxz,"9,06557",CCC,Rewards on delegation.
fiberfrau,"0,91959",CCC,Rewards on delegation.
certain,"1,53144",CCC,Rewards on delegation.
reeta0119,"1,75953",CCC,Rewards on delegation.
paulcaraway,"1,63643",CCC,Rewards on delegation.
elianaicgomes,"1,12595",CCC,Rewards on delegation.
pixiepost,"2,23381",CCC,Rewards on delegation.
guurry123,"0,57927",CCC,Rewards on delegation.
mariannewest,"0,38738",CCC,Rewards on delegation.
ph1102,"3,81956",CCC,Rewards on delegation.
invest4free,"0,19188",CCC,Rewards on delegation.
imfarhad,"0,56116",CCC,Rewards on delegation.
tristancarax,"1,90797",CCC,Rewards on delegation.
arena10,"0,0724",CCC,Rewards on delegation.
quinnertronics,"0,05068",CCC,Rewards on delegation.
iamraincrystal,"0,95217",CCC,Rewards on delegation.
athomewithcraig,"0,74581",CCC,Rewards on delegation.
justclickindiva,"0,36204",CCC,Rewards on delegation.
cliffagreen,"0,92321",CCC,Rewards on delegation.
jacoalberts,"0,07602",CCC,Rewards on delegation.
thatcryptodave,"3,62199",CCC,Rewards on delegation.
regenerette,"0,11223",CCC,Rewards on delegation.
johnsdowie,"0,36928",CCC,Rewards on delegation.
kingneptune,"0,55392",CCC,Rewards on delegation.
alente,"0,0181",CCC,Rewards on delegation.
flaxz.alive,"0,02896",CCC,Rewards on delegation.
iamalivechalleng,"0,73494",CCC,Rewards on delegation.
alive.chat,"0,10861",CCC,Rewards on delegation.
aliveprojects,"0,0362",CCC,Rewards on delegation.
flaxz.ctp,"0,02172",CCC,Rewards on delegation.
wearealive,"0,11947",CCC,Rewards on delegation.
alovely,"0,07602",CCC,Rewards on delegation.
myjob,"1,81384",CCC,Rewards on delegation.
benthomaswwd,"0,18102",CCC,Rewards on delegation.
elizacheng,"1,6654",CCC,Rewards on delegation.
sydney.potts,"1,28163",CCC,Rewards on delegation.
ana-maria,"0,0362",CCC,Rewards on delegation.
blue.rabbit,"1,8428",CCC,Rewards on delegation.
davidthompson57,"2,17329",CCC,Rewards on delegation.
heartbeatonhive,"0,0181",CCC,Rewards on delegation.
ironshield,"0,36204",CCC,Rewards on delegation.
fragozar01,"0,14481",CCC,Rewards on delegation.
littlebee4,"0,01448",CCC,Rewards on delegation.
mypathtofire,"0,36566",CCC,Rewards on delegation.
notaboutme,"0,0543",CCC,Rewards on delegation.
adysscheryl,"0,0724",CCC,Rewards on delegation.
x9ed1732b,"0,36204",CCC,Rewards on delegation.
lv99-rd-chocobo,"0,0181",CCC,Rewards on delegation.
assassyn,"0,14481",CCC,Rewards on delegation.
dontcare89,"0,36204",CCC,Rewards on delegation.
darmst5339,"0,0362",CCC,Rewards on delegation.
chaosmagic23,"0,0362",CCC,Rewards on delegation.
manuvert,"0,18102",CCC,Rewards on delegation.
twicejoy,"0,01551",CCC,Rewards on delegation.
alokkumar121,"182,193",SPORTS,Rewards on delegation.
flaxz,"650,536",SPORTS,Rewards on delegation.
fiberfrau,"65,988",SPORTS,Rewards on delegation.
certain,"109,894",SPORTS,Rewards on delegation.
reeta0119,"126,262",SPORTS,Rewards on delegation.
paulcaraway,"117,429",SPORTS,Rewards on delegation.
elianaicgomes,"80,797",SPORTS,Rewards on delegation.
pixiepost,"160,295",SPORTS,Rewards on delegation.
guurry123,"41,567",SPORTS,Rewards on delegation.
mariannewest,"27,798",SPORTS,Rewards on delegation.
ph1102,"274,087",SPORTS,Rewards on delegation.
invest4free,"13,769",SPORTS,Rewards on delegation.
imfarhad,"40,268",SPORTS,Rewards on delegation.
tristancarax,"136,913",SPORTS,Rewards on delegation.
arena10,"5,195",SPORTS,Rewards on delegation.
quinnertronics,"3,637",SPORTS,Rewards on delegation.
iamraincrystal,"68,327",SPORTS,Rewards on delegation.
athomewithcraig,"53,518",SPORTS,Rewards on delegation.
justclickindiva,"25,979",SPORTS,Rewards on delegation.
cliffagreen,"66,248",SPORTS,Rewards on delegation.
jacoalberts,"5,455",SPORTS,Rewards on delegation.
thatcryptodave,"259,91",SPORTS,Rewards on delegation.
regenerette,"8,053",SPORTS,Rewards on delegation.
johnsdowie,"26,499",SPORTS,Rewards on delegation.
kingneptune,"39,749",SPORTS,Rewards on delegation.
alente,"1,298",SPORTS,Rewards on delegation.
flaxz.alive,"2,078",SPORTS,Rewards on delegation.
iamalivechalleng,"52,739",SPORTS,Rewards on delegation.
alive.chat,"7,793",SPORTS,Rewards on delegation.
aliveprojects,"2,597",SPORTS,Rewards on delegation.
flaxz.ctp,"1,558",SPORTS,Rewards on delegation.
wearealive,"8,573",SPORTS,Rewards on delegation.
alovely,"5,455",SPORTS,Rewards on delegation.
myjob,"130,159",SPORTS,Rewards on delegation.
benthomaswwd,"12,989",SPORTS,Rewards on delegation.
elizacheng,"119,507",SPORTS,Rewards on delegation.
sydney.potts,"91,968",SPORTS,Rewards on delegation.
ana-maria,"2,597",SPORTS,Rewards on delegation.
blue.rabbit,"132,237",SPORTS,Rewards on delegation.
davidthompson57,"155,953",SPORTS,Rewards on delegation.
heartbeatonhive,"1,298",SPORTS,Rewards on delegation.
ironshield,"25,979",SPORTS,Rewards on delegation.
fragozar01,"10,391",SPORTS,Rewards on delegation.
littlebee4,"1,039",SPORTS,Rewards on delegation.
mypathtofire,"26,239",SPORTS,Rewards on delegation.
notaboutme,"3,896",SPORTS,Rewards on delegation.
adysscheryl,"5,195",SPORTS,Rewards on delegation.
x9ed1732b,"25,979",SPORTS,Rewards on delegation.
lv99-rd-chocobo,"1,298",SPORTS,Rewards on delegation.
assassyn,"10,391",SPORTS,Rewards on delegation.
dontcare89,"25,979",SPORTS,Rewards on delegation.
darmst5339,"2,597",SPORTS,Rewards on delegation.
chaosmagic23,"2,597",SPORTS,Rewards on delegation.
manuvert,"12,989",SPORTS,Rewards on delegation.
twicejoy,"1,113",SPORTS,Rewards on delegation.
alokkumar121,"0,08909719",BEE,Rewards on delegation.
flaxz,"0,31812909",BEE,Rewards on delegation.
fiberfrau,"0,03227028",BEE,Rewards on delegation.
certain,"0,05374145",BEE,Rewards on delegation.
reeta0119,"0,0617455",BEE,Rewards on delegation.
paulcaraway,"0,05742585",BEE,Rewards on delegation.
elianaicgomes,"0,03951203",BEE,Rewards on delegation.
pixiepost,"0,07838883",BEE,Rewards on delegation.
guurry123,"0,02032773",BEE,Rewards on delegation.
mariannewest,"0,01359417",BEE,Rewards on delegation.
ph1102,"0,13403601",BEE,Rewards on delegation.
invest4free,"0,00673356",BEE,Rewards on delegation.
imfarhad,"0,01969249",BEE,Rewards on delegation.
tristancarax,"0,06695448",BEE,Rewards on delegation.
arena10,"0,00254096",BEE,Rewards on delegation.
quinnertronics,"0,00177867",BEE,Rewards on delegation.
iamraincrystal,"0,03341371",BEE,Rewards on delegation.
athomewithcraig,"0,02617196",BEE,Rewards on delegation.
justclickindiva,"0,01270483",BEE,Rewards on delegation.
