account,amount,symbol,memo
flaxz,"62,883",CTP,Rewards on delegation.
davidthompson57,"50,063",CTP,Rewards on delegation.
thatcryptodave,"30,774",CTP,Rewards on delegation.
ph1102,"26,485",CTP,Rewards on delegation.
myjob,"25,011",CTP,Rewards on delegation.
alokkumar121,"17,608",CTP,Rewards on delegation.
pixiepost,"15,485",CTP,Rewards on delegation.
tristancarax,"13,237",CTP,Rewards on delegation.
sydney.potts,"13,137",CTP,Rewards on delegation.
blue.rabbit,"12,766",CTP,Rewards on delegation.
zekepickleman,"12,552",CTP,Rewards on delegation.
reeta0119,"12,188",CTP,Rewards on delegation.
elizacheng,"11,546",CTP,Rewards on delegation.
paulcaraway,"11,339",CTP,Rewards on delegation.
certain,"10,639",CTP,Rewards on delegation.
cliffagreen,"8,416",CTP,Rewards on delegation.
iamraincrystal,"6,593",CTP,Rewards on delegation.
fiberfrau,"6,393",CTP,Rewards on delegation.
athomewithcraig,"5,17",CTP,Rewards on delegation.
iamalivechalleng,"5,095",CTP,Rewards on delegation.
guurry123,"4,021",CTP,Rewards on delegation.
imfarhad,"3,896",CTP,Rewards on delegation.
kingneptune,"3,846",CTP,Rewards on delegation.
mariannewest,"2,672",CTP,Rewards on delegation.
johnsdowie,"2,572",CTP,Rewards on delegation.
mypathtofire,"2,522",CTP,Rewards on delegation.
dontcare89,"2,522",CTP,Rewards on delegation.
ironshield,"2,522",CTP,Rewards on delegation.
justclickindiva,"2,522",CTP,Rewards on delegation.
x9ed1732b,"2,522",CTP,Rewards on delegation.
hirohurl,"2,497",CTP,Rewards on delegation.
elianaicgomes,"2,497",CTP,Rewards on delegation.
dkid14,"2,497",CTP,Rewards on delegation.
merthin,"2,497",CTP,Rewards on delegation.
master-lamps,"2,497",CTP,Rewards on delegation.
fragozar01,"2,023",CTP,Rewards on delegation.
invest4free,"1,323",CTP,Rewards on delegation.
benthomaswwd,"1,248",CTP,Rewards on delegation.
manuvert,"1,248",CTP,Rewards on delegation.
adysscheryl,"1,248",CTP,Rewards on delegation.
chaosmagic23,"1,248",CTP,Rewards on delegation.
bloghound,"0,892",CTP,Rewards on delegation.
helios.voter,"1,213",CTP,Rewards on delegation.
wearealive,"0,824",CTP,Rewards on delegation.
regenerette,"0,774",CTP,Rewards on delegation.
alive.chat,"0,749",CTP,Rewards on delegation.
beststart,"0,624",CTP,Rewards on delegation.
alovely,"0,524",CTP,Rewards on delegation.
jacoalberts,"0,524",CTP,Rewards on delegation.
darmst5339,"0,499",CTP,Rewards on delegation.
arena10,"0,499",CTP,Rewards on delegation.
notaboutme,"0,374",CTP,Rewards on delegation.
quinnertronics,"0,349",CTP,Rewards on delegation.
aliveprojects,"0,249",CTP,Rewards on delegation.
ana-maria,"0,249",CTP,Rewards on delegation.
stdd,"0,249",CTP,Rewards on delegation.
naniplayergamer,"0,249",CTP,Rewards on delegation.
flaxz.alive,"0,199",CTP,Rewards on delegation.
littlebee4,"0,174",CTP,Rewards on delegation.
flaxz.ctp,"0,149",CTP,Rewards on delegation.
alente,"0,124",CTP,Rewards on delegation.
heartbeatonhive,"0,124",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,124",CTP,Rewards on delegation.
thoth442,"0,124",CTP,Rewards on delegation.
mirroredspork,"0,124",CTP,Rewards on delegation.
truth2,"0,178",CTP,Rewards on delegation.
whalestar,"0,071",CTP,Rewards on delegation.
flaxz,"30,0858",ALIVE,Rewards on delegation.
davidthompson57,"23,9522",ALIVE,Rewards on delegation.
thatcryptodave,"14,7236",ALIVE,Rewards on delegation.
ph1102,"12,6717",ALIVE,Rewards on delegation.
myjob,"11,9667",ALIVE,Rewards on delegation.
alokkumar121,"8,4245",ALIVE,Rewards on delegation.
pixiepost,"7,4087",ALIVE,Rewards on delegation.
tristancarax,"6,3333",ALIVE,Rewards on delegation.
sydney.potts,"6,2855",ALIVE,Rewards on delegation.
blue.rabbit,"6,1079",ALIVE,Rewards on delegation.
zekepickleman,"6,0055",ALIVE,Rewards on delegation.
reeta0119,"5,8314",ALIVE,Rewards on delegation.
elizacheng,"5,5241",ALIVE,Rewards on delegation.
paulcaraway,"5,4251",ALIVE,Rewards on delegation.
certain,"5,0905",ALIVE,Rewards on delegation.
cliffagreen,"4,027",ALIVE,Rewards on delegation.
iamraincrystal,"3,1547",ALIVE,Rewards on delegation.
fiberfrau,"3,0591",ALIVE,Rewards on delegation.
athomewithcraig,"2,4735",ALIVE,Rewards on delegation.
iamalivechalleng,"2,4377",ALIVE,Rewards on delegation.
guurry123,"1,9238",ALIVE,Rewards on delegation.
imfarhad,"1,8641",ALIVE,Rewards on delegation.
kingneptune,"1,8402",ALIVE,Rewards on delegation.
mariannewest,"1,2786",ALIVE,Rewards on delegation.
johnsdowie,"1,2308",ALIVE,Rewards on delegation.
mypathtofire,"1,2069",ALIVE,Rewards on delegation.
dontcare89,"1,2069",ALIVE,Rewards on delegation.
ironshield,"1,2069",ALIVE,Rewards on delegation.
justclickindiva,"1,2069",ALIVE,Rewards on delegation.
x9ed1732b,"1,2069",ALIVE,Rewards on delegation.
hirohurl,"1,1949",ALIVE,Rewards on delegation.
elianaicgomes,"1,1949",ALIVE,Rewards on delegation.
dkid14,"1,1949",ALIVE,Rewards on delegation.
merthin,"1,1949",ALIVE,Rewards on delegation.
master-lamps,"1,1949",ALIVE,Rewards on delegation.
fragozar01,"0,9679",ALIVE,Rewards on delegation.
invest4free,"0,6333",ALIVE,Rewards on delegation.
benthomaswwd,"0,5974",ALIVE,Rewards on delegation.
manuvert,"0,5974",ALIVE,Rewards on delegation.
adysscheryl,"0,5974",ALIVE,Rewards on delegation.
chaosmagic23,"0,5974",ALIVE,Rewards on delegation.
bloghound,"0,4267",ALIVE,Rewards on delegation.
helios.voter,"0,5804",ALIVE,Rewards on delegation.
wearealive,"0,3943",ALIVE,Rewards on delegation.
regenerette,"0,3704",ALIVE,Rewards on delegation.
alive.chat,"0,3584",ALIVE,Rewards on delegation.
beststart,"0,2987",ALIVE,Rewards on delegation.
alovely,"0,2509",ALIVE,Rewards on delegation.
jacoalberts,"0,2509",ALIVE,Rewards on delegation.
darmst5339,"0,2389",ALIVE,Rewards on delegation.
arena10,"0,2389",ALIVE,Rewards on delegation.
notaboutme,"0,1792",ALIVE,Rewards on delegation.
quinnertronics,"0,1672",ALIVE,Rewards on delegation.
aliveprojects,"0,1194",ALIVE,Rewards on delegation.
ana-maria,"0,1194",ALIVE,Rewards on delegation.
stdd,"0,1194",ALIVE,Rewards on delegation.
naniplayergamer,"0,1194",ALIVE,Rewards on delegation.
flaxz.alive,"0,0955",ALIVE,Rewards on delegation.
littlebee4,"0,0836",ALIVE,Rewards on delegation.
flaxz.ctp,"0,0716",ALIVE,Rewards on delegation.
alente,"0,0597",ALIVE,Rewards on delegation.
heartbeatonhive,"0,0597",ALIVE,Rewards on delegation.
lv99-rd-chocobo,"0,0597",ALIVE,Rewards on delegation.
thoth442,"0,0597",ALIVE,Rewards on delegation.
mirroredspork,"0,0597",ALIVE,Rewards on delegation.
truth2,"0,0853",ALIVE,Rewards on delegation.
whalestar,"0,0341",ALIVE,Rewards on delegation.
flaxz,"0,64523284",AWESOME,Rewards on delegation.
davidthompson57,"0,5136894",AWESOME,Rewards on delegation.
