account,amount,symbol,memo
flaxz,"64,382",CTP,Rewards on delegation.
davidthompson57,"51,257",CTP,Rewards on delegation.
thatcryptodave,"29,364",CTP,Rewards on delegation.
ph1102,"27,125",CTP,Rewards on delegation.
alokkumar121,"18,032",CTP,Rewards on delegation.
pixiepost,"15,855",CTP,Rewards on delegation.
tristancarax,"13,549",CTP,Rewards on delegation.
sydney.potts,"13,447",CTP,Rewards on delegation.
blue.rabbit,"13,085",CTP,Rewards on delegation.
myjob,"16,521",CTP,Rewards on delegation.
zekepickleman,"12,858",CTP,Rewards on delegation.
reeta0119,"12,484",CTP,Rewards on delegation.
elizacheng,"11,833",CTP,Rewards on delegation.
paulcaraway,"11,603",CTP,Rewards on delegation.
certain,"10,885",CTP,Rewards on delegation.
cliffagreen,"8,606",CTP,Rewards on delegation.
iamraincrystal,"6,762",CTP,Rewards on delegation.
fiberfrau,"6,531",CTP,Rewards on delegation.
athomewithcraig,"5,298",CTP,Rewards on delegation.
iamalivechalleng,"5,225",CTP,Rewards on delegation.
guurry123,"4,105",CTP,Rewards on delegation.
imfarhad,"3,992",CTP,Rewards on delegation.
kingneptune,"3,944",CTP,Rewards on delegation.
mariannewest,"2,74",CTP,Rewards on delegation.
johnsdowie,"2,612",CTP,Rewards on delegation.
mypathtofire,"2,587",CTP,Rewards on delegation.
dontcare89,"2,587",CTP,Rewards on delegation.
ironshield,"2,587",CTP,Rewards on delegation.
justclickindiva,"2,587",CTP,Rewards on delegation.
x9ed1732b,"2,561",CTP,Rewards on delegation.
hirohurl,"2,561",CTP,Rewards on delegation.
elianaicgomes,"2,561",CTP,Rewards on delegation.
fragozar01,"2,074",CTP,Rewards on delegation.
invest4free,"1,357",CTP,Rewards on delegation.
benthomaswwd,"1,28",CTP,Rewards on delegation.
manuvert,"1,28",CTP,Rewards on delegation.
adysscheryl,"1,28",CTP,Rewards on delegation.
chaosmagic23,"1,28",CTP,Rewards on delegation.
wearealive,"0,845",CTP,Rewards on delegation.
regenerette,"0,794",CTP,Rewards on delegation.
alive.chat,"0,768",CTP,Rewards on delegation.
beststart,"0,64",CTP,Rewards on delegation.
alovely,"0,537",CTP,Rewards on delegation.
jacoalberts,"0,537",CTP,Rewards on delegation.
arena10,"0,512",CTP,Rewards on delegation.
notaboutme,"0,384",CTP,Rewards on delegation.
quinnertronics,"0,358",CTP,Rewards on delegation.
aliveprojects,"0,256",CTP,Rewards on delegation.
ana-maria,"0,256",CTP,Rewards on delegation.
darmst5339,"0,292",CTP,Rewards on delegation.
flaxz.alive,"0,204",CTP,Rewards on delegation.
flaxz.ctp,"0,153",CTP,Rewards on delegation.
alente,"0,128",CTP,Rewards on delegation.
heartbeatonhive,"0,128",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,128",CTP,Rewards on delegation.
littlebee4,"0,128",CTP,Rewards on delegation.
thoth442,"0,043",CTP,Rewards on delegation.
dkid14,"1,829",CTP,Rewards on delegation.
stdd,"0,146",CTP,Rewards on delegation.
flaxz,"49,903",ALIVE,Rewards on delegation.
davidthompson57,"39,7295",ALIVE,Rewards on delegation.
thatcryptodave,"22,7605",ALIVE,Rewards on delegation.
ph1102,"21,0247",ALIVE,Rewards on delegation.
alokkumar121,"13,9768",ALIVE,Rewards on delegation.
pixiepost,"12,2892",ALIVE,Rewards on delegation.
tristancarax,"10,5024",ALIVE,Rewards on delegation.
sydney.potts,"10,423",ALIVE,Rewards on delegation.
blue.rabbit,"10,1422",ALIVE,Rewards on delegation.
myjob,"12,8054",ALIVE,Rewards on delegation.
zekepickleman,"9,9664",ALIVE,Rewards on delegation.
reeta0119,"9,6771",ALIVE,Rewards on delegation.
elizacheng,"9,1722",ALIVE,Rewards on delegation.
paulcaraway,"8,9936",ALIVE,Rewards on delegation.
certain,"8,4377",ALIVE,Rewards on delegation.
cliffagreen,"6,6707",ALIVE,Rewards on delegation.
iamraincrystal,"5,2413",ALIVE,Rewards on delegation.
fiberfrau,"5,0626",ALIVE,Rewards on delegation.
athomewithcraig,"4,1068",ALIVE,Rewards on delegation.
iamalivechalleng,"4,0501",ALIVE,Rewards on delegation.
guurry123,"3,1822",ALIVE,Rewards on delegation.
imfarhad,"3,0942",ALIVE,Rewards on delegation.
kingneptune,"3,0574",ALIVE,Rewards on delegation.
mariannewest,"2,1243",ALIVE,Rewards on delegation.
johnsdowie,"2,025",ALIVE,Rewards on delegation.
mypathtofire,"2,0051",ALIVE,Rewards on delegation.
dontcare89,"2,0051",ALIVE,Rewards on delegation.
ironshield,"2,0051",ALIVE,Rewards on delegation.
justclickindiva,"2,0051",ALIVE,Rewards on delegation.
x9ed1732b,"1,9853",ALIVE,Rewards on delegation.
hirohurl,"1,9853",ALIVE,Rewards on delegation.
