account,amount,symbol,memo
null,"1,0",ALIVE,@ijelady/alive-staking-day-and-evening
null,"1,0",ALIVE,@edgerik/we-are-alive-iaac-600
null,"1,0",ALIVE,@sammyhive/iaac-be-thankful-alive-burning
null,"1,0",ALIVE,@twicejoy/iaac-day-416-or-or
null,"1,0",ALIVE,@alive.chat/alive-chat-april-19-2023
null,"1,0",ALIVE,@pedrobrito2004/eng-spa-world-bicycle-day
null,"1,0",ALIVE,@zer0requiem/bittrex-faces-sec-lawsuit-for
null,"1,0",ALIVE,@harpreetjanda/i-am-alive-challenge-day-f5719f7fd4a3d
null,"1,0",ALIVE,@gurseerat/iaac-day-717-leave-form-cad6607f7a3ae
null,"1,0",ALIVE,@imfarhad/3-1-or-5-1
null,"1,0",ALIVE,@cursephantom/61qq2c-staking-your-alive-tokens-i-am-alive-or-larryisalive-challenge
null,"1,0",ALIVE,@herculeand/alive-on-staking-day-stake-your-alive-and-get-a-boost-tomorrow
null,"1,0",ALIVE,@sayu907/gskancpa
null,"1,0",ALIVE,@old-man-chu58/a-beautiful-day-for-a-shake-and-hang-out-with-the-family
