account,amount,symbol,memo
flaxz,"55,645",CTP,Rewards on delegation.
ph1102,"23,436",CTP,Rewards on delegation.
thatcryptodave,"23,392",CTP,Rewards on delegation.
alokkumar121,"15,589",CTP,Rewards on delegation.
davidthompson57,"20,289",CTP,Rewards on delegation.
pixiepost,"13,71",CTP,Rewards on delegation.
tristancarax,"11,713",CTP,Rewards on delegation.
blue.rabbit,"11,301",CTP,Rewards on delegation.
myjob,"11,136",CTP,Rewards on delegation.
zekepickleman,"11,114",CTP,Rewards on delegation.
reeta0119,"10,788",CTP,Rewards on delegation.
elizacheng,"10,227",CTP,Rewards on delegation.
paulcaraway,"10,03",CTP,Rewards on delegation.
certain,"9,406",CTP,Rewards on delegation.
sydney.potts,"8,319",CTP,Rewards on delegation.
cliffagreen,"7,454",CTP,Rewards on delegation.
elianaicgomes,"6,921",CTP,Rewards on delegation.
iamraincrystal,"5,834",CTP,Rewards on delegation.
fiberfrau,"5,657",CTP,Rewards on delegation.
athomewithcraig,"4,57",CTP,Rewards on delegation.
iamalivechalleng,"4,503",CTP,Rewards on delegation.
bhattg,"4,436",CTP,Rewards on delegation.
guurry123,"3,549",CTP,Rewards on delegation.
imfarhad,"3,438",CTP,Rewards on delegation.
kingneptune,"3,394",CTP,Rewards on delegation.
mariannewest,"2,373",CTP,Rewards on delegation.
johnsdowie,"2,262",CTP,Rewards on delegation.
mypathtofire,"2,24",CTP,Rewards on delegation.
dontcare89,"2,218",CTP,Rewards on delegation.
ironshield,"2,218",CTP,Rewards on delegation.
justclickindiva,"2,218",CTP,Rewards on delegation.
x9ed1732b,"2,218",CTP,Rewards on delegation.
invest4free,"1,175",CTP,Rewards on delegation.
benthomaswwd,"1,109",CTP,Rewards on delegation.
manuvert,"1,109",CTP,Rewards on delegation.
fragozar01,"0,893",CTP,Rewards on delegation.
assassyn,"0,887",CTP,Rewards on delegation.
wearealive,"0,732",CTP,Rewards on delegation.
regenerette,"0,687",CTP,Rewards on delegation.
alive.chat,"0,665",CTP,Rewards on delegation.
beststart,"0,554",CTP,Rewards on delegation.
alovely,"0,465",CTP,Rewards on delegation.
jacoalberts,"0,465",CTP,Rewards on delegation.
adysscheryl,"0,465",CTP,Rewards on delegation.
arena10,"0,443",CTP,Rewards on delegation.
notaboutme,"0,332",CTP,Rewards on delegation.
quinnertronics,"0,31",CTP,Rewards on delegation.
aliveprojects,"0,221",CTP,Rewards on delegation.
ana-maria,"0,221",CTP,Rewards on delegation.
chaosmagic23,"0,221",CTP,Rewards on delegation.
darmst5339,"0,221",CTP,Rewards on delegation.
flaxz.alive,"0,177",CTP,Rewards on delegation.
flaxz.ctp,"0,133",CTP,Rewards on delegation.
alente,"0,11",CTP,Rewards on delegation.
heartbeatonhive,"0,11",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,11",CTP,Rewards on delegation.
littlebee4,"0,088",CTP,Rewards on delegation.
hirohurl,"1,584",CTP,Rewards on delegation.
flaxz,"48,765",ALIVE,Rewards on delegation.
ph1102,"20,5386",ALIVE,Rewards on delegation.
thatcryptodave,"20,4997",ALIVE,Rewards on delegation.
alokkumar121,"13,6618",ALIVE,Rewards on delegation.
davidthompson57,"17,7807",ALIVE,Rewards on delegation.
pixiepost,"12,0148",ALIVE,Rewards on delegation.
tristancarax,"10,2651",ALIVE,Rewards on delegation.
blue.rabbit,"9,904",ALIVE,Rewards on delegation.
myjob,"9,7596",ALIVE,Rewards on delegation.
zekepickleman,"9,7402",ALIVE,Rewards on delegation.
reeta0119,"9,4541",ALIVE,Rewards on delegation.
elizacheng,"8,9625",ALIVE,Rewards on delegation.
paulcaraway,"8,7903",ALIVE,Rewards on delegation.
certain,"8,2432",ALIVE,Rewards on delegation.
sydney.potts,"7,2905",ALIVE,Rewards on delegation.
cliffagreen,"6,5323",ALIVE,Rewards on delegation.
elianaicgomes,"6,0657",ALIVE,Rewards on delegation.
iamraincrystal,"5,1131",ALIVE,Rewards on delegation.
fiberfrau,"4,9576",ALIVE,Rewards on delegation.
athomewithcraig,"4,0049",ALIVE,Rewards on delegation.
iamalivechalleng,"3,9466",ALIVE,Rewards on delegation.
bhattg,"3,8883",ALIVE,Rewards on delegation.
guurry123,"3,1106",ALIVE,Rewards on delegation.
imfarhad,"3,0134",ALIVE,Rewards on delegation.
kingneptune,"2,9745",ALIVE,Rewards on delegation.
mariannewest,"2,0802",ALIVE,Rewards on delegation.
johnsdowie,"1,983",ALIVE,Rewards on delegation.
mypathtofire,"1,9635",ALIVE,Rewards on delegation.
dontcare89,"1,9441",ALIVE,Rewards on delegation.
ironshield,"1,9441",ALIVE,Rewards on delegation.
justclickindiva,"1,9441",ALIVE,Rewards on delegation.
x9ed1732b,"1,9441",ALIVE,Rewards on delegation.
invest4free,"1,0304",ALIVE,Rewards on delegation.
benthomaswwd,"0,972",ALIVE,Rewards on delegation.
manuvert,"0,972",ALIVE,Rewards on delegation.
fragozar01,"0,7832",ALIVE,Rewards on delegation.
assassyn,"0,7776",ALIVE,Rewards on delegation.
wearealive,"0,6415",ALIVE,Rewards on delegation.
regenerette,"0,6026",ALIVE,Rewards on delegation.
alive.chat,"0,5832",ALIVE,Rewards on delegation.
beststart,"0,486",ALIVE,Rewards on delegation.
alovely,"0,4082",ALIVE,Rewards on delegation.
jacoalberts,"0,4082",ALIVE,Rewards on delegation.
adysscheryl,"0,4082",ALIVE,Rewards on delegation.
arena10,"0,3888",ALIVE,Rewards on delegation.
notaboutme,"0,2916",ALIVE,Rewards on delegation.
quinnertronics,"0,2721",ALIVE,Rewards on delegation.
aliveprojects,"0,1944",ALIVE,Rewards on delegation.
ana-maria,"0,1944",ALIVE,Rewards on delegation.
chaosmagic23,"0,1944",ALIVE,Rewards on delegation.
darmst5339,"0,1944",ALIVE,Rewards on delegation.
flaxz.alive,"0,1555",ALIVE,Rewards on delegation.
flaxz.ctp,"0,1166",ALIVE,Rewards on delegation.
alente,"0,0972",ALIVE,Rewards on delegation.
heartbeatonhive,"0,0972",ALIVE,Rewards on delegation.
lv99-rd-chocobo,"0,0972",ALIVE,Rewards on delegation.
littlebee4,"0,0777",ALIVE,Rewards on delegation.
hirohurl,"1,3886",ALIVE,Rewards on delegation.
flaxz,"0,53368379",AWESOME,Rewards on delegation.
ph1102,"0,22477455",AWESOME,Rewards on delegation.
thatcryptodave,"0,22434902",AWESOME,Rewards on delegation.
alokkumar121,"0,14951535",AWESOME,Rewards on delegation.
davidthompson57,"0,19459184",AWESOME,Rewards on delegation.
pixiepost,"0,13149083",AWESOME,Rewards on delegation.
tristancarax,"0,11234168",AWESOME,Rewards on delegation.
blue.rabbit,"0,10839027",AWESOME,Rewards on delegation.
myjob,"0,1068097",AWESOME,Rewards on delegation.
zekepickleman,"0,10659693",AWESOME,Rewards on delegation.
reeta0119,"0,1034662",AWESOME,Rewards on delegation.
elizacheng,"0,0980862",AWESOME,Rewards on delegation.
paulcaraway,"0,09620168",AWESOME,Rewards on delegation.
certain,"0,09021377",AWESOME,Rewards on delegation.
sydney.potts,"0,07978812",AWESOME,Rewards on delegation.
cliffagreen,"0,07149016",AWESOME,Rewards on delegation.
elianaicgomes,"0,06638372",AWESOME,Rewards on delegation.
iamraincrystal,"0,05595807",AWESOME,Rewards on delegation.
fiberfrau,"0,05425592",AWESOME,Rewards on delegation.
athomewithcraig,"0,04383027",AWESOME,Rewards on delegation.
iamalivechalleng,"0,04319197",AWESOME,Rewards on delegation.
bhattg,"0,04255366",AWESOME,Rewards on delegation.
guurry123,"0,03404293",AWESOME,Rewards on delegation.
imfarhad,"0,03297909",AWESOME,Rewards on delegation.
kingneptune,"0,03255355",AWESOME,Rewards on delegation.
mariannewest,"0,02276621",AWESOME,Rewards on delegation.
johnsdowie,"0,02170237",AWESOME,Rewards on delegation.
mypathtofire,"0,0214896",AWESOME,Rewards on delegation.
dontcare89,"0,02127683",AWESOME,Rewards on delegation.
ironshield,"0,02127683",AWESOME,Rewards on delegation.
justclickindiva,"0,02127683",AWESOME,Rewards on delegation.
x9ed1732b,"0,02127683",AWESOME,Rewards on delegation.
invest4free,"0,01127672",AWESOME,Rewards on delegation.
benthomaswwd,"0,01063841",AWESOME,Rewards on delegation.
manuvert,"0,01063841",AWESOME,Rewards on delegation.
fragozar01,"0,00857152",AWESOME,Rewards on delegation.
assassyn,"0,00851073",AWESOME,Rewards on delegation.
wearealive,"0,00702135",AWESOME,Rewards on delegation.
regenerette,"0,00659581",AWESOME,Rewards on delegation.
alive.chat,"0,00638305",AWESOME,Rewards on delegation.
beststart,"0,0053192",AWESOME,Rewards on delegation.
alovely,"0,00446813",AWESOME,Rewards on delegation.
jacoalberts,"0,00446813",AWESOME,Rewards on delegation.
adysscheryl,"0,00446813",AWESOME,Rewards on delegation.
arena10,"0,00425536",AWESOME,Rewards on delegation.
notaboutme,"0,00319152",AWESOME,Rewards on delegation.
quinnertronics,"0,00297875",AWESOME,Rewards on delegation.
aliveprojects,"0,00212768",AWESOME,Rewards on delegation.
ana-maria,"0,00212768",AWESOME,Rewards on delegation.
chaosmagic23,"0,00212768",AWESOME,Rewards on delegation.
darmst5339,"0,00212768",AWESOME,Rewards on delegation.
flaxz.alive,"0,00170214",AWESOME,Rewards on delegation.
flaxz.ctp,"0,00127661",AWESOME,Rewards on delegation.
alente,"0,00106384",AWESOME,Rewards on delegation.
heartbeatonhive,"0,00106384",AWESOME,Rewards on delegation.
lv99-rd-chocobo,"0,00106384",AWESOME,Rewards on delegation.
littlebee4,"0,00085107",AWESOME,Rewards on delegation.
hirohurl,"0,01519773",AWESOME,Rewards on delegation.
flaxz,"20,95258",CCC,Rewards on delegation.
ph1102,"8,82471",CCC,Rewards on delegation.
thatcryptodave,"8,80801",CCC,Rewards on delegation.
alokkumar121,"5,87001",CCC,Rewards on delegation.
davidthompson57,"7,63973",CCC,Rewards on delegation.
pixiepost,"5,16237",CCC,Rewards on delegation.
tristancarax,"4,41056",CCC,Rewards on delegation.
blue.rabbit,"4,25543",CCC,Rewards on delegation.
myjob,"4,19338",CCC,Rewards on delegation.
zekepickleman,"4,18502",CCC,Rewards on delegation.
reeta0119,"4,06211",CCC,Rewards on delegation.
elizacheng,"3,85089",CCC,Rewards on delegation.
paulcaraway,"3,7769",CCC,Rewards on delegation.
certain,"3,54182",CCC,Rewards on delegation.
sydney.potts,"3,1325",CCC,Rewards on delegation.
cliffagreen,"2,80672",CCC,Rewards on delegation.
elianaicgomes,"2,60624",CCC,Rewards on delegation.
iamraincrystal,"2,19693",CCC,Rewards on delegation.
fiberfrau,"2,1301",CCC,Rewards on delegation.
athomewithcraig,"1,72079",CCC,Rewards on delegation.
iamalivechalleng,"1,69573",CCC,Rewards on delegation.
bhattg,"1,67067",CCC,Rewards on delegation.
guurry123,"1,33653",CCC,Rewards on delegation.
imfarhad,"1,29476",CCC,Rewards on delegation.
kingneptune,"1,27806",CCC,Rewards on delegation.
mariannewest,"0,8938",CCC,Rewards on delegation.
johnsdowie,"0,85204",CCC,Rewards on delegation.
mypathtofire,"0,84368",CCC,Rewards on delegation.
dontcare89,"0,83533",CCC,Rewards on delegation.
ironshield,"0,83533",CCC,Rewards on delegation.
justclickindiva,"0,83533",CCC,Rewards on delegation.
x9ed1732b,"0,83533",CCC,Rewards on delegation.
invest4free,"0,44272",CCC,Rewards on delegation.
benthomaswwd,"0,41766",CCC,Rewards on delegation.
manuvert,"0,41766",CCC,Rewards on delegation.
fragozar01,"0,33652",CCC,Rewards on delegation.
assassyn,"0,33413",CCC,Rewards on delegation.
wearealive,"0,27566",CCC,Rewards on delegation.
regenerette,"0,25895",CCC,Rewards on delegation.
alive.chat,"0,2506",CCC,Rewards on delegation.
beststart,"0,20883",CCC,Rewards on delegation.
alovely,"0,17542",CCC,Rewards on delegation.
jacoalberts,"0,17542",CCC,Rewards on delegation.
adysscheryl,"0,17542",CCC,Rewards on delegation.
arena10,"0,16706",CCC,Rewards on delegation.
notaboutme,"0,1253",CCC,Rewards on delegation.
quinnertronics,"0,11694",CCC,Rewards on delegation.
aliveprojects,"0,08353",CCC,Rewards on delegation.
ana-maria,"0,08353",CCC,Rewards on delegation.
chaosmagic23,"0,08353",CCC,Rewards on delegation.
darmst5339,"0,08353",CCC,Rewards on delegation.
flaxz.alive,"0,06682",CCC,Rewards on delegation.
flaxz.ctp,"0,05012",CCC,Rewards on delegation.
alente,"0,04176",CCC,Rewards on delegation.
heartbeatonhive,"0,04176",CCC,Rewards on delegation.
lv99-rd-chocobo,"0,04176",CCC,Rewards on delegation.
littlebee4,"0,03341",CCC,Rewards on delegation.
hirohurl,"0,59666",CCC,Rewards on delegation.
flaxz,"884,755",SPORTS,Rewards on delegation.
ph1102,"372,637",SPORTS,Rewards on delegation.
thatcryptodave,"371,931",SPORTS,Rewards on delegation.
alokkumar121,"247,87",SPORTS,Rewards on delegation.
davidthompson57,"322,599",SPORTS,Rewards on delegation.
pixiepost,"217,989",SPORTS,Rewards on delegation.
tristancarax,"186,243",SPORTS,Rewards on delegation.
blue.rabbit,"179,692",SPORTS,Rewards on delegation.
myjob,"177,072",SPORTS,Rewards on delegation.
zekepickleman,"176,719",SPORTS,Rewards on delegation.
reeta0119,"171,529",SPORTS,Rewards on delegation.
