account,amount,symbol
alive.chat,"0,001",ALIVE
alive.chat,"0,002",ALIVE
alive.chat,"0,003",ALIVE
alive.chat,"0,004",ALIVE
alive.chat,"0,005",ALIVE
alive.chat,"0,006",ALIVE
alive.chat,"0,007",ALIVE
alive.chat,"0,008",ALIVE
alive.chat,"0,009",ALIVE
alive.chat,"0,01",ALIVE
alive.chat,"0,011",ALIVE
alive.chat,"0,012",ALIVE
alive.chat,"0,013",ALIVE
alive.chat,"0,014",ALIVE
alive.chat,"0,015",ALIVE
alive.chat,"0,016",ALIVE
alive.chat,"0,017",ALIVE
alive.chat,"0,018",ALIVE
alive.chat,"0,019",ALIVE
alive.chat,"0,02",ALIVE
alive.chat,"0,021",ALIVE
alive.chat,"0,022",ALIVE
alive.chat,"0,023",ALIVE
alive.chat,"0,024",ALIVE
alive.chat,"0,025",ALIVE
alive.chat,"0,026",ALIVE
alive.chat,"0,027",ALIVE
alive.chat,"0,028",ALIVE
alive.chat,"0,029",ALIVE
alive.chat,"0,03",ALIVE
alive.chat,"0,031",ALIVE
alive.chat,"0,032",ALIVE
alive.chat,"0,033",ALIVE
alive.chat,"0,034",ALIVE
