account,amount,symbol,memo
alive.chat,"0,001",ALIVE,test1
alive.chat,"0,002",ALIVE,test2
alive.chat,"0,003",ALIVE,test3
alive.chat,"0,004",ALIVE,test4
alive.chat,"0,005",ALIVE,test5
alive.chat,"0,006",ALIVE,test6
alive.chat,"0,007",ALIVE,test7
alive.chat,"0,008",ALIVE,test8
alive.chat,"0,009",ALIVE,test9
alive.chat,"0,010",ALIVE,test10
alive.chat,"0,011",ALIVE,test11
alive.chat,"0,012",ALIVE,test12
alive.chat,"0,013",ALIVE,test13
alive.chat,"0,014",ALIVE,test14
alive.chat,"0,015",ALIVE,test15
alive.chat,"0,016",ALIVE,test16
alive.chat,"0,017",ALIVE,test17
alive.chat,"0,018",ALIVE,test18
alive.chat,"0,019",ALIVE,test19
alive.chat,"0,020",ALIVE,test20
alive.chat,"0,021",ALIVE,test21
alive.chat,"0,022",ALIVE,test22
alive.chat,"0,023",ALIVE,test23
alive.chat,"0,024",ALIVE,test24
alive.chat,"0,025",ALIVE,test25
alive.chat,"0,026",ALIVE,test26
alive.chat,"0,027",ALIVE,test27
alive.chat,"0,028",ALIVE,test28
alive.chat,"0,029",ALIVE,test29
alive.chat,"0,030",ALIVE,test30
alive.chat,"0,031",ALIVE,test31
alive.chat,"0,032",ALIVE,test32
alive.chat,"0,033",ALIVE,test33
alive.chat,"0,034",ALIVE,test34
